 station,segment,name
1485000,EL2_5110_5270,POCOMOKE R
1485500,EL1_5430_0001,NASSAWANGO CR
1487000,EL0_4562_0003,NANTICOKE R
1488500,EL2_4400_4590,MARSHY HOPE CR
1491000,EM2_3980_0001,CHOPTANK R
1500500,SU5_0340_0310,SUSQUEHANNA R
1502500,SU4_0300_0310,UNADILLA R
1502771,SU6_0480_0520,SUSQUEHANNA R
1503000,SU6_0480_0520,SUSQUEHANNA R
1515000,SU7_0720_0003,SUSQUEHANNA R
1516350,SU2_0920_0830,TIOGA R
1518000,SU3_0831_0790,TIOGA DAM
1518700,SU3_0790_0770,TIOGA R
1520000,SU2_0741_0690,COWANESQUE DAM
1520500,SU4_0690_0650,TIOGA R
1529500,SU3_0370_0490,COHOCTON R
1531000,SU5_0610_0600,CHEMUNG R
1531500,SU7_0850_0730,SUSQUEHANNA R
1532005,SU2_0900_0870,TOWANDA CR
1534000,SU3_0710_0910,TUNKHANNOCK CR
1534300,SU2_0670_0810,LACKAWANNA R
1534520,SU3_0810_0970,LACKAWANNA R
1536000,SU3_0970_1120,LACKAWANNA R
1536500,SU7_1120_1140,SUSQUEHANNA R
1537700,SU7_1120_1140,SUSQUEHANNA R
1540500,SU8_1610_1530,SUSQUEHANNA R
1541000,SW4_1940_1860,SUSQUEHANNA R  W BR
1541200,SW4_1860_1720,CURWENSVILLE DAM
1541500,SW3_1870_1800,CLEARFIELD CR
1542000,SW3_1920_1750,MOSHANNON CR
1542500,SW5_1540_0003,SUSQUEHANNA R  W BR
1543000,SW3_1270_1370,DRIFTWOOD BR
1543500,SW4_1430_1490,BENNETTE BR
1544000,SW3_1091_1380,GEORGE B. STEVENSON DAM
1545010,SW3_1130_1390,ALVIN R. BUSH DAM
1546500,SW1_1890_1830,SPRING CR
1547400,SW3_1690_0003,FOSTER JOSEPH SAYERS DAM
1547500,SW3_1690_1660,FOSTER JOSEPH SAYERS DAM
1547950,SW0_1520_1600,BEECH CR
1548500,SW4_1110_1150,PINE CR
1549700,SW5_1350_0003,PINE CR
1550000,SW3_1040_1220,LYCOMING CR
1551500,SW7_1320_0003,SUSQUEHANNA R  W BR
1552000,SW4_1260_0003,LOYALSOCK CR
1553500,SW7_1640_0003,SUSQUEHANNA R  W BR
1553700,SW1_1450_1510,CHILLISQUAQUE CR
1554000,SL8_1760_1780,SUSQUEHANNA R
1554500,SL1_1730_1700,SHAMOKIN CR
1555000,SL3_1710_1740,PENNS CR
1555500,SL2_1810_2030,MAHANTANGO CR
1556010,SJ3_2250_2230,JUNIATA R  FRANKSTOWN BR
1558000,SJ3_2040_1980,LITTLE JUNIATA R
1558001,SJ3_2040_1980,LITTLE JUNIATA R
1559000,SJ4_2060_2010,WARRIOR RIDGE DAM
1560000,SJ2_2530_2820,BOBS CR
1562000,SJ4_2660_2360,JUNIATA R  RAYSTOWN BR
1563500,SJ5_2210_2320,JUNIATA R
1567000,SJ6_2130_0003,JUNIATA R
1568000,SL3_2290_2260,SHERMAN CR
1568200,SL3_2290_2260,SHERMAN CR
1570000,SL4_2370_2330,CONODOGUINET CR
1570500,SL9_2270_0003,SUSQUEHANNA R
1571500,SL3_2400_2440,YELLOW BREECHES CR
1572025,SL2_1850_1990,SWATARA CR
1572200,SL2_1990_2070,SWATARA CR
1573560,SL4_2140_2240,SWATARA CR
1573610,SL4_2140_2240,SWATARA CR
1574000,SL3_2460_2430,CONEWAGO CR
1574520,SL1_2830_2760,CODORUS  W BR
1575000,SL1_2770_2730,CODORUS CR  S BR
