orphan,surrogate ***
A10003,A10001
A24019,A24045
A24029,A24035
A24039,A24047
A24041,A24011
A24510,A24005
A37001,A37033
A37077,A37145
A37135,A37145
A37181,A37145
A37185,A37145
A51001,A24047
A51013,A51059
A51073,A51057
A51095,A51181
A51099,A51057
A51103,A51193
A51115,A51057
A51119,A51057
A51131,A24047
A51133,A51193
A51199,A51181
A51520,A51191
A51550,A51181
A51570,A51181
A51620,A51175
A51650,A51181
A51670,A51181
A51683,A51059
A51685,A51059
A51700,A51181
A51710,A51181
A51735,A51181
A51740,A51181
A51750,A51121
A51810,A51181
A51830,A51181
B51035,A51141
end,
