lseg, evap fac ***
 A10001,  1.24894714
 A10003,  0.75
 A10005,  0.948189199
 A11001,  1.25
 A24001,  1.14283216
 A24003,  0.750001609
 A24005,  1.17508042
 A24009,  1.09412789
 A24011,  0.775740445
 A24013,  1.22837746
 A24015,  1.25
 A24017,  0.989277422
 A24019,  0.75
 A24021,  1.01546347
 A24023,  1.15781963
 A24025,  1.01366687
 A24027,  1.15425646
 A24029,  0.75
 A24031,  1.24752247
 A24033,  1.2426163
 A24035,  0.971239924
 A24037,  1.06443381
 A24039,  0.75
 A24041,  0.75
 A24043,  1.25
 A24045,  1.06106174
 A24047,  1.06401908
 A24510,  0.75
 A36003,  1.25
 A36007,  1.06582606
 A36015,  1.20190215
 A36017,  1.0315721
 A36023,  1.00869429
 A36025,  1.01507246
 A36043,  1.24512982
 A36051,  1.08725727
 A36053,  1.25
 A36065,  1.25
 A36067,  1.05803037
 A36069,  1.08725727
 A36077,  0.941904783
 A36095,  1.01532066
 A36097,  1.14919388
 A36101,  1.25
 A36107,  1.03011966
 A36109,  1.02990246
 A36123,  1.08725727
 A37001,  0.75
 A37005,  1.25
 A37009,  1.17769921
 A37033,  1.1350621
 A37067,  1.25
 A37077,  0.75
 A37081,  1.25
 A37131,  1.25
 A37135,  0.75
 A37145,  1.1350621
 A37157,  1.20717907
 A37169,  1.2270267
 A37171,  1.02595842
 A37181,  0.75
 A37185,  0.75
 A37189,  0.964223504
 A42001,  1.15674543
 A42009,  1.06516564
 A42011,  0.836756468
 A42013,  1.06605816
 A42015,  1.15330386
 A42021,  1.12943769
 A42023,  1.25
 A42025,  1.18812466
 A42027,  1.25
 A42029,  1.25
 A42033,  1.09011817
 A42035,  1.19354403
 A42037,  0.948151708
 A42041,  1.04812539
 A42043,  1.25
 A42047,  1.25
 A42055,  1.18271148
 A42057,  1.10721684
 A42061,  1.00633538
 A42063,  0.959908307
 A42065,  0.959908307
 A42067,  1.19457102
 A42069,  1.25
 A42071,  1.24774802
 A42075,  1.14371872
 A42079,  1.25
 A42081,  0.939990461
 A42083,  1.25
 A42087,  0.968022764
 A42093,  1.08979619
 A42097,  0.99161613
 A42099,  0.984288037
 A42105,  1.25
 A42107,  1.10357738
 A42109,  1.06996381
 A42111,  1.08540726
 A42113,  0.972293556
 A42115,  1.07775664
 A42117,  1.1066606
 A42119,  0.836211622
 A42127,  1.06685662
 A42131,  1.25
 A42133,  1.25
 A47091,  1.03223503
 A47163,  1.03223503
 A51001,  0.75
 A51003,  1.16777945
 A51005,  1.03132153
 A51007,  1.20548558
 A51009,  1.0571059
 A51011,  1.10418665
 A51013,  0.75
 A51015,  1.25
 A51017,  1.25
 A51019,  1.23640299
 A51021,  1.01222801
 A51023,  0.952673376
 A51025,  1.13053465
 A51027,  1.02901518
 A51029,  1.10908711
 A51031,  1.11912906
 A51033,  1.16579711
 A51035,  0.995672047
 A51036,  1.07822311
 A51037,  1.07598281
 A51041,  1.25
 A51043,  1.25
 A51045,  0.934486032
 A51047,  1.11645234
 A51049,  1.12029719
 A51051,  1.09429777
 A51053,  1.15847802
 A51057,  1.02111185
 A51059,  1.25
 A51061,  1.12636006
 A51063,  1.25
 A51065,  1.25
 A51067,  1.06633568
 A51069,  1.25
 A51071,  0.89685452
 A51073,  0.75
 A51075,  1.1131748
 A51077,  1.25
 A51079,  1.07083225
 A51081,  1.20065618
 A51083,  1.25
 A51085,  1.07170498
 A51087,  1.07822311
 A51089,  1.05317307
 A51091,  1.25
 A51093,  1.1717453
 A51095,  0.75
 A51097,  1.14741242
 A51099,  0.75
 A51101,  1.11887562
 A51103,  0.75
 A51105,  0.864046574
 A51107,  1.05762136
 A51109,  1.14677489
 A51111,  1.22312689
