landuse,atdep,fert,manure,legume,uptake,cropcover
alf,0.04,0.04,0.04,0,0,0
cpd,0.04,0.04,0.04,0,0,0
for,0.04,0.04,0.04,0,0,0
hom,0.04,0.04,0.04,0,-0.179,0
hwm,0.04,0.04,0.04,0,-0.056,0
hyo,0.04,0.04,0.04,0,0.0003,0
npd,0.04,0.04,0.04,0,0,0
pas,0.04,0.04,0.04,0,0,0
rpd,0.04,0.04,0.04,0,0,0
cid,0.04,0.04,0.04,0,0,0
nid,0.04,0.04,0.04,0,0,0
rid,0.04,0.04,0.04,0,0,0
