 seg ,TOTN,TOTP
PL0_5000_0001, -999.0000,    1.0154
JB3_6820_7053,    0.6838,    0.8175
EM2_3980_0001,    0.8031,    0.4237
EL1_5430_0001,    0.9075,    0.4509
EL0_4560_4562,    0.9797,    0.4446
EL0_4561_4562,    0.9797,    0.4446
EL0_4562_0001, -999.0000, -999.0000
WU0_3021_3020,    1.0352,    0.9861
WU2_3020_3320,    1.0352,    0.9861
WM0_3881_3880,    1.0590,    1.0450
WM1_3882_3880,    1.0590,    1.0450
WM3_3880_4060,    1.0590,    1.0450
WM1_3660_3910,    1.0025,    0.9990
PL1_5370_5470, -999.0000,    0.9822
PL1_5230_0001,    0.9563,    0.9995
PL1_4540_0001, -999.0000,    1.0019
PL1_4460_4780,    1.0647,    1.0282
PL0_5540_5490, -999.0000,    1.0067
PL0_5070_0001,    0.8466,    1.0087
PL0_5010_5130,    0.8970,    0.9781
XL1_4690_0001,    0.9812,    1.3632
XL0_5320_0001,    0.4113,    0.9973
 seg ,TOTN,TOTP
GY0_3800_3801,    1.0251,    0.9871
GY0_4240_3951,    3.4027,    0.4048
GY0_4530_4532,    0.9772,    0.9949
GY0_4531_4532,    1.0769,    1.0034
GY0_4532_3951,    1.0769,    1.0034
GY0_3951_3952,    1.0769,    1.0034
 seg ,TOTN,TOTP
JA1_7600_7570,    0.8727,    0.9608
JA2_7410_7470,    0.8727,    0.9608
JA2_7570_7480,    0.8727,    0.9608
JA1_7640_7280,    0.8727,    0.9608
JA2_7550_7280,    0.8727,    0.9608
JA4_7280_7340,    0.8727,    0.9608
JA4_7340_7470,    0.8727,    0.9608
JA4_7470_7480,    0.8727,    0.9608
JA5_7480_0001,    0.8727,    0.9608
 seg ,TOTN,TOTP
XU0_4090_4270,    1.0010,    1.0000
XU0_4130_4070,    1.0010,    1.0000
XU0_4091_4270,    1.0010,    1.0000
XU2_4270_4650,    1.0010,    1.0000
XU2_4070_4330,    1.0010,    1.0000
XU2_4330_4480,    1.0010,    1.0000
XU2_4480_4650,    1.0010,    1.0000
XU3_4650_0001,    1.0010,    1.0000
 seg ,TOTN,TOTP
YM1_6370_6620,    0.6794,    0.9076
YM2_6120_6430,    0.6794,    0.9076
YM3_6430_6620,    0.6794,    0.9076
YM4_6620_0001, -999.0000, -999.0000
 seg ,TOTN,TOTP
YP1_6570_6680,    0.7789,    0.9339
YP3_6470_6690,    0.7789,    0.9339
YP2_6390_6330,    0.7789,    0.9339
YP1_6680_6670,    0.7789,    0.9339
YP3_6690_6720,    0.7789,    0.9339
YP3_6330_6700,    0.7789,    0.9339
YP3_6700_6670,    0.7789,    0.9339
YP3_6670_6720,    0.7789,    0.9339
YP4_6720_6750,    0.7789,    0.9339
