
ITER 1
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-87.1	-68.1	-60.6	-28.8	-66.8	-19.2	7.6	-56.8	-12.9 )
set NO23      = (	-6.6	-17.9	-5.2	39.1	-12.2	58.7	275.1	30.0	192.8 )
set ORGN      = (	11.2	-17.1	-14.4	-31.2	11.6	-17.6	-2.8	-14.8	-15.0 )
set TOTN      = (	-4.9	-18.7	-13.3	0.3	0.1	6.5	65.7	10.5	114.1 )
set PO4X      = (	9.0	-46.3	-49.3	73.6	78.9	47.9	16.4	-31.9	-19.4 )
set PIPX      = (	90.0	4.5	-51.0	-20.7	866.9	446.0	1695.3	3.4	506.3 )
set ORGP      = (	12.7	-10.8	-23.0	-7.0	50.7	-9.4	-46.8	-7.7	14.6 )
set TOTP      = (	31.5	-11.9	-41.9	-5.4	149.1	93.9	1.4	-8.0	82.8 )
set TSED      = (	4.4	-40.8	-42.4	-55.0	415.9	155.5	209.7	74.2	1023.8 )
set TSSX      = (	7.6	-38.5	-23.7	-40.0	506.6	230.4	358.9	77.3	1027.0 )

ITER 2
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-17.8	-37.4	-65.7	29.6	-77.8	-13.1	120.3	-23.8	17.7 )
set NO23      = (	-8.3	-15.8	-5.8	39.5	-19.1	45.1	241.6	28.4	186.9 )
set ORGN      = (	2.7	-27.7	-21.8	-43.1	-32.2	-47.3	-29.0	-13.5	-54.2 )
set TOTN      = (	-5.5	-20.2	-18.5	-3.8	-31.6	-16.4	43.7	12.4	98.3 )
set PO4X      = (	15.5	-8.0	-27.6	11.3	18.6	65.9	21.3	13.5	-7.1 )
set PIPX      = (	15.1	-14.8	-69.1	10.9	118.7	65.7	1121.3	-10.4	418.4 )
set ORGP      = (	3.5	-23.1	-30.9	-23.5	-7.4	-42.1	-58.0	-7.5	-36.7 )
set TOTP      = (	7.9	-17.0	-48.1	-0.8	11.8	2.4	-17.8	-4.4	44.6 )
set TSED      = (	-49.0	-47.3	-54.9	-33.9	-27.2	-38.8	126.9	66.1	845.9 )
set TSSX      = (	-46.1	-45.2	-39.9	-12.5	0.0	-18.9	237.9	68.7	848.5 )

ITER 3
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-7.9	-19.1	67.4	53.7	-28.7	7.1	159.0	-12.3	23.4 )
set NO23      = (	-8.9	-12.3	-3.3	-3.3	-1.4	51.8	124.1	25.0	112.4 )
set ORGN      = (	-4.6	-37.4	-28.1	-48.2	-30.0	-36.1	-33.4	-14.6	-54.1 )
set TOTN      = (	-7.5	-20.8	-17.1	-24.7	-22.3	-6.2	13.4	10.8	52.3 )
set PO4X      = (	22.6	20.2	18.0	5.9	36.8	35.7	36.0	44.5	-4.1 )
set PIPX      = (	334.6	11.9	154.2	39.3	169.7	63.7	886.1	16.3	343.0 )
set ORGP      = (	-6.2	-34.9	-39.0	-30.2	-5.7	-31.9	-61.6	-9.2	-36.6 )
set TOTP      = (	84.0	-7.5	63.0	11.4	22.1	1.7	-22.4	11.3	33.5 )
set TSED      = (	86.2	-25.1	160.8	-10.4	-8.6	-38.3	83.3	93.0	653.1 )
set TSSX      = (	87.1	-23.6	237.9	18.2	19.2	-19.1	173.1	95.6	655.4 )

ITER 4
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-34.2	-10.1	5.2	-6.4	-15.8	89.8	110.0	-11.4	9.6 )
set NO23      = (	-3.8	-7.0	4.2	7.7	17.7	54.3	128.5	20.4	80.2 )
set ORGN      = (	-16.5	-47.3	-32.5	-48.8	-35.2	-30.9	-24.2	-16.9	-54.0 )
set TOTN      = (	-8.2	-20.6	-20.0	-22.1	-19.7	1.5	18.9	7.3	31.8 )
set PO4X      = (	8.2	29.6	17.9	2.7	39.8	21.3	29.9	48.9	0.4 )
set PIPX      = (	107.5	16.1	35.4	33.6	223.6	568.7	760.5	2.2	213.6 )
set ORGP      = (	-18.8	-47.4	-44.3	-31.0	-13.6	-27.1	-56.8	-11.9	-36.3 )
set TOTP      = (	16.9	-9.9	6.1	7.8	23.3	102.2	-22.5	5.6	14.4 )
set TSED      = (	-18.8	-28.1	60.8	-17.8	3.4	251.8	51.4	67.9	389.3 )
set TSSX      = (	-17.3	-27.0	108.7	8.5	29.9	352.4	126.6	70.2	391.3 )

ITER 5
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-29.3	6.2	-13.1	10.3	1.8	56.3	83.0	-15.8	5.5 )
set NO23      = (	-2.4	-4.5	7.1	8.8	39.5	49.6	130.7	15.4	106.8 )
set ORGN      = (	-18.8	-55.0	-34.5	-50.3	-40.8	-42.6	-17.8	-18.0	-54.1 )
set TOTN      = (	-7.7	-21.2	-21.0	-21.9	-16.5	-9.0	22.9	3.5	48.1 )
set PO4X      = (	13.6	16.0	22.2	3.8	26.5	28.0	29.1	45.6	-5.0 )
set PIPX      = (	145.2	49.7	-7.4	62.1	278.4	365.6	595.4	-25.5	226.2 )
set ORGP      = (	-22.9	-56.8	-46.9	-32.8	-21.9	-39.6	-53.6	-13.4	-36.5 )
set TOTP      = (	24.7	-4.8	-13.6	22.5	21.3	55.7	-23.5	-6.5	14.7 )
set TSED      = (	-7.4	-14.0	19.7	8.6	15.2	145.9	16.0	13.2	403.1 )
set TSSX      = (	-6.1	-13.4	55.5	43.1	40.7	216.4	74.8	14.9	404.7 )

ITER 6
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-23.6	5.5	-18.9	-3.4	20.6	38.3	78.6	-9.7	6.5 )
set NO23      = (	-0.0	-2.3	7.6	9.9	48.5	50.5	130.2	17.3	74.5 )
set ORGN      = (	-23.3	-59.4	-34.5	-52.2	-43.5	-44.5	-13.4	-17.4	-54.1 )
set TOTN      = (	-7.0	-21.3	-21.1	-22.9	-14.8	-10.7	25.7	5.3	28.1 )
set PO4X      = (	27.1	2.0	22.1	8.3	14.6	32.2	29.6	58.3	-7.2 )
set PIPX      = (	107.6	44.4	-27.2	36.6	296.9	241.7	615.2	36.6	226.6 )
set ORGP      = (	-30.4	-61.6	-46.9	-35.3	-26.1	-41.8	-51.6	-13.4	-36.5 )
set TOTP      = (	12.6	-11.6	-22.8	8.4	18.3	30.6	-21.4	20.2	14.1 )
set TSED      = (	-24.4	-22.8	-1.0	-19.5	15.8	83.1	19.5	73.1	398.1 )
set TSSX      = (	-23.6	-22.3	28.6	6.1	39.8	136.1	80.0	75.2	399.9 )

ITER 7
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-22.3	8.1	-22.6	1.2	37.4	30.8	76.7	-10.9	5.6 )
set NO23      = (	-0.1	-1.4	7.8	18.4	56.8	50.4	130.1	18.1	74.6 )
set ORGN      = (	-21.6	-61.6	-35.2	-52.6	-44.9	-41.0	-11.2	-18.2	-54.2 )
set TOTN      = (	-6.5	-21.4	-21.6	-19.2	-12.4	-8.8	27.2	5.4	28.1 )
set PO4X      = (	17.8	-11.3	23.3	5.9	7.2	33.5	30.1	50.4	-8.5 )
set PIPX      = (	128.4	43.7	-38.1	36.8	350.7	173.3	644.9	10.3	226.2 )
set ORGP      = (	-30.1	-64.0	-47.9	-35.6	-28.3	-38.0	-50.8	-14.5	-36.6 )
set TOTP      = (	16.7	-15.4	-28.0	8.1	21.6	19.5	-20.1	7.9	13.6 )
set TSED      = (	-19.6	-25.3	-6.1	-19.2	42.0	45.0	22.8	50.2	393.5 )
set TSSX      = (	-18.7	-24.9	22.1	6.5	68.6	87.1	84.6	52.0	395.5 )

ITER 8
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-10.9	9.7	-26.8	11.1	41.6	24.1	75.2	-10.2	4.9 )
set NO23      = (	2.1	-0.4	8.2	18.3	53.4	49.6	130.1	18.9	74.6 )
set ORGN      = (	-26.0	-63.1	-35.3	-53.3	-43.2	-36.0	-9.9	-17.0	-54.2 )
set TOTN      = (	-5.7	-21.3	-21.7	-19.2	-11.9	-6.2	28.0	6.4	28.1 )
set PO4X      = (	37.7	-17.0	24.3	7.4	7.3	37.1	29.1	47.5	-9.3 )
set PIPX      = (	184.1	43.2	-48.8	31.8	306.2	120.8	674.9	2.3	225.2 )
set ORGP      = (	-37.8	-65.9	-48.1	-36.4	-26.1	-32.8	-50.2	-13.3	-36.7 )
set TOTP      = (	29.0	-17.6	-32.8	5.3	18.0	12.9	-19.3	4.7	13.2 )
set TSED      = (	-0.0	-25.5	-21.6	-26.6	22.5	10.1	26.0	46.5	389.6 )
set TSSX      = (	-0.1	-25.2	2.0	-3.2	46.4	42.5	89.2	48.3	391.5 )

ITER 9
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-17.6	8.5	-28.4	13.8	47.3	18.4	74.7	-9.0	4.3 )
set NO23      = (	1.4	0.1	8.6	19.0	64.2	48.7	129.7	18.1	74.6 )
set ORGN      = (	-25.2	-63.6	-36.1	-53.8	-44.8	-31.0	-9.2	-17.7	-54.1 )
set TOTN      = (	-6.2	-21.1	-22.2	-19.0	-9.7	-3.5	28.4	5.7	28.1 )
set PO4X      = (	13.4	-21.6	28.0	7.0	9.5	41.1	28.0	51.4	-9.9 )
set PIPX      = (	163.6	36.2	-53.4	30.5	320.4	80.5	703.0	-1.1	223.9 )
set ORGP      = (	-36.3	-66.7	-49.3	-36.7	-28.5	-27.3	-49.9	-14.5	-36.5 )
set TOTP      = (	21.3	-21.3	-34.5	4.4	18.3	8.9	-18.7	3.7	12.9 )
set TSED      = (	-7.5	-31.4	-29.8	-28.7	39.1	-15.2	29.0	45.6	386.2 )
set TSSX      = (	-7.2	-31.1	-8.6	-6.1	64.5	10.2	93.6	47.3	387.8 )

ITER 10
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-10.6	20.9	-11.1	28.3	49.7	27.1	74.5	-8.6	4.0 )
set NO23      = (	3.4	0.3	10.7	19.2	61.8	50.0	130.1	19.7	74.6 )
set ORGN      = (	-30.5	-63.6	-36.7	-53.8	-43.0	-27.5	-8.8	-17.3	-54.1 )
set TOTN      = (	-5.9	-20.7	-21.3	-18.5	-9.0	-0.5	28.7	6.9	28.1 )
set PO4X      = (	45.0	-26.8	49.1	-0.6	9.2	44.4	27.0	50.3	-10.1 )
set PIPX      = (	150.8	75.5	-15.5	50.0	295.4	127.6	727.5	-0.7	222.5 )
set ORGP      = (	-43.6	-66.9	-50.0	-36.6	-26.1	-23.7	-49.7	-14.3	-36.5 )
set TOTP      = (	18.1	-8.4	-12.5	14.1	17.1	21.2	-18.2	3.7	12.6 )
set TSED      = (	-14.8	-9.4	-6.0	-16.3	22.5	6.2	31.8	47.2	382.7 )
set TSSX      = (	-15.0	-9.2	22.0	10.1	45.6	37.4	97.8	48.9	384.3 )

ITER 11
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-12.5	12.9	-20.7	20.2	53.8	29.5	74.7	-8.1	3.7 )
set NO23      = (	2.2	0.5	6.8	19.7	69.1	51.1	129.1	16.0	74.6 )
set ORGN      = (	-24.2	-64.4	-37.3	-54.6	-43.9	-28.1	-8.7	-17.3	-54.1 )
set TOTN      = (	-5.2	-21.0	-23.2	-19.0	-7.3	-0.4	28.6	4.7	28.1 )
set PO4X      = (	10.0	-27.2	32.1	-1.4	14.5	44.8	26.3	50.0	-10.3 )
set PIPX      = (	184.2	45.2	-31.5	33.1	321.9	143.1	749.4	-0.1	221.4 )
set ORGP      = (	-35.9	-67.0	-50.4	-37.6	-27.4	-24.3	-49.6	-14.5	-36.6 )
set TOTP      = (	26.2	-19.3	-23.8	4.6	20.2	24.0	-17.9	3.8	12.3 )
set TSED      = (	-3.1	-23.2	-23.5	-30.9	26.8	12.5	34.4	48.0	379.3 )
set TSSX      = (	-3.1	-22.9	-0.5	-9.0	50.0	45.5	101.6	49.7	381.3 )

ITER 12
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-10.2	10.3	-24.6	17.3	55.8	25.7	74.7	-8.6	3.5 )
set NO23      = (	3.7	0.4	4.2	20.0	67.5	52.0	129.8	17.1	74.6 )
set ORGN      = (	-28.9	-63.9	-36.7	-54.7	-43.3	-29.0	-8.9	-16.8	-54.2 )
set TOTN      = (	-5.3	-20.9	-23.8	-19.0	-7.2	-0.9	28.7	5.4	28.1 )
set PO4X      = (	46.7	-25.2	21.9	-2.7	10.4	45.9	26.0	49.3	-10.4 )
set PIPX      = (	141.2	34.7	-41.4	23.9	325.3	122.1	769.8	1.2	220.0 )
set ORGP      = (	-42.4	-66.4	-49.4	-37.5	-26.6	-25.3	-49.8	-14.1	-36.6 )
set TOTP      = (	16.7	-22.4	-30.3	-0.4	20.4	19.4	-17.6	4.3	12.0 )
set TSED      = (	-24.3	-29.5	-30.9	-39.1	25.1	-2.4	36.8	49.7	376.6 )
set TSSX      = (	-24.5	-29.3	-10.0	-19.8	48.3	26.4	105.0	51.3	378.4 )

ITER 13
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-7.1	13.0	-24.3	24.6	56.6	29.5	75.2	-8.6	3.3 )
set NO23      = (	3.2	-1.0	2.0	20.2	73.8	52.7	128.6	17.9	74.6 )
set ORGN      = (	-25.7	-62.3	-36.8	-54.2	-44.7	-29.1	-9.0	-16.6	-54.1 )
set TOTN      = (	-4.6	-21.3	-24.5	-18.4	-6.5	-0.5	28.3	5.9	28.1 )
set PO4X      = (	12.4	-26.6	24.3	-7.5	16.7	43.9	25.4	49.8	-10.6 )
set PIPX      = (	211.4	36.2	-39.7	32.6	293.7	140.6	788.5	2.4	218.9 )
set ORGP      = (	-38.7	-64.7	-49.6	-36.7	-28.5	-25.4	-49.9	-14.0	-36.5 )
set TOTP      = (	31.8	-21.3	-29.1	4.1	16.6	22.6	-17.4	5.0	11.9 )
set TSED      = (	0.2	-27.2	-25.1	-33.0	11.3	6.2	39.1	51.1	373.9 )
set TSSX      = (	0.1	-26.9	-2.6	-11.8	31.9	37.3	108.3	52.8	375.9 )

ITER 14
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-2.1	15.5	-27.8	30.4	59.4	30.5	75.0	-8.4	3.2 )
set NO23      = (	4.8	-1.1	1.1	20.4	70.5	54.0	129.3	18.7	74.6 )
set ORGN      = (	-29.8	-61.7	-36.0	-54.2	-42.8	-29.9	-9.1	-16.3	-54.1 )
set TOTN      = (	-4.5	-21.0	-24.4	-18.1	-6.0	-0.6	28.4	6.6	28.1 )
set PO4X      = (	39.0	-23.0	22.1	-9.4	10.3	42.1	24.9	49.5	-10.6 )
set PIPX      = (	196.9	40.3	-44.5	41.5	303.8	150.3	805.1	4.1	217.7 )
set ORGP      = (	-44.6	-64.3	-48.4	-36.6	-26.0	-26.2	-49.9	-13.7	-36.5 )
set TOTP      = (	28.3	-19.0	-31.3	8.7	18.3	23.7	-17.2	5.7	11.7 )
set TSED      = (	-0.6	-21.2	-31.0	-26.7	14.7	10.0	41.1	53.1	371.2 )
set TSSX      = (	-1.3	-20.9	-10.1	-3.4	36.1	42.2	111.4	54.8	373.2 )

ITER 15
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-11.6	11.5	-31.1	43.5	59.1	31.7	75.5	-8.3	3.1 )
set NO23      = (	3.8	-1.0	-0.8	20.9	73.0	54.4	128.1	17.9	74.6 )
set ORGN      = (	-26.5	-61.0	-35.8	-54.6	-42.9	-30.6	-9.3	-16.3	-54.1 )
set TOTN      = (	-4.6	-20.9	-25.0	-17.7	-5.3	-0.9	27.9	6.1	28.1 )
set PO4X      = (	8.7	-19.7	23.6	-11.1	10.9	40.6	24.7	49.6	-10.6 )
set PIPX      = (	196.3	33.3	-47.6	68.7	292.2	158.0	819.0	4.3	216.7 )
set ORGP      = (	-40.4	-63.8	-48.3	-37.0	-26.1	-27.1	-50.0	-13.7	-36.5 )
set TOTP      = (	26.3	-20.7	-32.4	23.0	17.1	24.4	-17.1	5.7	11.5 )
set TSED      = (	-5.5	-26.9	-35.6	-13.4	15.2	13.0	43.1	53.4	368.9 )
set TSSX      = (	-5.6	-26.5	-16.1	13.9	36.6	46.0	114.4	55.1	370.9 )

ITER 16
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-4.6	14.8	-24.8	39.2	58.5	29.8	75.3	-8.1	3.0 )
set NO23      = (	5.1	-1.2	-2.5	21.1	69.3	54.9	128.7	18.3	74.6 )
set ORGN      = (	-30.7	-60.3	-34.6	-55.7	-41.0	-31.4	-9.5	-16.2	-54.1 )
set TOTN      = (	-4.6	-20.7	-24.5	-18.3	-5.1	-1.3	28.0	6.4	28.1 )
set PO4X      = (	38.3	-18.6	33.5	-12.1	11.4	40.5	24.2	49.4	-10.7 )
set PIPX      = (	179.9	37.5	-33.1	60.5	273.2	148.6	832.9	6.9	215.8 )
set ORGP      = (	-46.2	-63.2	-46.7	-38.4	-23.5	-27.8	-50.0	-13.6	-36.6 )
set TOTP      = (	22.9	-18.7	-23.0	18.0	16.8	22.1	-16.9	6.8	11.3 )
set TSED      = (	-10.9	-25.6	-29.1	-17.7	4.6	5.9	45.0	56.3	367.0 )
set TSSX      = (	-11.4	-25.2	-7.6	8.4	24.9	36.9	117.2	57.9	369.0 )

ITER 17
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-10.7	26.4	-30.6	37.1	59.8	31.8	75.7	-7.9	2.9 )
set NO23      = (	4.1	-1.5	-4.3	21.3	76.5	55.2	127.5	18.8	74.6 )
set ORGN      = (	-27.3	-59.7	-34.5	-56.3	-42.6	-31.4	-9.7	-16.2	-54.2 )
set TOTN      = (	-4.6	-20.4	-25.2	-18.6	-4.1	-1.1	27.5	6.7	28.0 )
set PO4X      = (	8.0	-19.2	28.9	-12.6	16.0	38.7	24.2	49.6	-10.7 )
set PIPX      = (	197.8	52.6	-38.8	54.3	294.3	159.0	844.3	8.6	215.0 )
set ORGP      = (	-41.8	-62.6	-46.6	-39.1	-25.8	-27.9	-50.1	-13.8	-36.6 )
set TOTP      = (	25.8	-13.1	-26.7	14.3	18.4	23.7	-16.8	7.4	11.1 )
set TSED      = (	-5.6	-14.4	-35.9	-20.9	11.3	11.0	46.8	58.2	365.5 )
set TSSX      = (	-5.7	-14.1	-16.5	4.1	32.0	43.4	119.7	59.9	367.1 )

ITER 18
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-2.4	19.8	-25.8	36.5	61.5	32.5	75.6	-7.9	2.8 )
set NO23      = (	4.1	-1.7	-5.7	21.4	74.4	55.6	128.5	17.8	74.6 )
set ORGN      = (	-27.5	-59.3	-33.7	-56.7	-41.8	-31.8	-10.1	-16.2	-54.1 )
set TOTN      = (	-4.3	-20.5	-24.9	-18.7	-4.1	-1.2	27.5	6.1	28.1 )
set PO4X      = (	30.4	-17.8	34.6	-12.3	13.3	37.4	25.3	48.9	-10.9 )
set PIPX      = (	180.6	28.9	-25.5	51.2	296.7	163.4	858.2	8.4	214.2 )
set ORGP      = (	-42.1	-62.2	-45.5	-39.6	-24.7	-28.3	-50.5	-13.7	-36.5 )
set TOTP      = (	24.5	-21.1	-18.9	12.5	19.0	24.1	-16.6	7.2	11.1 )
set TSED      = (	-9.0	-30.5	-33.0	-23.3	10.4	13.2	48.3	58.3	364.0 )
set TSSX      = (	-9.4	-30.2	-12.7	1.0	31.2	46.2	121.9	60.0	365.5 )

ITER 19
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-11.1	25.5	-22.0	36.4	62.2	31.4	76.1	-7.9	2.8 )
set NO23      = (	2.9	-2.1	-7.8	21.7	75.6	55.6	127.2	18.1	74.6 )
set ORGN      = (	-24.1	-58.8	-33.2	-57.2	-41.9	-32.1	-10.4	-16.2	-54.1 )
set TOTN      = (	-4.6	-20.5	-25.0	-18.9	-3.8	-1.4	27.0	6.3	28.1 )
set PO4X      = (	4.1	-18.1	37.1	-11.5	12.3	37.5	24.8	49.2	-10.8 )
set PIPX      = (	189.3	35.5	-13.0	48.7	302.5	155.5	871.3	10.6	213.5 )
set ORGP      = (	-37.6	-61.6	-44.8	-40.2	-24.9	-28.7	-50.7	-13.8	-36.5 )
set TOTP      = (	25.6	-18.6	-12.3	11.0	19.4	22.3	-16.5	8.1	10.9 )
set TSED      = (	-6.4	-26.0	-30.8	-23.2	15.2	8.5	49.8	60.7	362.0 )
set TSSX      = (	-6.5	-25.6	-9.9	1.1	36.7	40.1	124.1	62.4	363.8 )

ITER 20
