
ITER 1
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-0.2	36.4	-1.6	26.3	53.6	34.3	69.5	-8.0	1.9 )
set NO23      = (	4.0	-3.9	-0.5	16.1	83.2	50.5	119.7	17.2	49.4 )
set ORGN      = (	-28.1	-56.4	-37.0	-53.3	-41.6	-29.6	-18.5	-13.0	-37.7 )
set TOTN      = (	-4.4	-20.6	-24.6	-19.7	-2.0	-1.4	19.1	6.6	17.9 )
set PO4X      = (	37.0	-20.4	28.9	-4.0	6.9	35.0	24.7	27.5	-11.1 )
set PIPX      = (	146.5	42.1	-18.6	69.3	368.3	206.5	848.6	46.6	117.5 )
set ORGP      = (	-37.5	-61.4	-27.4	-59.3	-45.5	-35.4	-52.9	-28.9	-63.1 )
set TOTP      = (	19.5	-16.5	-11.2	15.8	11.4	28.0	-18.7	11.6	-18.9 )
set TSED      = (	-13.6	-30.6	-33.7	-23.4	-0.1	22.3	-10.7	51.4	5.9 )
set TSSX      = (	-14.0	-30.2	-13.6	0.8	17.5	57.8	35.5	53.1	7.5 )

ITER 2
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-91.8	-67.0	-67.2	-20.5	-87.5	-58.4	-22.8	-59.0	-32.8 )
set NO23      = (	-8.9	-13.6	-13.3	39.9	-28.0	33.5	263.6	30.4	169.0 )
set ORGN      = (	28.7	-19.0	-5.2	-35.3	17.7	-17.3	-1.5	-12.7	-17.2 )
set TOTN      = (	-2.1	-16.5	-10.0	-1.2	-1.3	-3.0	62.5	11.2	97.8 )
set PO4X      = (	-16.9	-49.4	-35.6	44.7	30.2	122.1	20.5	-1.5	23.9 )
set PIPX      = (	-11.7	-8.1	-50.7	-30.4	90.7	66.5	1048.1	-25.7	82.6 )
set ORGP      = (	35.7	-17.4	12.0	-40.7	33.0	-20.0	-43.7	-20.2	-56.5 )
set TOTP      = (	16.0	-19.9	-27.7	-26.1	39.0	27.6	-8.4	-18.6	-10.5 )
set TSED      = (	-54.0	-46.2	-55.5	-52.8	-14.1	-43.4	53.2	5.9	20.3 )
set TSSX      = (	-49.6	-44.1	-40.2	-37.2	14.3	-24.1	130.0	8.5	21.5 )

ITER 3
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	31.9	-37.3	-72.2	88.5	-43.6	-11.8	101.7	-8.8	17.8 )
set NO23      = (	-12.0	-16.7	-20.2	-2.7	-11.5	41.2	137.2	28.5	92.8 )
set ORGN      = (	15.2	-22.2	-14.0	-38.1	-0.7	-21.9	-15.9	-13.3	-27.1 )
set TOTN      = (	-2.8	-18.9	-18.0	-17.9	-6.4	-1.4	26.6	13.6	49.1 )
set PO4X      = (	33.8	-19.4	-20.6	-5.6	9.3	15.4	32.2	27.1	19.4 )
set PIPX      = (	410.7	-35.5	-59.0	69.3	211.1	56.9	640.2	115.3	65.9 )
