
ITER 1
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set TSSX      = (	-24.4	-28.3	-18.5	26.3	29.8	-14.2	70.4	41.4	165.3 )

ITER 6
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-51.1	-36.9	-34.7	44.0	-8.7	17.9	142.2	-3.4	91.6 )
set NO23      = (	-40.9	-37.2	9.4	19.7	58.0	41.0	141.1	-11.5	68.0 )
set ORGN      = (	52.2	-32.1	-48.2	-42.9	-41.9	-26.3	-20.5	49.1	-46.9 )
set TOTN      = (	-16.3	-35.3	-30.1	-12.0	-12.9	-3.0	26.1	7.2	29.9 )
set PO4X      = (	28.7	-14.3	27.8	2.6	-9.3	25.5	32.7	17.2	-8.6 )
set PIPX      = (	19.2	-13.5	-69.4	-16.6	290.1	60.4	668.6	-36.3	332.0 )
set ORGP      = (	-31.0	-66.4	-49.9	-64.9	-53.6	-47.4	-59.3	-42.9	-84.5 )
set TOTP      = (	-10.0	-37.5	-42.2	-31.9	-6.1	-10.3	-25.7	-28.5	4.3 )
set TSED      = (	-27.9	-30.5	-29.8	-3.2	6.8	-25.7	-0.9	17.3	164.3 )
set TSSX      = (	-27.2	-29.9	-8.6	27.5	27.7	-3.3	50.5	18.7	165.7 )

ITER 7
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-50.8	-33.0	-27.9	46.1	-0.2	19.7	137.2	-1.1	90.9 )
set NO23      = (	-40.0	-35.7	11.7	20.1	64.7	44.0	135.6	-11.7	68.5 )
set ORGN      = (	54.1	-33.3	-49.4	-42.9	-43.9	-25.2	-18.6	50.3	-47.5 )
set TOTN      = (	-15.2	-34.7	-29.9	-11.8	-11.9	-1.3	25.8	7.6	30.0 )
set PO4X      = (	7.3	-13.3	30.8	0.5	-17.6	22.8	32.0	11.1	-11.8 )
set PIPX      = (	35.3	-13.1	-69.9	-16.3	318.4	62.2	719.8	-32.3	337.8 )
set ORGP      = (	-32.2	-68.3	-51.2	-64.9	-57.1	-46.9	-58.8	-42.4	-84.5 )
set TOTP      = (	-9.6	-38.0	-42.2	-32.0	-6.9	-10.2	-24.5	-28.0	4.3 )
set TSED      = (	-18.0	-33.5	-29.8	-3.1	7.6	-19.9	1.7	24.6	164.8 )
set TSSX      = (	-17.4	-33.1	-8.8	27.6	27.6	4.0	54.2	26.1	166.3 )

ITER 8
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-47.5	-26.7	-20.2	48.3	5.0	24.0	128.5	-1.3	91.1 )
set NO23      = (	-39.2	-34.6	14.1	20.8	67.0	44.5	130.4	-11.6	68.3 )
set ORGN      = (	51.5	-33.2	-49.9	-43.3	-44.3	-24.4	-17.0	50.7	-48.4 )
set TOTN      = (	-15.2	-33.8	-29.2	-11.5	-11.2	-0.4	25.3	7.8	29.6 )
set PO4X      = (	35.0	-23.5	31.5	-1.0	-20.8	19.3	30.3	8.9	-13.4 )
set PIPX      = (	28.2	-13.4	-69.9	-15.5	327.2	68.5	735.1	-31.6	341.0 )
set ORGP      = (	-37.8	-68.8	-51.5	-65.3	-58.3	-46.5	-58.1	-42.5	-84.7 )
set TOTP      = (	-10.8	-40.3	-42.1	-31.8	-7.3	-9.4	-23.9	-28.1	4.3 )
set TSED      = (	-23.0	-34.5	-28.3	-1.1	6.1	-8.7	-0.7	13.0	165.2 )
set TSSX      = (	-22.9	-34.0	-6.9	30.2	25.5	18.3	50.7	14.4	166.7 )

ITER 9
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-48.6	-23.6	-13.9	50.0	7.8	24.6	119.6	-0.1	91.0 )
set NO23      = (	-38.7	-33.2	15.2	21.1	69.1	44.3	126.6	-11.3	68.2 )
set ORGN      = (	54.6	-34.0	-50.6	-43.3	-44.5	-23.6	-15.8	51.2	-48.7 )
set TOTN      = (	-14.1	-33.2	-29.2	-11.4	-10.7	0.1	24.9	8.2	29.4 )
set PO4X      = (	5.7	-21.0	32.8	-3.7	-23.1	18.6	28.7	4.1	-14.3 )
set PIPX      = (	40.7	-13.9	-70.1	-15.1	332.8	67.7	757.8	-27.9	343.0 )
set ORGP      = (	-36.0	-70.8	-52.5	-65.3	-59.2	-46.0	-57.5	-42.2	-84.6 )
set TOTP      = (	-10.8	-40.9	-42.2	-31.9	-7.7	-9.4	-23.3	-27.5	4.4 )
set TSED      = (	-16.9	-36.6	-27.9	-0.5	5.7	-5.2	-1.4	17.1	165.6 )
set TSSX      = (	-16.6	-36.3	-6.4	31.0	24.8	22.7	49.7	18.5	167.1 )

ITER 10
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-44.6	-16.9	-5.2	50.1	9.6	26.3	111.8	2.3	91.0 )
set NO23      = (	-37.8	-32.7	17.1	21.8	69.2	43.6	123.5	-11.3	68.3 )
set ORGN      = (	50.9	-33.6	-50.8	-43.5	-44.3	-23.2	-15.0	51.0	-49.4 )
set TOTN      = (	-14.3	-32.5	-28.4	-11.2	-10.4	0.2	24.4	8.3	29.2 )
set PO4X      = (	38.0	-27.1	31.6	-2.9	-24.3	17.3	26.7	0.0	-14.6 )
