 STATION SW7_1640_0003 for TOTN
   upstream segment SW2_0880_0930 SW7_1640_0003 TOTN
   upstream segment SW2_1050_0930 SW7_1640_0003 TOTN
   upstream segment SW2_1770_1690 SW7_1640_0003 TOTN
   upstream segment SW1_1830_1690 SW7_1640_0003 TOTN
   upstream segment SW3_1130_1390 SW7_1640_0003 TOTN
   upstream segment SW4_1490_1400 SW7_1640_0003 TOTN
   upstream segment SW5_1540_1400 SW7_1640_0003 TOTN
   upstream segment SW1_1890_1830 SW7_1640_0003 TOTN
   upstream segment SW2_1100_1130 SW7_1640_0003 TOTN
   upstream segment SW3_1380_1490 SW7_1640_0003 TOTN
   upstream segment SW4_1430_1490 SW7_1640_0003 TOTN
   upstream segment SW3_1750_1540 SW7_1640_0003 TOTN
   upstream segment SW5_1650_1540 SW7_1640_0003 TOTN
   upstream segment SW1_1910_1890 SW7_1640_0003 TOTN
   upstream segment SW3_1091_1380 SW7_1640_0003 TOTN
   upstream segment SW2_1360_1430 SW7_1640_0003 TOTN
   upstream segment SW3_1370_1430 SW7_1640_0003 TOTN
   upstream segment SW3_1920_1750 SW7_1640_0003 TOTN
   upstream segment SW3_1800_1650 SW7_1640_0003 TOTN
   upstream segment SW4_1720_1650 SW7_1640_0003 TOTN
   upstream segment SW3_1090_1091 SW7_1640_0003 TOTN
   upstream segment SW3_1270_1370 SW7_1640_0003 TOTN
   upstream segment SW3_1870_1800 SW7_1640_0003 TOTN
   upstream segment SW4_1860_1720 SW7_1640_0003 TOTN
   upstream segment SW1_1170_1270 SW7_1640_0003 TOTN
   upstream segment SW2_1240_1270 SW7_1640_0003 TOTN
   upstream segment SW4_1940_1860 SW7_1640_0003 TOTN
   upstream segment SW2_1950_1940 SW7_1640_0003 TOTN
   upstream segment SW2_2020_1940 SW7_1640_0003 TOTN
 STATION SW3_1040_1220 for TOTP
   upstream segment SW3_1040_1220 SW3_1040_1220 TOTP
 STATION SW4_1260_0003 for TOTP
   upstream segment SW1_1160_1260 SW4_1260_0003 TOTP
   upstream segment SW3_1060_1260 SW4_1260_0003 TOTP
   upstream segment SW2_1030_1060 SW4_1260_0003 TOTP
   upstream segment SW2_1070_1060 SW4_1260_0003 TOTP
 STATION SW0_1520_1600 for TOTP
   upstream segment SW0_1520_1600 SW0_1520_1600 TOTP
 STATION SW1_1890_1830 for TOTP
   upstream segment SW1_1890_1830 SW1_1890_1830 TOTP
   upstream segment SW1_1910_1890 SW1_1890_1830 TOTP
 STATION SW3_1130_1390 for TOTP
   upstream segment SW3_1130_1390 SW3_1130_1390 TOTP
   upstream segment SW2_1100_1130 SW3_1130_1390 TOTP
 STATION SW5_1350_0003 for TOTP
   upstream segment SW3_1080_1350 SW5_1350_0003 TOTP
   upstream segment SW4_1150_1350 SW5_1350_0003 TOTP
   upstream segment SW4_1110_1150 SW5_1350_0003 TOTP
   upstream segment SW2_1000_1110 SW5_1350_0003 TOTP
   upstream segment SW3_0930_1110 SW5_1350_0003 TOTP
   upstream segment SW2_0880_0930 SW5_1350_0003 TOTP
   upstream segment SW2_1050_0930 SW5_1350_0003 TOTP
 STATION SW3_1690_0003 for TOTP
   upstream segment SW2_1770_1690 SW3_1690_0003 TOTP
   upstream segment SW1_1830_1690 SW3_1690_0003 TOTP
   upstream segment SW1_1890_1830 SW3_1690_0003 TOTP
   upstream segment SW1_1910_1890 SW3_1690_0003 TOTP
 STATION SW3_1091_1380 for TOTP
   upstream segment SW3_1091_1380 SW3_1091_1380 TOTP
   upstream segment SW3_1090_1091 SW3_1091_1380 TOTP
 STATION SW3_1870_1800 for TOTP
   upstream segment SW3_1870_1800 SW3_1870_1800 TOTP
 STATION SW3_1270_1370 for TOTP
   upstream segment SW3_1270_1370 SW3_1270_1370 TOTP
   upstream segment SW1_1170_1270 SW3_1270_1370 TOTP
   upstream segment SW2_1240_1270 SW3_1270_1370 TOTP
 STATION SW4_1940_1860 for TOTP
   upstream segment SW4_1940_1860 SW4_1940_1860 TOTP
   upstream segment SW2_1950_1940 SW4_1940_1860 TOTP
   upstream segment SW2_2020_1940 SW4_1940_1860 TOTP
 STATION SW4_1430_1490 for TOTP
   upstream segment SW4_1430_1490 SW4_1430_1490 TOTP
   upstream segment SW2_1360_1430 SW4_1430_1490 TOTP
   upstream segment SW3_1370_1430 SW4_1430_1490 TOTP
   upstream segment SW3_1270_1370 SW4_1430_1490 TOTP
   upstream segment SW1_1170_1270 SW4_1430_1490 TOTP
   upstream segment SW2_1240_1270 SW4_1430_1490 TOTP
 STATION SW7_1320_0003 for TOTP
   upstream segment SW3_1220_1320 SW7_1320_0003 TOTP
   upstream segment SW7_1340_1320 SW7_1320_0003 TOTP
   upstream segment SW3_1250_1340 SW7_1320_0003 TOTP
   upstream segment SW7_1470_1340 SW7_1320_0003 TOTP
   upstream segment SW5_1350_1470 SW7_1320_0003 TOTP
   upstream segment SW6_1440_1470 SW7_1320_0003 TOTP
   upstream segment SW3_1080_1350 SW7_1320_0003 TOTP
   upstream segment SW4_1150_1350 SW7_1320_0003 TOTP
   upstream segment SW3_1580_1440 SW7_1320_0003 TOTP
   upstream segment SW6_1230_1440 SW7_1320_0003 TOTP
   upstream segment SW4_1110_1150 SW7_1320_0003 TOTP
   upstream segment SW3_1600_1580 SW7_1320_0003 TOTP
   upstream segment SW3_1660_1580 SW7_1320_0003 TOTP
   upstream segment SW6_1330_1230 SW7_1320_0003 TOTP
   upstream segment SW2_1000_1110 SW7_1320_0003 TOTP
   upstream segment SW3_0930_1110 SW7_1320_0003 TOTP
   upstream segment SW0_1520_1600 SW7_1320_0003 TOTP
   upstream segment SW3_1690_1660 SW7_1320_0003 TOTP
   upstream segment SW3_1390_1330 SW7_1320_0003 TOTP
   upstream segment SW6_1400_1330 SW7_1320_0003 TOTP
   upstream segment SW2_0880_0930 SW7_1320_0003 TOTP
   upstream segment SW2_1050_0930 SW7_1320_0003 TOTP
