 STATION YP4_6720_6750 for TOTN
   upstream segment YP4_6720_6750 YP4_6720_6750 TOTN
   upstream segment YP3_6690_6720 YP4_6720_6750 TOTN
   upstream segment YP3_6670_6720 YP4_6720_6750 TOTN
   upstream segment YP3_6470_6690 YP4_6720_6750 TOTN
   upstream segment YP1_6680_6670 YP4_6720_6750 TOTN
   upstream segment YP3_6700_6670 YP4_6720_6750 TOTN
   upstream segment YP1_6570_6680 YP4_6720_6750 TOTN
   upstream segment YP3_6330_6700 YP4_6720_6750 TOTN
   upstream segment YP2_6390_6330 YP4_6720_6750 TOTN
 STATION YP4_6720_6750 for TOTP
   upstream segment YP4_6720_6750 YP4_6720_6750 TOTP
   upstream segment YP3_6690_6720 YP4_6720_6750 TOTP
   upstream segment YP3_6670_6720 YP4_6720_6750 TOTP
   upstream segment YP3_6470_6690 YP4_6720_6750 TOTP
   upstream segment YP1_6680_6670 YP4_6720_6750 TOTP
   upstream segment YP3_6700_6670 YP4_6720_6750 TOTP
   upstream segment YP1_6570_6680 YP4_6720_6750 TOTP
   upstream segment YP3_6330_6700 YP4_6720_6750 TOTP
   upstream segment YP2_6390_6330 YP4_6720_6750 TOTP
