 STATION SL3_2420_2700 for TOTN
   upstream segment SL3_2420_2700 SL3_2420_2700 TOTN
   upstream segment SL1_2390_2420 SL3_2420_2700 TOTN
   upstream segment SL3_2470_2420 SL3_2420_2700 TOTN
   upstream segment SL3_2350_2470 SL3_2420_2700 TOTN
   upstream segment SL1_2190_2350 SL3_2420_2700 TOTN
   upstream segment SL2_2200_2350 SL3_2420_2700 TOTN
 STATION SJ6_2130_0003 for TOTN
 STATION SW7_1640_0003 for TOTN
 STATION SU8_1610_1530 for TOTN
   upstream segment SU8_1610_1530 SU8_1610_1530 TOTN
 STATION SL9_2720_0001 for TOTN
   upstream segment SL9_2720_0001 SL9_2720_0001 TOTN
   upstream segment SL0_2721_2720 SL9_2720_0001 TOTN
   upstream segment SL2_2750_2720 SL9_2720_0001 TOTN
   upstream segment SL9_2700_2720 SL9_2720_0001 TOTN
   upstream segment SL2_2410_2700 SL9_2720_0001 TOTN
   upstream segment SL9_2520_2700 SL9_2720_0001 TOTN
   upstream segment SL2_2300_2520 SL9_2720_0001 TOTN
   upstream segment SL9_2490_2520 SL9_2720_0001 TOTN
   upstream segment SL3_2550_2490 SL9_2720_0001 TOTN
   upstream segment SL9_2430_2490 SL9_2720_0001 TOTN
   upstream segment SL3_2730_2550 SL9_2720_0001 TOTN
   upstream segment SL3_2460_2430 SL9_2720_0001 TOTN
   upstream segment SL9_2310_2430 SL9_2720_0001 TOTN
   upstream segment SL1_2770_2730 SL9_2720_0001 TOTN
   upstream segment SL1_2760_2730 SL9_2720_0001 TOTN
   upstream segment SL4_2240_2310 SL9_2720_0001 TOTN
   upstream segment SL9_2380_2310 SL9_2720_0001 TOTN
   upstream segment SL1_2830_2760 SL9_2720_0001 TOTN
   upstream segment SL4_2140_2240 SL9_2720_0001 TOTN
   upstream segment SL3_2440_2380 SL9_2720_0001 TOTN
   upstream segment SL9_2270_2380 SL9_2720_0001 TOTN
   upstream segment SL0_2831_2830 SL9_2720_0001 TOTN
   upstream segment SL0_2220_2140 SL9_2720_0001 TOTN
   upstream segment SL4_2100_2140 SL9_2720_0001 TOTN
   upstream segment SL3_2400_2440 SL9_2720_0001 TOTN
   upstream segment SL4_2330_2270 SL9_2720_0001 TOTN
   upstream segment SL9_2050_2270 SL9_2720_0001 TOTN
   upstream segment SL0_2180_2220 SL9_2720_0001 TOTN
   upstream segment SL4_2090_2100 SL9_2720_0001 TOTN
   upstream segment SL4_2370_2330 SL9_2720_0001 TOTN
   upstream segment SL3_2260_2050 SL9_2720_0001 TOTN
   upstream segment SL8_2080_2050 SL9_2720_0001 TOTN
   upstream segment SL1_2000_2090 SL9_2720_0001 TOTN
   upstream segment SL2_2070_2090 SL9_2720_0001 TOTN
   upstream segment SL1_2670_2370 SL9_2720_0001 TOTN
   upstream segment SL2_2540_2370 SL9_2720_0001 TOTN
   upstream segment SL3_2290_2260 SL9_2720_0001 TOTN
   upstream segment SL3_1960_2080 SL9_2720_0001 TOTN
   upstream segment SL8_2030_2080 SL9_2720_0001 TOTN
   upstream segment SL2_1990_2070 SL9_2720_0001 TOTN
   upstream segment SL2_1810_2030 SL9_2720_0001 TOTN
   upstream segment SL8_1880_2030 SL9_2720_0001 TOTN
   upstream segment SL2_1850_1990 SL9_2720_0001 TOTN
   upstream segment SL2_1670_1880 SL9_2720_0001 TOTN
   upstream segment SL3_1840_1880 SL9_2720_0001 TOTN
   upstream segment SL8_1780_1880 SL9_2720_0001 TOTN
   upstream segment SL1_1790_1840 SL9_2720_0001 TOTN
   upstream segment SL3_1740_1840 SL9_2720_0001 TOTN
   upstream segment SL1_1700_1780 SL9_2720_0001 TOTN
   upstream segment SL8_1760_1780 SL9_2720_0001 TOTN
   upstream segment SL3_1710_1740 SL9_2720_0001 TOTN
   upstream segment SL1_1730_1700 SL9_2720_0001 TOTN
   upstream segment SW7_1680_1760 SL9_2720_0001 TOTN
   upstream segment SU8_1530_1760 SL9_2720_0001 TOTN
   upstream segment SW1_1510_1680 SL9_2720_0001 TOTN
   upstream segment SW1_1450_1510 SL9_2720_0001 TOTN
   upstream segment SJ6_2130_2050 SL9_2720_0001 TOTN
   upstream segment SW7_1640_1680 SL9_2720_0001 TOTN
     upstream station SL3_2420_2700 SL9_2720_0001 TOTN
     upstream station SJ6_2130_0003 SL9_2720_0001 TOTN
     upstream station SW7_1640_0003 SL9_2720_0001 TOTN
     upstream station SU8_1610_1530 SL9_2720_0001 TOTN
 STATION SL3_2420_2700 for TOTP
   upstream segment SL3_2420_2700 SL3_2420_2700 TOTP
   upstream segment SL1_2390_2420 SL3_2420_2700 TOTP
   upstream segment SL3_2470_2420 SL3_2420_2700 TOTP
   upstream segment SL3_2350_2470 SL3_2420_2700 TOTP
   upstream segment SL1_2190_2350 SL3_2420_2700 TOTP
   upstream segment SL2_2200_2350 SL3_2420_2700 TOTP
 STATION SJ6_2130_0003 for TOTP
 STATION SW7_1640_0003 for TOTP
 STATION SU8_1610_1530 for TOTP
   upstream segment SU8_1610_1530 SU8_1610_1530 TOTP
 STATION SL9_2720_0001 for TOTP
   upstream segment SL9_2720_0001 SL9_2720_0001 TOTP
   upstream segment SL0_2721_2720 SL9_2720_0001 TOTP
   upstream segment SL2_2750_2720 SL9_2720_0001 TOTP
   upstream segment SL9_2700_2720 SL9_2720_0001 TOTP
   upstream segment SL2_2410_2700 SL9_2720_0001 TOTP
   upstream segment SL9_2520_2700 SL9_2720_0001 TOTP
   upstream segment SL2_2300_2520 SL9_2720_0001 TOTP
   upstream segment SL9_2490_2520 SL9_2720_0001 TOTP
   upstream segment SL3_2550_2490 SL9_2720_0001 TOTP
   upstream segment SL9_2430_2490 SL9_2720_0001 TOTP
   upstream segment SL3_2730_2550 SL9_2720_0001 TOTP
   upstream segment SL3_2460_2430 SL9_2720_0001 TOTP
   upstream segment SL9_2310_2430 SL9_2720_0001 TOTP
   upstream segment SL1_2770_2730 SL9_2720_0001 TOTP
   upstream segment SL1_2760_2730 SL9_2720_0001 TOTP
   upstream segment SL4_2240_2310 SL9_2720_0001 TOTP
   upstream segment SL9_2380_2310 SL9_2720_0001 TOTP
   upstream segment SL1_2830_2760 SL9_2720_0001 TOTP
   upstream segment SL4_2140_2240 SL9_2720_0001 TOTP
   upstream segment SL3_2440_2380 SL9_2720_0001 TOTP
   upstream segment SL9_2270_2380 SL9_2720_0001 TOTP
   upstream segment SL0_2831_2830 SL9_2720_0001 TOTP
   upstream segment SL0_2220_2140 SL9_2720_0001 TOTP
   upstream segment SL4_2100_2140 SL9_2720_0001 TOTP
   upstream segment SL3_2400_2440 SL9_2720_0001 TOTP
   upstream segment SL4_2330_2270 SL9_2720_0001 TOTP
   upstream segment SL9_2050_2270 SL9_2720_0001 TOTP
   upstream segment SL0_2180_2220 SL9_2720_0001 TOTP
   upstream segment SL4_2090_2100 SL9_2720_0001 TOTP
   upstream segment SL4_2370_2330 SL9_2720_0001 TOTP
   upstream segment SL3_2260_2050 SL9_2720_0001 TOTP
   upstream segment SL8_2080_2050 SL9_2720_0001 TOTP
   upstream segment SL1_2000_2090 SL9_2720_0001 TOTP
   upstream segment SL2_2070_2090 SL9_2720_0001 TOTP
   upstream segment SL1_2670_2370 SL9_2720_0001 TOTP
   upstream segment SL2_2540_2370 SL9_2720_0001 TOTP
   upstream segment SL3_2290_2260 SL9_2720_0001 TOTP
   upstream segment SL3_1960_2080 SL9_2720_0001 TOTP
   upstream segment SL8_2030_2080 SL9_2720_0001 TOTP
   upstream segment SL2_1990_2070 SL9_2720_0001 TOTP
   upstream segment SL2_1810_2030 SL9_2720_0001 TOTP
   upstream segment SL8_1880_2030 SL9_2720_0001 TOTP
   upstream segment SL2_1850_1990 SL9_2720_0001 TOTP
   upstream segment SL2_1670_1880 SL9_2720_0001 TOTP
   upstream segment SL3_1840_1880 SL9_2720_0001 TOTP
   upstream segment SL8_1780_1880 SL9_2720_0001 TOTP
   upstream segment SL1_1790_1840 SL9_2720_0001 TOTP
   upstream segment SL3_1740_1840 SL9_2720_0001 TOTP
   upstream segment SL1_1700_1780 SL9_2720_0001 TOTP
   upstream segment SL8_1760_1780 SL9_2720_0001 TOTP
   upstream segment SL3_1710_1740 SL9_2720_0001 TOTP
   upstream segment SL1_1730_1700 SL9_2720_0001 TOTP
   upstream segment SW7_1680_1760 SL9_2720_0001 TOTP
   upstream segment SU8_1530_1760 SL9_2720_0001 TOTP
   upstream segment SW1_1510_1680 SL9_2720_0001 TOTP
   upstream segment SW1_1450_1510 SL9_2720_0001 TOTP
   upstream segment SJ6_2130_2050 SL9_2720_0001 TOTP
   upstream segment SW7_1640_1680 SL9_2720_0001 TOTP
     upstream station SL3_2420_2700 SL9_2720_0001 TOTP
     upstream station SJ6_2130_0003 SL9_2720_0001 TOTP
     upstream station SW7_1640_0003 SL9_2720_0001 TOTP
     upstream station SU8_1610_1530 SL9_2720_0001 TOTP
