 seg ,TOTN,TOTP
PS2_6730_6660,    1.6455,    1.2835
PS0_6150_6160,    1.6455,    1.2835
PS2_6660_6490,    1.6455,    1.2835
PS3_6460_6230,    1.6455,    1.2835
PS3_5990_6161,    1.6455,    1.2835
PS2_6490_6420,    1.6455,    1.2835
PS0_6160_6161,    1.6455,    1.2835
PS2_6420_6360,    1.6455,    1.2835
PS3_6161_6280,    1.6455,    1.2835
PS3_6280_6230,    1.6455,    1.2835
PS4_6230_6360,    1.6455,    1.2835
PS4_6360_5840,    1.6455,    1.2835
PS4_5840_5240,    1.6455,    1.2835
PS5_5240_5200,    1.6455,    1.2835
PU0_3000_3090,    0.9967,    0.5343
PU2_3090_4050,    0.9967,    0.5343
PU2_2790_3290,    1.2624,    1.0678
PU3_2510_3290,    1.2624,    1.0678
PU3_3290_3390,    1.2624,    1.0678
PM2_2860_3040,    0.9920,    0.9911
PL0_4510_0001,    1.1191,    1.1109
PU2_3180_3370,    2.5553,    1.0935
PU2_6050_5190,    2.5553,    1.0935
PU2_3370_4020,    2.5553,    1.0935
PU2_4360_4160,    2.5553,    1.0935
PU0_6080_5620,    2.5553,    1.0935
PU1_3170_3580,    2.5553,    1.0935
PU2_4160_3930,    2.5553,    1.0935
PU2_5190_4310,    2.5553,    1.0935
PU1_5520_5210,    2.5553,    1.0935
PU2_3140_3680,    2.5553,    1.0935
PU1_3580_3780,    2.5553,    1.0935
PU1_3940_3970,    2.5553,    1.0935
PU1_5820_5380,    2.5553,    1.0935
PU0_5620_5380,    2.5553,    1.0935
PU2_5700_5210,    2.5553,    1.0935
PU3_3680_3890,    2.5553,    1.0935
PU1_3850_4190,    2.5553,    1.0935
PU3_5210_5050,    2.5553,    1.0935
PU1_5380_5050,    2.5553,    1.0935
PU4_5050_4310,    2.5553,    1.0935
PU4_4310_4210,    2.5553,    1.0935
PU1_4840_4760,    2.5553,    1.0935
PU1_4190_4300,    2.5553,    1.0935
PU4_4210_4170,    2.5553,    1.0935
PU2_4720_4750,    2.5553,    1.0935
PU1_4760_4450,    2.5553,    1.0935
PU1_4300_4440,    2.5553,    1.0935
PU2_4750_4450,    2.5553,    1.0935
PU3_4450_4440,    2.5553,    1.0935
PU4_4440_3970,    2.5553,    1.0935
PU4_3970_3890,    2.5553,    1.0935
PU4_3890_3990,    2.5553,    1.0935
PU4_3990_3780,    2.5553,    1.0935
PU4_3780_3930,    2.5553,    1.0935
PU5_3930_4170,    2.5553,    1.0935
PU5_4170_4020,    2.5553,    1.0935
PU6_4020_3870,    2.5553,    1.0935
PS2_5550_5560,    1.7171,    1.0897
PS2_5560_5100,    1.7171,    1.0897
PS3_5100_5080,    1.7171,    1.0897
