 seg ,TOTN,TOTP
PL0_5000_0001, -999.0000,    1.0285
PL0_4510_0001,    1.1604,    1.2323
JB3_6820_7053,    0.7582,    0.8833
EM2_3980_0001,    0.9355,    0.8530
EL1_5430_0001,    0.7051,    1.2691
EL0_4560_4562,    0.7353,    1.1438
EL0_4561_4562,    0.7353,    1.1438
EL0_4562_0001, -999.0000, -999.0000
WU0_3021_3020,    1.1699,    1.1269
WU2_3020_3320,    1.1699,    1.1269
WM0_3881_3880,    1.0190,    1.2237
WM1_3882_3880,    1.0190,    1.2237
WM3_3880_4060,    1.0190,    1.2237
WM1_3660_3910,    0.8768,    1.3010
PL1_5370_5470, -999.0000,    1.2125
PL1_5230_0001,    0.9756,    0.9605
PL1_4540_0001, -999.0000,    0.7788
PL1_4460_4780,    1.0008,    0.9596
PL0_5540_5490, -999.0000,    1.2258
PL0_5070_0001,    1.0940,    0.7694
PL0_5010_5130,    0.9873,    1.0498
XL1_4690_0001,    1.1249,    1.7556
XL0_5320_0001,    0.7985,    1.0199
