TABLE->,SED-PARM1,SED-PARM1,SED-PARM1,SED-PARM2,SED-PARM2,SED-PARM2,SED-PARM2,SED-PARM2,SED-PARM2,SED-PARM3,SED-PARM3,SED-PARM3,SED-PARM3,MON-COVER,MON-COVER,MON-COVER,MON-COVER,MON-COVER,MON-COVER,MON-COVER,MON-COVER,MON-COVER,MON-COVER,MON-COVER,MON-COVER,MON-NVSI,MON-NVSI,MON-NVSI,MON-NVSI,MON-NVSI,MON-NVSI,MON-NVSI,MON-NVSI,MON-NVSI,MON-NVSI,MON-NVSI,MON-NVSI,SED-STOR
VARS->,CRV,VSIV,SDOP,SMPF,KRER,JRER,AFFIX,COVER,NVSI,KSER,JSER,KGER,JGER,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,DETS
A24027,1,0,1,1,10.22882,2,0.076750,NA,64.84931,51.14407,2,0,4,6.30E-05,6.30E-05,0.099954413,0.399744361,0.649585529,0.699682815,0.000653488,0.000751738,0.000851023,0.000847868,7.03E-05,6.30E-05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A24029,1,0,1,1,4.307791,2,0.076750,NA,45.86301,21.53895,2,0,4,0.061,0.061,0.055,0.15,0.245,0.39,0.637,0.733,0.83,0.827,0.774,0.061,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A24031,1,0,1,1,20.00000,2,0.076750,NA,90.08219,100.0000,2,0,4,0.000184243,0.000184243,0.099870104,0.399262881,0.64880368,0.699084723,0.001891984,0.002175588,0.002462219,0.002452806,0.000205365,0.000184243,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A24033,1,0,1,1,14.91976,2,0.076750,NA,183.1233,74.59882,2,0,4,0.061046628,0.061046628,0.055045358,0.149378682,0.244051389,0.391058319,0.638667676,0.732321158,0.825955123,0.82197558,0.769279887,0.061046628,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A24035,1,0,1,1,6.669608,2,0.076750,NA,35.58904,33.34804,2,0,4,0.061,0.061,0.055,0.15,0.245,0.39,0.637,0.733,0.83,0.827,0.774,0.061,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A24037,1,0,1,1,4.444552,2,0.076750,NA,64.35616,22.22276,2,0,4,0.062647244,0.062647244,0.056476046,0.127781303,0.211083881,0.426781943,0.69632662,0.709940974,0.688703184,0.651263054,0.60890663,0.062647244,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A24039,1,0,1,1,0.609012,2,0.076750,NA,17.17808,3.045060,2,0,4,0.061,0.061,0.055,0.15,0.245,0.39,0.637,0.733,0.83,0.827,0.774,0.061,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A24041,1,0,1,1,1.078873,2,0.076750,NA,17.83562,5.394363,2,0,4,0.061,0.061,0.055,0.15,0.245,0.39,0.637,0.733,0.83,0.827,0.774,0.061,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A24043,1,0,1,1,17.69808,2,0.076750,NA,51.28767,88.49041,2,0,4,0.060996094,0.060996094,0.055061849,0.150192057,0.245289714,0.390225911,0.636645833,0.732577474,0.829509115,0.826505859,0.773535807,0.060996094,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A24045,1,0,1,1,1.287423,2,0.076750,NA,23.01370,6.437115,2,0,4,0.06097574,0.06097574,0.055384112,0.15119277,0.246799264,0.391403021,0.634800451,0.730375905,0.82695136,0.823931143,0.771117135,0.06097574,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A24047,1,0,1,1,1.620050,2,0.076750,NA,25.80822,8.100251,2,0,4,0.06092664,0.06092664,0.056161526,0.153606845,0.250440834,0.394242628,0.630348733,0.725064941,0.820781149,0.817720016,0.765282439,0.06092664,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A24510,1,0,1,1,2.505001,2,0.076750,NA,25.80822,12.52500,2,0,4,0.06092664,0.06092664,0.056161526,0.153606845,0.250440834,0.394242628,0.630348733,0.725064941,0.820781149,0.817720016,0.765282439,0.06092664,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A36003,1,0,1,1,0.864389,2,0.076750,NA,21.61644,4.321946,2,0,4,0.068,0.068,0.061,0.055,0.15,0.245,0.39,0.637,0.733,0.83,0.076,0.068,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A36007,1,0,1,1,1.621745,2,0.076750,NA,21.04110,8.108725,2,0,4,0.067998452,0.067998452,0.060998673,0.055021008,0.150065236,0.245098406,0.390076735,0.636879701,0.732856481,0.829833262,0.075998231,0.067998452,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A36015,1,0,1,1,1.601303,2,0.076750,NA,33.78082,8.006516,2,0,4,0.067998863,0.067998863,0.060999026,0.055015427,0.150047904,0.245072263,0.390056349,0.636911661,0.73289461,0.82987756,0.075998701,0.067998863,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A36017,1,0,1,1,1.793720,2,0.076750,NA,36.65754,8.968602,2,0,4,0.067999027,0.067999027,0.060999166,0.055013206,0.15004101,0.245061862,0.390048238,0.636924376,0.732909779,0.829895182,0.075998888,0.067999027,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A36023,1,0,1,1,1.465996,2,0.076750,NA,25.80822,7.329982,2,0,4,0.068,0.068,0.061,0.055,0.15,0.245,0.39,0.637,0.733,0.83,0.076,0.068,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A36025,1,0,1,1,2.065735,2,0.076750,NA,28.27397,10.32868,2,0,4,0.067999559,0.067999559,0.060999622,0.055005985,0.150018585,0.245028035,0.390021861,0.636965727,0.732959112,0.829952497,0.075999496,0.067999559,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A36043,1,0,1,1,2.872805,2,0.076750,NA,46.19178,14.36402,2,0,4,0.067999646,0.067999646,0.060999697,0.055004802,0.150014911,0.245022492,0.390017539,0.636972504,0.732967197,0.829961889,0.075999596,0.067999646,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A36051,1,0,1,1,4.331079,2,0.076750,NA,40.76712,21.65540,2,0,4,0.067763643,0.067763643,0.060797408,0.058207703,0.159960763,0.260025557,0.401716558,0.618631679,0.711086322,0.804540966,0.075729878,0.067763643,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A36053,1,0,1,1,4.548010,2,0.076750,NA,36.00000,22.74005,2,0,4,0.067911683,0.067911683,0.060924299,0.056198593,0.153721947,0.250614462,0.394378019,0.630136477,0.724811716,0.820486956,0.075899066,0.067911683,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A36065,1,0,1,1,2.654460,2,0.076750,NA,32.95891,13.27230,2,0,4,0.067992139,0.067992139,0.060993262,0.055106692,0.150331306,0.245499766,0.390389705,0.63638905,0.732271128,0.829153205,0.075991015,0.067992139,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A36067,1,0,1,1,2.239054,2,0.076750,NA,29.09589,11.19527,2,0,4,0.06799785,0.06799785,0.060998157,0.055029176,0.150090598,0.245136665,0.390106568,0.636832931,0.732800684,0.829768437,0.075997543,0.06799785,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A36069,1,0,1,1,3.385870,2,0.076750,NA,26.79452,16.92935,2,0,4,0.068,0.068,0.061,0.055,0.15,0.245,0.39,0.637,0.733,0.83,0.076,0.068,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A36077,1,0,1,1,2.321548,2,0.076750,NA,33.28767,11.60774,2,0,4,0.067995529,0.067995529,0.060996168,0.055060678,0.150188422,0.24528423,0.390221636,0.636652537,0.732585471,0.829518406,0.07599489,0.067995529,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A36095,1,0,1,1,3.544087,2,0.076750,NA,32.05480,17.72043,2,0,4,0.067539305,0.067539305,0.060605119,0.061252285,0.169414991,0.27428702,0.412837294,0.601197441,0.69028702,0.7803766,0.075473492,0.067539305,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A36097,1,0,1,1,1.364899,2,0.076750,NA,16.19178,6.824493,2,0,4,0.067997685,0.067997685,0.060998016,0.055031415,0.150097553,0.245147156,0.390114749,0.636820106,0.732785384,0.829750661,0.075997354,0.067997685,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A36101,1,0,1,1,5.838374,2,0.076750,NA,31.39726,29.19187,2,0,4,0.067272853,0.067272853,0.060376731,0.064868421,0.180644044,0.291225762,0.426045706,0.580490305,0.665583102,0.7516759,0.075168975,0.067272853,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A36107,1,0,1,1,0.803004,2,0.076750,NA,16.35616,4.015018,2,0,4,0.067999103,0.067999103,0.060999231,0.055012169,0.150037789,0.245057003,0.39004445,0.636930315,0.732916865,0.829903415,0.075998975,0.067999103,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A36109,1,0,1,1,0.680729,2,0.076750,NA,17.91781,3.403645,2,0,4,0.067996039,0.067996039,0.060996604,0.055053763,0.150166948,0.245251836,0.390196376,0.636692137,0.732632715,0.829573293,0.075995473,0.067996039,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A36123,1,0,1,1,2.585444,2,0.076750,NA,33.04109,12.92722,2,0,4,0.067964584,0.067964584,0.060969643,0.05548065,0.151492543,0.247251464,0.391755636,0.634247649,0.729716405,0.826185161,0.075959524,0.067964584,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A37001,1,0,1,1,0.3,2,0.07675,NA,2.5,2.5,2,0,4,0.067964584,0.067964584,0.060969643,0.05548065,0.151492543,0.247251464,0.391755636,0.634247649,0.729716405,0.826185161,0.075959524,0.067964584,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A37005,1,0,1,1,0.3,2,0.07675,NA,2.5,2.5,2,0,4,0.067964584,0.067964584,0.060969643,0.05548065,0.151492543,0.247251464,0.391755636,0.634247649,0.729716405,0.826185161,0.075959524,0.067964584,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A37009,1,0,1,1,0.3,2,0.07675,NA,2.5,2.5,2,0,4,0.067964584,0.067964584,0.060969643,0.05548065,0.151492543,0.247251464,0.391755636,0.634247649,0.729716405,0.826185161,0.075959524,0.067964584,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A37033,1,0,1,1,0.3,2,0.07675,NA,2.5,2.5,2,0,4,0.067964584,0.067964584,0.060969643,0.05548065,0.151492543,0.247251464,0.391755636,0.634247649,0.729716405,0.826185161,0.075959524,0.067964584,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A37067,1,0,1,1,0.3,2,0.07675,NA,2.5,2.5,2,0,4,0.067964584,0.067964584,0.060969643,0.05548065,0.151492543,0.247251464,0.391755636,0.634247649,0.729716405,0.826185161,0.075959524,0.067964584,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
