orphan,surrogate ***
A10003,A10001
A24041,A24011
A24029,A24035
A24019,A24045
A51001,A24047
A51131,A24047
A24039,A24047
A51095,A51041
A51199,A51041
A51830,A51041
A51650,A51041
A51700,A51041
A51735,A51041
A51570,A51041
A51149,A51041
A51670,A51041
A51730,A51041
A51181,A51041
A51093,A51041
A51800,A51041
A51550,A51041
A51710,A51041
A51740,A51041
A51810,A51041
A51099,A51057
A51073,A51057
A51115,A51057
A51119,A51057
A51013,A51059
A51133,A51193
A51103,A51193
end
