river,land,weight***
SL9_2720_0001,B42079, 0.129
PL0_4510_0001,A11001, 0.701
PL0_4510_0001,A24031, 0.177
PL0_5000_0001,A51059, 0.494
PL0_5000_0001,A51510, 1.000
PL0_5000_0001,A51610, 1.000
PL0_5070_0001,A24033, 0.278
PL0_5540_5490,A51153, 0.599
PL0_5510_0001,A24017, 0.342
PL0_5720_0001,A24017, 0.377
PL0_5830_0001,A24037, 1.000
PL1_4540_0001,A24033, 0.198
PL1_4460_4780,A11001, 0.299
PL1_4460_4780,A24031, 0.218
PL0_5010_5130,A51059, 0.506
PL0_5010_5130,A51600, 1.000
PL1_5230_0001,A24033, 0.130
PL1_5230_0001,A24017, 0.281
PL0_5730_5690,A51179, 1.000
PL1_5370_5470,A51061, 0.426
PL3_5360_5250,A51153, 0.210
PL3_5360_5250,A51061, 0.200
PL3_5360_5250,A51683, 0.504
PL3_5250_0001,A51153, 0.191
PL3_5250_0001,A51061, 0.112
PL3_5250_0001,A51683, 0.496
PL3_5250_0001,A51685, 1.000
PM0_4640_4820,A24031, 0.240
PM1_4500_4580,A24031, 0.242
PM3_4670_4660,A51061, 0.140
PM3_4670_4660,A51107, 0.295
PM3_4670_4660,B51061, 0.567
PM1_4430_4200,A51107, 0.705
PM1_3120_3400,A24013, 0.303
PM2_2860_3040,A42001, 0.492
PM2_2860_3040,B42001, 0.258
PM1_3510_4000,B24021, 0.479
PS1_4790_4830,A51069, 1.000
PS1_4790_4830,B51171, 0.727
PM1_4000_4290,B24021, 0.521
PU0_3000_3090,B42001, 0.113
PU0_3000_3090,A42055, 0.362
PS2_6730_6660,A51015, 0.199
PS2_6730_6660,A51820, 0.130
PS2_6730_6660,B51015, 0.503
PU2_3090_4050,A42055, 0.151
PU2_3090_4050,A24043, 0.840
PM4_3340_3341,A42001, 0.149
PM4_3340_3341,B42001, 0.162
PM4_3340_3341,A24021, 0.221
PM4_4040_0003,A42001, 0.124
PM4_4040_0003,B42001, 0.135
PM4_4040_0003,A24021, 0.359
PM4_4040_4410,B42001, 0.111
PM4_4040_4410,A24021, 0.420
PS2_5550_5560,B51165, 0.504
PS2_5560_5100,A51165, 0.257
PS2_5560_5100,B51165, 0.201
PS2_5560_5100,A51171, 0.245
PS3_5100_5080,B51171, 0.273
PS3_5100_5080,A51165, 0.184
PS3_5100_5080,B51165, 0.144
PS3_5100_5080,A51171, 0.512
PS3_6460_6230,A51015, 0.248
PS3_6460_6230,A51790, 0.534
PS2_6490_6420,A51015, 0.180
PS2_6490_6420,A51820, 0.727
PS2_6490_6420,B51015, 0.497
PU2_2840_3080,A42057, 0.497
PU3_3290_3390,A42055, 0.264
PU3_3290_3390,B42055, 0.464
PU3_3390_3730,A42055, 0.223
PU3_3390_3730,B42055, 0.390
PU3_3390_3730,A24043, 0.160
PU1_3030_3440,A42057, 0.503
PS3_6161_6280,A51165, 0.178
PS3_6161_6280,B51165, 0.151
PS3_6161_6280,A51660, 0.506
PS3_6161_6280,C51015, 0.105
PU3_4280_3860,A54031, 0.559
PU3_4280_3860,A54027, 0.295
PS4_6360_5840,A51015, 0.151
PS4_6360_5840,A51820, 0.143
PS4_6360_5840,A51165, 0.109
PS4_6360_5840,A51660, 0.200
PS4_6360_5840,A51790, 0.189
PS4_5840_5240,A51015, 0.116
PS4_5840_5240,A51165, 0.143
PS4_5840_5240,A51660, 0.154
PS4_5840_5240,A51139, 0.214
PS4_5840_5240,A51790, 0.146
PS4_5840_5240,C51165, 0.388
PS4_5840_5240,B51139, 0.187
PU3_3860_3610,A54031, 0.441
PU3_3860_3610,A54065, 0.258
PU3_3860_3610,A54027, 0.446
PS5_5240_5200,A51015, 0.105
PS5_5240_5200,A51165, 0.129
PS5_5240_5200,A51187, 0.218
PS5_5240_5200,A51660, 0.140
PS5_5240_5200,A51139, 0.440
PS5_5240_5200,A51790, 0.132
PS5_5240_5200,C51165, 0.351
PS5_5240_5200,B51139, 0.466
PS5_5240_5200,B51187, 0.346
PS5_4380_4370,A51171, 0.139
PS5_4380_4370,A51187, 0.313
PS5_4380_4370,A51043, 0.332
PS5_4380_4370,A54037, 0.216
PS5_4380_4370,A51139, 0.199
PS5_4380_4370,C51165, 0.150
PS5_4380_4370,B51139, 0.200
PS5_4380_4370,B51187, 0.303
PU2_3180_3370,C42009, 0.428
PU2_3180_3370,A42009, 0.177
PU2_6050_5190,A54071, 0.536
PU2_3370_4020,C42009, 0.270
PU2_3370_4020,A42009, 0.201
PU2_3370_4020,A24001, 0.778
PS5_4370_4150,A51171, 0.103
PS5_4370_4150,A51187, 0.231
PS5_4370_4150,A51043, 0.245
PS5_4370_4150,A54037, 0.203
PS5_4370_4150,A51139, 0.147
PS5_4370_4150,C51165, 0.111
PS5_4370_4150,B51139, 0.147
PS5_4370_4150,B51187, 0.224
PU2_4360_4160,B54023, 0.485
PU2_4360_4160,B54057, 0.724
PU1_3170_3580,A42009, 0.389
PU2_5190_4310,A54071, 0.358
PU2_5190_4310,B54031, 0.473
PU2_3140_3680,B42009, 0.296
PU2_3140_3680,A42111, 0.426
PU1_3940_3970,B24001, 0.562
PU3_3680_3890,B42009, 0.295
PU3_3680_3890,A42111, 0.459
PU3_3680_3890,B24001, 0.184
PU4_4310_4210,A54071, 0.106
PU4_4310_4210,B54023, 0.152
PU4_4310_4210,B54071, 0.349
PU4_4310_4210,B54031, 0.242
PU1_4840_4760,A54023, 0.448
PU1_4300_4440,A24023, 0.243
PU3_4450_4440,A54023, 0.256
PU3_4450_4440,A54057, 0.231
PU3_4450_4440,A54093, 0.416
PU4_4440_0003,A54023, 0.180
PU4_4440_0003,A54057, 0.163
PU4_4440_0003,A24023, 0.132
PU4_4440_0003,A54093, 0.294
PU4_3970_3890,A54023, 0.116
PU4_3970_3890,A54057, 0.215
PU4_3970_3890,B24001, 0.120
PU4_3970_3890,A54093, 0.170
PU4_3890_3990,A54057, 0.110
PU4_3780_3930,A42111, 0.114
PU4_3780_3930,A54057, 0.155
PU4_3780_3930,B24001, 0.134
PU4_3780_3930,A54093, 0.121
PU5_3930_4170,A24001, 0.116
PU5_3930_4170,A54057, 0.126
PU5_3930_4170,B54023, 0.108
PU5_3930_4170,B54057, 0.276
PU6_4020_3870,B54023, 0.143
PU6_4020_3870,B54071, 0.230
PU6_4020_3870,B54031, 0.160
PU6_3610_3530,A54065, 0.116
PU6_3610_3530,A54027, 0.151
PU6_3610_3530,A24001, 0.106
PU6_3610_3530,B54023, 0.112
PU6_3610_3530,B54071, 0.179
PU6_3610_3530,B54031, 0.124
PU6_3440_3590,B54071, 0.113
PU6_3752_4080,A51840, 0.304
PU6_3752_4080,A54003, 0.304
PU6_3752_4080,A54065, 0.220
PU6_3752_4080,A54027, 0.108
PU6_3752_4080,B54071, 0.128
PU6_4180_4150,A51840, 0.178
PU6_4180_4150,A54003, 0.178
PU6_4180_4150,A54065, 0.129
PM7_4200_0003,A51187, 0.132
PM7_4200_0003,A51043, 0.173
PM7_4200_0003,A51840, 0.212
PM7_4200_0003,A54003, 0.212
PM7_4200_0003,A54037, 0.237
PM7_4200_0003,A54065, 0.154
PM7_4200_0003,B51187, 0.128
PM7_4620_0003,A51043, 0.113
