  river,land,weight,maxLsegImportance***
EL0_4562_0003,A10005, 0.572, 0.834
BS1_8730_8540,A51051, 0.365, 0.723
BS1_8730_8540,A51195, 0.584, 0.584
NR6_8500_0003,A51035, 0.227, 0.633
NR6_8500_0003,A51197, 0.160, 0.996
NR6_8500_0003,B51077, 0.285, 0.158
NR6_8500_0003,B51197, 1.000, 0.012
NR6_8500_0003,A51077, 0.413, 0.168
NR6_8500_0003,A37005, 0.335, 0.049
NR6_8500_0003,B37005, 0.338, 0.141
NR6_8500_0003,A37009, 0.200, 0.221
NR6_8500_0003,B37009, 0.162, 0.260
NR6_8500_0003,A51640, 1.000, 0.004
YM4_6620_0003,A51033, 0.737, 0.598
YM4_6620_0003,A51177, 0.314, 0.767
YM4_6620_0003,A51097, 1.000, 0.033
YM4_6620_0003,A51101, 0.891, 0.009
JL1_6760_6910,A51003, 0.350, 0.966
JL1_6760_6910,A51065, 0.145, 0.114
XU2_4270_0003,A24027, 0.487, 1.000
TU5_9280_0003,A51185, 0.172, 0.402
TU5_9280_0003,B51185, 0.322, 0.114
TU5_9280_0003,A51169, 1.000, 0.187
TU5_9280_0003,B51169, 1.000, 0.070
TU5_9280_0003,B51195, 0.273, 0.072
TU5_9280_0003,A51720, 0.251, 0.010
TU5_9280_0003,A51167, 0.427, 0.381
TU5_9280_0003,B51167, 0.469, 0.103
BS3_8350_8330,A51027, 0.795, 1.000
TU3_9180_0003,B51173, 0.318, 0.356
TU3_9180_0003,A51191, 0.402, 0.210
TU3_9180_0003,A47091, 1.000, 0.325
TU3_9180_0003,B51191, 1.000, 0.140
TU3_9180_0003,A47163, 1.000, 0.002
SW7_1640_0003,B42119, 0.205, 0.033
SW7_1640_0003,B42081, 0.421, 0.079
SW7_1640_0003,B42035, 0.389, 0.045
SW7_1640_0003,A42035, 0.175, 0.246
SW7_1320_0003,B42081, 0.185, 0.079
SW7_1320_0003,B42035, 0.466, 0.045
SW7_1320_0003,A42035, 0.211, 0.246
SW5_1540_0003,A42021, 0.199, 0.439
SW5_1540_0003,A42033, 0.256, 0.623
SW5_1540_0003,A42063, 0.185, 0.200
SW5_1540_0003,A42065, 0.185, 0.004
SW5_1350_0003,A42081, 0.251, 0.709
SW5_1350_0003,A42117, 0.168, 0.927
SW5_1350_0003,A42105, 0.116, 0.891
SW4_1260_0003,A42113, 0.372, 1.000
SW4_1260_0003,A42081, 0.187, 0.709
SW4_1260_0003,B42015, 0.110, 0.416
SW4_1260_0003,B42131, 0.238, 0.011
SW3_1690_0003,A42027, 0.195, 1.000
JL1_6560_6440,A51003, 0.289, 0.966
JL1_6560_6440,B51003, 0.603, 0.196
SU7_0960_0003,A42015, 0.137, 0.518
SU7_0960_0003,A36015, 0.158, 0.110
SU7_0960_0003,A36107, 0.181, 0.106
SU7_0960_0003,A36109, 0.180, 0.019
SU7_0960_0003,A36007, 0.130, 0.129
SU7_0720_0003,A36107, 0.319, 0.106
SU7_0720_0003,A36109, 0.320, 0.019
SU7_0720_0003,A36007, 0.230, 0.129
SU7_0720_0003,A36017, 0.116, 0.552
SU7_0720_0003,A36025, 0.134, 0.252
SU7_0720_0003,A36095, 0.125, 0.040
JL2_7110_7120,A51029, 0.898, 0.999
SU5_0530_0003,A42117, 0.112, 0.927
SU5_0530_0003,A36101, 0.238, 0.856
SU5_0530_0003,A36097, 0.243, 0.086
SU5_0530_0003,A36051, 0.166, 0.034
SU5_0530_0003,A36069, 0.166, 0.002
SU5_0530_0003,A36123, 0.166, 0.022
SU5_0420_0003,A36007, 0.124, 0.129
SU5_0420_0003,A36023, 0.248, 0.697
SU5_0420_0003,A36017, 0.260, 0.552
SU5_0420_0003,A36053, 0.150, 0.743
SU5_0420_0003,A36067, 0.167, 0.190
SU4_0260_0003,A36023, 0.594, 0.697
SU4_0260_0003,A36067, 0.833, 0.190
SL9_2270_0003,A42067, 0.518, 0.016
SL9_2270_0003,A42087, 0.210, 0.048
SL9_2270_0003,A42109, 0.356, 0.014
SL9_2270_0003,B42119, 0.101, 0.033
SL9_2270_0003,B42081, 0.121, 0.079
SL9_2270_0003,A42025, 0.186, 0.000
SL9_2270_0003,B42131, 0.114, 0.011
