TABLE->,PHOS-STOR1#1,PHOS-STOR1#1,PHOS-STOR1#1,PHOS-STOR1#1,PHOS-STOR1#2,PHOS-STOR1#2,PHOS-STOR1#2,PHOS-STOR1#2,PHOS-STOR1#3,PHOS-STOR1#3,PHOS-STOR1#3,PHOS-STOR1#3,PHOS-STOR1#4,PHOS-STOR1#4,PHOS-STOR1#4,PHOS-STOR1#4
VARS->,ORGP,P4AD,P4SU,PLTP,ORGP,P4AD,P4SU,PLTP,ORGP,P4AD,P4SU,PLTP,ORGP,P4AD,P4SU,PLTP
A51053,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51057,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51059,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51061,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51063,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51065,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51067,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51069,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51071,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51073,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51075,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51077,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51079,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51081,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51083,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51085,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51087,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51089,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51091,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51093,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51095,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51097,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51099,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51101,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51103,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51105,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51107,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51109,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51111,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51113,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51115,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51117,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51119,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51121,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51125,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51127,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51131,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51133,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51135,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51137,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51139,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51141,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51143,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51145,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51147,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51149,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51153,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51155,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51157,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51159,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51161,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51163,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51165,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51167,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
