landseg,for,hvf,hwm,nhi,lwm,nlo,hom,nho,hyw,nhy,hyo,alf,nal,pas,npa,trp,urs,afo,cfo,rpd,rid,rcn,rex,npd,nid,nex,cpd,cid,ccn,cex,wat
A10001,0,0,13.473,14.291,13.473,14.291,18.315,19.071,18.065,18.622,15.902,26.298,30.609,17.825,0,0,15.812,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A10003,0,0,14.381,15.443,14.381,15.443,23.281,22.815,19.891,20.554,15.924,28.317,24.975,17.48,0,0,15.812,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A10005,0,0,12.89,13.112,12.89,13.112,16.992,18.882,16.711,17.388,15.865,27.773,30.081,18.051,0,0,15.812,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A24001,0,0,14.052,15.544,14.052,15.544,23.921,22.866,16.432,17.249,17.235,20.707,18.974,17.15,18.091,16.204,15.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A24003,0,0,13.628,14.546,13.628,14.546,15.715,20.031,15.768,16.431,16.01,19.65,20.645,16.004,17.715,17.048,15.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A24005,0,0,14.706,14.577,14.706,14.577,23.622,23.482,19.785,20.665,17.648,25.781,24.477,18.47,19.3,18.47,15.801,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A24009,0,0,11.224,12.191,11.224,12.191,7.651,14.704,14.328,14.713,15.979,18.4,19.78,15.917,17.048,16.563,15.746,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A24011,0,0,13.506,15.178,13.506,15.178,23.081,25.91,17.824,17.161,16.008,27.346,30.134,17.993,19.651,17.993,15.791,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A24013,0,0,14.1,14.018,14.1,14.018,18.782,17.668,20.713,21.367,16.862,25.293,23.131,18.799,19.159,18.799,15.781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A24015,0,0,15.162,15.932,15.162,15.932,24.843,24.893,20.225,19.407,16.848,28.572,27.799,19.151,19.788,19.151,15.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A24017,0,0,10.742,11.752,10.742,11.752,10.758,13.633,16.013,16.879,16.128,19.405,22.316,16.68,16.336,16.68,15.677,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A24019,0,0,14.925,15.911,14.925,15.911,23.888,22.81,16.924,17.851,15.894,29.859,30.791,20.142,20.522,20.142,15.783,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A24021,0,0,14.77,14.565,14.77,14.565,24.898,24.716,21.295,21.42,16.977,28.536,26.363,17.854,18.466,17.854,15.743,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A24023,0,0,14.879,15.779,14.879,15.779,22.26,21.938,19.295,20.032,17.475,20.456,21.366,18.41,18.408,18.589,15.722,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A24025,0,0,15.987,16.077,15.987,16.077,26.667,24.615,20.481,21.249,18.015,28.688,26.617,18.457,19.157,18.457,15.768,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A24027,0,0,16.218,16.394,16.218,16.394,28.387,23.915,17.397,18.592,16.815,26.272,22.098,16.982,18.193,17.793,15.796,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A24029,0,0,13.267,15.112,13.267,15.112,30.666,26.277,18.788,18.65,16.014,31.56,30.339,17.634,18.661,17.86,15.809,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A24031,0,0,14.291,13.922,14.291,13.922,25.111,24.757,19.423,19.961,16.466,24.884,22.977,17.99,18.576,17.99,15.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A24033,0,0,10.367,10.977,10.367,10.977,13.489,15.075,15.676,16.765,16.024,20.655,19.095,17.69,18.091,17.69,15.798,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A24035,0,0,14.322,16.795,14.322,16.795,24.662,23.154,19.137,20.052,16.004,25.7,23.971,16.922,17.197,16.922,15.793,0,0,0,0,0,0,0,0,0,0,0,0,0,0
