landseg,for,hvf,hwm,nhi,lwm,nlo,hom,nho,hyw,nhy,hyo,alf,nal,pas,npa,trp,urs,afo,cfo,rpd,rid,rcn,rex,npd,nid,nex,cpd,cid,ccn,cex,wat
A10001,0,0,104.195,109.252,104.195,109.252,77.15,70.801,121.207,124.658,105.058,175.32,204.062,118.837,0,0,105.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A10003,0,0,110.923,121.789,110.923,121.789,108.548,128.249,133.672,137.659,102.688,188.779,166.502,116.53,0,0,105.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A10005,0,0,100.999,98.301,100.999,98.301,68.663,66.396,112.149,116.464,105.199,185.156,200.543,120.339,0,0,105.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A24001,0,0,93.882,104.26,93.882,104.26,134.555,125.784,109.694,115.079,82.336,138.049,126.494,114.331,120.608,108.024,105.372,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A24003,0,0,104.996,112.52,104.996,112.52,70.183,85.299,105.473,109.822,102.652,130.999,137.631,106.692,118.102,113.655,105.227,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A24005,0,0,106.84,108.124,106.84,108.124,89.833,92.151,132.161,138.058,96.913,171.876,163.178,123.136,128.666,123.136,105.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A24009,0,0,88.13,96.241,88.13,96.241,59.717,73.973,95.949,98.635,103.814,122.67,131.864,106.116,113.653,110.421,104.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A24011,0,0,104.549,116.851,104.549,116.851,73.45,76.331,119.306,114.95,102.95,182.306,200.896,119.951,131.006,119.951,105.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A24013,0,0,101.628,103.06,101.628,103.06,81.142,80.893,138.393,142.715,100.783,168.617,154.206,125.324,127.725,125.324,105.208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A24015,0,0,113.125,119.779,113.125,119.779,140.83,148.671,135.248,129.803,100.892,190.477,185.326,127.672,131.923,127.672,105.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A24017,0,0,87.127,96.125,87.127,96.125,66.917,73.304,106.886,112.663,102.556,129.366,148.772,111.202,108.906,111.202,104.513,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A24019,0,0,118.777,125.952,118.777,125.952,78.881,81.8,113.118,119.682,104.301,199.058,205.27,134.28,136.815,134.28,105.219,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A24021,0,0,104.499,105.826,104.499,105.826,132.838,129.658,142.397,143.237,98.326,190.238,175.755,119.029,123.11,119.029,104.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
