 point source,river,land
 indus,WU0_3820_0000,A24005
 indus,EU0_4470_0000,A24041
 indus,EL0_5400_0001,A24045
 indus,EU1_2980_0000,A24015
 indus,EL0_4593_0000,A24019
 indus,WU1_3490_3480,A24005
 indus,PM7_4150_4290,B24021
 indus,WM3_4060_0001,A24003
 indus,PU1_3940_3970,B24001
 indus,WM0_3961_0000,A24510
 indus,EU0_3724_0000,A24029
 indus,XU2_4330_4480,A24027
 indus,SL9_2970_0000,A24025
 indus,PU6_3730_3750,F24043
 indus,PM1_3450_3400,A24013
 indus,WM0_3742_0000,A24005
 indus,EM3_4325_0000,A24011
 indus,WM0_3960_0000,A24510
 indus,WM0_3964_0000,A24005
 indus,WM0_3965_0000,A24005
 indus,WM0_3881_3880,A24013
 indus,PU4_4440_3970,B24001
 indus,WM0_3962_0000,A24003
 indus,WU0_3541_0000,A24005
 indus,WM0_3961_0000,A24003
 indus,WM1_3910_0001,A24510
 indus,PM4_4040_4410,A24021
 indus,PU2_3090_4050,A24043
 indus,WL0_4922_0000,A24009
 indus,PM7_4200_4410,A24021
 indus,PM7_4410_4620,A24031
 indus,XL0_5340_0000,A24033
 indus,PL0_5790_0000,A24017
 indus,XL0_5348_0000,A24009
 indus,PL0_5581_0000,F24017
 indus,EL0_5151_0000,A24019
 indus,PL1_4540_0001,A24033
 indus,PU6_3530_3440,A24043
 indus,PU3_3680_3890,B24001
 indus,PU4_3970_3890,B24001
 indus,EM0_4874_0000,A24041
 indus,PL0_5791_0000,A24017
 indus,WM0_3740_0001,A24510
 indus,EL0_5760_0000,A24045
 indus,PM4_3340_3341,B24021
 indus,EM0_4889_0000,A24019
 indus,PL2_5300_5630,A24017
 indus,PM4_3340_3341,A24021
 indus,XU2_4270_4650,A24027
 indus,GY0_4532_3951,A24023
 indus,PU3_3390_3730,A24043
 indus,PU0_3751_3752,A24043
 indus,XL3_4713_0000,A24033
 indus,PU2_4720_4750,A24023
 indus,GY0_3950_3952,A24023
 indus,EU1_2982_0000,A24015
 indus,WM0_3962_0000,A24510
 indus,WM1_3882_3880,A24013
 indus,WM0_3650_0001,A24510
 indus,WU1_3240_3331,A24025
 indus,XL0_4954_0000,A24009
 indus,PU4_3890_3990,A24001
 indus,WM0_3740_0001,A24005
 indus,GY0_3951_3952,A24023
 indus,PL0_5983_0000,A24037
 indus,PL2_4810_0000,A24033
 indus,PL1_4460_4780,A24031
 indus,EL1_5660_0000,A24047
 indus,PU0_3611_3530,A24043
 indus,PL0_5980_0000,A24037
 indus,WM3_3880_4060,A24005
 indus,YM1_6370_6620,F51033
 indus,XL1_4691_0000,A24033
 indus,EU0_4474_0000,A24035
 indus,PM7_4410_4620,F24031
 indus,EL0_6002_0000,A24039
 indus,EL0_6001_0000,A24039
 indus,WU1_3331_3330,A24025
 indus,WL0_4600_0000,A24003
 indus,PU4_3780_3930,A24001
 indus,XL3_4711_0000,A24003
 indus,GY0_4530_4532,A24023
 indus,EL0_4597_0000,A24045
 indus,WM0_3881_3880,A24005
 indus,EL0_5280_0000,F24019
 indus,EM2_4101_0000,A24041
 indus,XU0_4090_4270,A24027
 indus,XU2_4070_4330,A24027
 indus,WU0_3254_0000,A24025
 indus,PU2_4050_4180,A24043
 indus,XU0_4091_4270,A24027
 indus,WM3_4060_0001,A24027
