 point source,river,land
 cso,PL2_4810_0000,A11001
 cso,PL7_4940_0000,A11001
 cso,PL7_4910_0000,A11001
 cso,EL2_4630_0000,A10005
 cso,EL0_4591_0000,A24011
 cso,EL0_5400_0001,A24045
 cso,EL0_5760_0000,A24045
 cso,EL1_5430_0001,A24045
 cso,PU4_3780_3930,A24001
 cso,PU4_3890_3990,A24001
 cso,PU4_3990_3780,A24001
 cso,PU3_3680_3890,B24001
 cso,PU1_3580_3780,B24001
 cso,PU1_3580_3780,A24001
 cso,PU4_3890_3990,B24001
 cso,WM1_3910_0001,A24510
 cso,WM1_3910_0001,A24003
 cso,EL0_5280_0000,A24019
 cso,EM0_4881_0000,A24019
 cso,EM0_4885_0000,A24019
 cso,EL0_5271_0000,A24047
 cso,EL3_5870_0000,A24047
 cso,PU4_3970_3890,A54057
 cso,PU4_4440_3970,B24001
 cso,PU4_4440_3970,A54057
 cso,PU1_3940_3970,B24001
 cso,PU4_3970_3890,B24001
 cso,SU6_0500_0550,A36007
 cso,SU5_0420_0500,A36007
 cso,SU6_0520_0500,A36007
 cso,SU5_0530_0610,A36015
 cso,SU2_0680_0610,A36015
 cso,SU3_0910_1010,A42131
 cso,SU7_0950_1010,A42131
 cso,SJ2_2150_2130,A42099
 cso,SJ6_2130_2050,A42099
 cso,SJ3_2230_2060,A42013
 cso,SJ3_2250_2230,A42013
 cso,SL9_2050_2270,A42043
 cso,SL9_2050_2270,A42099
 cso,SW3_0930_1110,A42117
 cso,SU2_0830_0831,A42117
 cso,SJ2_2900_2740,A42009
 cso,SU7_1140_1420,A42079
 cso,SU7_1420_1590,A42037
 cso,SU7_1420_1590,A42079
 cso,SU3_1500_1420,A42079
 cso,SL2_1670_1880,A42107
 cso,SU6_0480_0520,A42115
 cso,SU2_0890_0900,A42015
 cso,SL1_1730_1700,A42097
 cso,SU7_1120_1140,A42079
 cso,SU3_0970_1120,A42079
 cso,SU7_0980_1120,A42079
 cso,SJ4_2010_2210,A42061
 cso,SJ4_2060_2010,A42061
 cso,SW3_1800_1650,A42033
 cso,SW4_1720_1650,A42033
 cso,SW5_1650_1540,A42033
 cso,SU3_0970_1120,A42069
 cso,SL1_1700_1780,A42097
 cso,SL8_1760_1780,A42097
 cso,SU8_1530_1760,A42097
 cso,SL3_2420_2700,A42071
 cso,SL3_2470_2420,A42071
 cso,SU2_1290_1500,A42079
 cso,SU1_1480_1500,A42079
 cso,SJ3_2040_1980,A42013
 cso,SW7_1340_1320,B42081
 cso,SW3_1220_1320,B42081
 cso,SW7_1320_1300,B42081
 cso,SW4_1260_1300,B42081
 cso,SU3_0810_0970,A42069
 cso,SU3_0810_0970,A42115
 cso,SU3_0810_0970,A42127
 cso,SL4_2140_2240,B42043
 cso,SL9_2380_2310,B42043
 cso,SL9_2270_2380,B42043
 cso,SL9_2270_2380,A42043
 cso,SL9_2050_2270,B42043
 cso,SL4_2240_2310,B42043
 cso,SL0_2180_2220,A42075
 cso,SL4_2240_2310,A42075
 cso,SW1_1170_1270,A42023
 cso,SW2_1240_1270,A42023
 cso,SW3_1870_1800,A42021
 cso,SW2_0880_0930,A42105
 cso,SW2_1050_0930,A42105
 cso,SW3_0930_1110,A42105
 cso,SJ4_2740_2660,A42009
 cso,SJ4_2740_2660,C42009
 cso,SJ2_1900_1930,A42087
 cso,SW3_1920_1750,A42033
 cso,JL6_7440_7430,A51009
 cso,JL6_7440_7430,A51680
 cso,JU3_6950_7330,A51580
 cso,JU4_7330_7000,A51580
 cso,JU3_6950_7330,A51005
 cso,JU4_7000_7300,A51580
 cso,JU4_7330_7000,A51005
 cso,JB0_7071_0000,A51087
 cso,JB0_7071_0000,A51760
 cso,JL7_7070_0001,A51760
 cso,PL7_4963_0000,A51510
 cso,PL7_4980_0000,A51510
 cso,PL0_5090_0000,A51510
 cso,PU2_5190_4310,B54031
 cso,PU4_4310_4210,B54031
 cso,PU4_5050_4310,B54023
 cso,PU2_3900_3750,A54003
 cso,PU2_4220_3900,A54003
