 point source,river,land
 wwtp,PS5_5240_5200,F51139
 wwtp,PS4_5840_5240,F51165
 wwtp,RU2_5500_5610,F51157
 wwtp,PM2_4860_4670,A51107
 wwtp,JL6_6890_6990,A51003
 wwtp,EL0_6550_0000,A51001
 wwtp,PL1_5370_5470,A51061
 wwtp,JL3_7020_7100,A51029
 wwtp,JL6_7160_7440,B51019
 wwtp,PU2_3770_3600,A51069
 wwtp,PS2_6490_6420,A51015
 wwtp,JU5_7420_7160,F51163
 wwtp,PS2_6660_6490,B51015
 wwtp,JU3_6380_6900,A51017
 wwtp,JA5_7520_0000,A51149
 wwtp,PL2_5470_5360,F51153
 wwtp,JL2_6441_6520,A51003
 wwtp,YL2_6580_0001,A51073
 wwtp,JB0_7073_0000,A51041
 wwtp,JB0_7074_0000,A51149
 wwtp,RU2_5220_5640,A51047
 wwtp,RL0_6531_0000,A51103
 wwtp,PL0_5251_0000,A51059
 wwtp,JU1_7750_7560,A51161
 wwtp,JL2_6240_6520,B51079
 wwtp,YM2_6120_6430,A51177
 wwtp,PS1_4790_4830,B51171
 wwtp,JL4_6710_6740,A51065
 wwtp,JU3_6950_7330,F51005
 wwtp,JU3_6900_6950,F51017
 wwtp,RU5_6030_0001,A51179
 wwtp,JU1_7560_7500,A51023
 wwtp,RL5_6070_0000,A51033
 wwtp,RL0_6530_0000,A51103
 wwtp,RU2_6220_6170,A51113
 wwtp,PS3_6460_6230,C51015
 wwtp,JL6_7440_7430,A51031
 wwtp,JL6_7430_7320,A51125
 wwtp,PM7_4200_4410,A51107
 wwtp,YM2_6120_6430,A51033
 wwtp,JB0_7072_0000,A51181
 wwtp,PS5_4380_4370,A51069
 wwtp,YP4_6720_6750,A51033
 wwtp,PS3_5990_6161,A51165
 wwtp,RU2_6200_6170,A51113
 wwtp,DE0_6310_0000,A51001
 wwtp,JU3_7490_7400,A51045
 wwtp,PS2_6420_6360,A51165
 wwtp,JL2_7110_7120,A51029
 wwtp,YP3_6470_6690,A51085
 wwtp,YP0_6781_0000,A51127
 wwtp,YP3_6330_6700,A51085
 wwtp,PS4_5080_4380,A51187
 wwtp,YP2_6390_6330,A51109
 wwtp,JL1_6940_7200,B51125
 wwtp,PL0_5900_0000,A51179
 wwtp,JU3_6640_6790,B51017
 wwtp,JL2_6850_6890,A51125
 wwtp,RU4_6040_6030,A51047
 wwtp,PS5_5240_5200,A51187
 wwtp,JU2_7140_7330,A51005
 wwtp,JU5_7510_7500,A51023
 wwtp,YP3_6470_6690,A51109
 wwtp,JB0_7050_0000,A51036
 wwtp,JL2_6240_6520,A51137
 wwtp,PM3_4660_4620,A51107
 wwtp,JL6_6970_6740,A51065
 wwtp,PS5_4380_4370,A51187
 wwtp,JU3_6640_6790,A51163
 wwtp,RL0_6530_0000,A51119
