TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A10001,21.77950,1,0.03,0.3,0,85.67101,31.18850,5,0.5,2,0,1511.250,0.047000,5,1,8,0,1490.507,0.,6,0.5,1,0,1049.931,0,0,0,0,na,na
A10003,15.67650,1,0.03,0.3,0,90.20100,33.06500,5,0.5,2,0,1532.432,0.030000,5,1,8,0,1490.311,0.,6,0.5,1,0,1050.001,0,0,0,0,na,na
A10005,20.76050,1,0.03,0.3,0,79.55450,28.72700,5,0.5,2,0,1503.593,0.059500,5,1,8,0,1489.766,0.,6,0.5,1,0,1050.245,0,0,0,0,na,na
A11001,24.37350,1,0.03,0.3,0,83.42350,33.58550,5,0.5,2,0,1564.997,0.049500,5,1,8,0,1491.088,0.,6,0.5,1,0,1049.888,0,0,0,0,na,na
A24001,28.84700,1,0.03,0.3,0,88.37900,36.37500,5,0.5,2,0,1488.085,0.038000,5,1,8,0,1490.444,0.,6,0.5,1,0,1050.061,0,0,0,0,na,na
A24003,16.01600,1,0.03,0.3,0,88.97350,32.24550,5,0.5,2,0,1542.821,0.030500,5,1,8,0,1490.391,0.,6,0.5,1,0,1050.090,0,0,0,0,na,na
A24005,18.69450,1,0.03,0.3,0,88.98351,32.52650,5,0.5,2,0,1522.826,0.070500,5,1,8,0,1493.355,0.,6,0.5,1,0,1050.007,0,0,0,0,na,na
A24009,24.59900,1,0.03,0.3,0,84.34350,30.37350,5,0.5,2,0,1510.377,0.041500,5,1,8,0,1490.941,0.,6,0.5,1,0,1049.967,0,0,0,0,na,na
A24011,18.33450,1,0.03,0.3,0,84.59950,29.86300,5,0.5,2,0,1519.895,0.032500,5,1,8,0,1489.655,0.,6,0.5,1,0,1049.866,0,0,0,0,na,na
A24013,22.14900,1,0.03,0.3,0,85.35899,36.05450,5,0.5,2,0,1520.854,0.057500,5,1,8,0,1492.727,0.,6,0.5,1,0,1049.976,0,0,0,0,na,na
A24015,22.20650,1,0.03,0.3,0,86.66500,34.08700,5,0.5,2,0,1536.937,0.058000,5,1,8,0,1491.639,0.,6,0.5,1,0,1049.960,0,0,0,0,na,na
A24017,17.81450,1,0.03,0.3,0,88.46249,28.42400,5,0.5,2,0,1502.519,0.036500,5,1,8,0,1490.073,0.,6,0.5,1,0,1049.928,0,0,0,0,na,na
A24019,14.02950,1,0.03,0.3,0,80.53400,27.10400,5,0.5,2,0,1504.314,0.028000,5,1,8,0,1490.198,0.,6,0.5,1,0,1049.881,0,0,0,0,na,na
A24021,22.23500,1,0.03,0.3,0,86.08300,34.25300,5,0.5,2,0,1529.969,0.050500,5,1,8,0,1491.861,0.,6,0.5,1,0,1049.873,0,0,0,0,na,na
A24023,19.28600,1,0.03,0.3,0,85.41950,37.50500,5,0.5,2,0,1442.113,0.053500,5,1,8,0,1492.413,0.,6,0.5,1,0,1050.135,0,0,0,0,na,na
