land,CLAY
A10001,0.350816721
A10003,0.329387242
A10005,0.419469397
A11001,0.417275686
A24001,0.506709339
A24003,0.390832265
A24005,0.416945478
A24009,0.346757329
A24011,0.371948516
A24013,0.473293606
A24015,0.356915682
A24017,0.386652882
A24019,0.382093443
A24021,0.493719797
A24023,0.508846601
A24025,0.408187818
A24027,0.420937437
A24029,0.300215737
A24031,0.451723179
A24033,0.381224589
A24035,0.32355777
A24037,0.385197454
A24039,0.389805057
A24041,0.35732257
A24043,0.464281313
A24045,0.427822838
A24047,0.431014969
A24510,0.388836089
A36003,0.487845262
A36007,0.494379457
A36015,0.487858975
A36017,0.49369052
A36023,0.493636972
A36025,0.524477422
A36043,0.349958357
A36051,0.487686907
A36053,0.477679568
A36065,0.428363065
A36067,0.478213864
A36069,0.49253461
A36077,0.489873825
A36095,0.485607215
A36097,0.489562747
A36101,0.479809402
A36107,0.488454086
A36109,0.493979731
A36123,0.4957407
A37001,0.5186635
A37005,0.517591707
A37009,0.517591707
A37033,0.5186635
A37067,0.53200452
A37077,0.516950609
A37081,0.464056084
A37131,0.499543106
A37135,0.5186635
A37145,0.525206965
A37157,0.464056084
A37169,0.53200452
A37171,0.512932106
A37181,0.528378227
A37185,0.526109587
A37189,0.517591707
A42001,0.424886815
A42009,0.491785113
A42011,0.45173897
A42013,0.475291092
A42015,0.510478145
A42021,0.455473978
A42023,0.466534348
A42025,0.47923341
A42027,0.476358996
A42029,0.414743051
A42033,0.470696282
A42035,0.483990347
A42037,0.477382439
A42041,0.466187416
A42043,0.458839849
A42047,0.474233672
A42055,0.478045222
A42057,0.486409958
A42061,0.488300511
A42063,0.480690043
A42065,0.462106647
A42067,0.500535685
A42069,0.524715779
A42071,0.431450889
A42075,0.466055001
A42079,0.513473566
A42081,0.494932991
A42083,0.465509172
A42087,0.484286195
A42093,0.482452033
A42097,0.486184595
A42099,0.494970364
A42105,0.478769567
A42107,0.491355754
A42109,0.490290139
A42111,0.4486778
A42113,0.523469806
A42115,0.514149266
A42117,0.500275155
A42119,0.469889411
A42127,0.508439774
A42131,0.502449262
A42133,0.441947493
A47091,0.454204594
A47163,0.508908778
A51001,0.371921628
A51003,0.492439693
A51005,0.509903007
A51007,0.518577561
A51009,0.537432067
A51011,0.425447719
A51013,0.484487375
A51015,0.485511689
A51017,0.514939018
A51019,0.518747797
A51021,0.496124359
A51023,0.503261876
A51025,0.532186067
A51027,0.548883556
A51029,0.430056534
A51031,0.472011775
A51033,0.412189693
A51035,0.466779358
A51036,0.439006461
A51037,0.477374084
A51041,0.467025779
A51043,0.501410128
A51045,0.493174263
A51047,0.419458406
A51049,0.512057603
A51051,0.551578699
A51053,0.469172687
A51057,0.447692387
A51059,0.445225167
A51061,0.430556283
A51063,0.483557388
A51065,0.454137101
A51067,0.518547351
A51069,0.498562932
A51071,0.493058168
A51073,0.465999999
A51075,0.509438672
A51077,0.490328403
A51079,0.428273174
A51081,0.425123884
A51083,0.500044531
A51085,0.459880344
A51087,0.424051348
A51089,0.522912411
A51091,0.501981404
A51093,0.467701927
A51095,0.446344601
A51097,0.43203102
A51099,0.384441703
A51101,0.41322053
A51103,0.416701776
A51105,0.521933711
A51107,0.436854526
A51109,0.479070094
A51111,0.459743968
A51113,0.422582535
A51115,0.466252809
A51117,0.46855589
A51119,0.448773934
A51121,0.527850846
A51125,0.465676318
A51127,0.447325796
A51131,0.300946826
A51133,0.419317514
A51135,0.545398292
A51137,0.478910962
A51139,0.458751129
A51141,0.454523532
A51143,0.510691797
A51145,0.516575302
A51147,0.509564597
A51149,0.414105717
A51153,0.444386053
A51155,0.530960006
A51157,0.435462818
A51159,0.455754485
A51161,0.498297135
A51163,0.502753321
A51165,0.502190129
A51167,0.483643342
A51169,0.483450882
A51171,0.508265456
A51173,0.503464269
A51175,0.426630944
A51177,0.483782896
A51179,0.463493474
A51181,0.441818144
A51183,0.419353219
A51185,0.48877801
A51187,0.453890538
A51191,0.472646762
A51193,0.431291292
A51195,0.538325632
A51197,0.483799665
A51199,0.485962713
A51510,0.477390516
A51515,0.533723085
A51520,0.465519837
A51530,0.491597496
A51540,0.546727454
A51550,0.49873037
A51570,0.472576316
A51580,0.491574093
A51590,0.507764369
A51595,0.39848177
A51600,0.456578977
A51610,0.548559203
A51620,0.468362638
A51630,0.362862645
A51640,0.460487735
A51650,0.506513112
A51660,0.565443084
A51670,0.430194906
A51678,0.533158894
A51680,0.52457495
A51683,0.381023803
A51685,0.379791519
A51690,0.496772578
A51700,0.428782967
A51710,0.484993891
A51720,0.556569989
A51730,0.412560037
A51735,0.551969194
A51740,0.470637126
A51750,0.501365263
A51760,0.449925528
A51770,0.465846772
A51775,0.477249116
A51790,0.487845417
A51800,0.499244099
A51810,0.511365441
A51820,0.464920656
A51830,0.400650426
A51840,0.45987114
A54003,0.483335559
A54023,0.501509836
A54027,0.49269035
A54031,0.480930591
A54037,0.467653294
A54057,0.507631761
A54063,0.495821933
A54065,0.484662722
A54071,0.485173961
A54077,0.466231565
A54093,0.482022055
B24001,0.506709339
B24021,0.493719797
B37005,0.517591707
B37009,0.517591707
B42001,0.424886815
B42009,0.491785113
B42015,0.510478145
B42027,0.476358996
B42035,0.483990347
B42041,0.466187416
B42043,0.458839849
B42055,0.478045222
B42079,0.513473566
B42081,0.494932991
B42119,0.469889411
B42131,0.502449262
B51003,0.492439693
B51009,0.537432067
B51015,0.485511689
B51017,0.514939018
B51019,0.518747797
B51023,0.503261876
B51035,0.466779358
B51061,0.430556283
B51067,0.518547351
B51071,0.493058168
B51077,0.490328403
B51079,0.428273174
B51091,0.501981404
B51105,0.521933711
B51113,0.422582535
B51125,0.465676318
B51139,0.458751129
B51141,0.454523532
B51157,0.435462818
B51161,0.498297135
B51163,0.502753321
B51165,0.502190129
B51167,0.483643342
B51169,0.483450882
B51171,0.508265456
B51173,0.503464269
B51185,0.48877801
B51187,0.453890538
B51191,0.472646762
B51197,0.483799665
B54023,0.501509836
B54031,0.480930591
B54057,0.507631761
B54071,0.485173961
C42009,0.491785113
C51015,0.485511689
C51071,0.493058168
C51165,0.502190129
B51195,0.538325632
end
