TABLE->,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A36123,1,0,0,1,0,1,0,1,0,0.000219,0.004434,0,0.000022,0.000219,0.500000,0.443E-05,0.451E-05
A37001,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37005,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37009,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37033,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37067,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37077,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37081,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37131,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37135,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37145,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37157,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37169,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37171,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37181,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37185,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37189,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A42001,1,0,0,1,0,1,0,1,0,0.000208,0.004220,0,0.000021,0.000208,0.500000,0.422E-05,0.686E-05
A42009,1,0,0,1,0,1,0,1,0,0.000225,0.004565,0,0.000023,0.000225,0.500000,0.456E-05,0.434E-05
A42011,1,0,0,1,0,1,0,1,0,0.000147,0.002981,0,0.000015,0.000147,0.500000,0.298E-05,0.384E-05
A42013,1,0,0,1,0,1,0,1,0,0.000260,0.005265,0,0.000026,0.000260,0.500000,0.526E-05,0.368E-05
A42015,1,0,0,1,0,1,0,1,0,0.000249,0.005046,0,0.000025,0.000249,0.500000,0.505E-05,0.496E-05
A42021,1,0,0,1,0,1,0,1,0,0.000175,0.003556,0,0.000018,0.000175,0.500000,0.356E-05,0.343E-05
A42023,1,0,0,1,0,1,0,1,0,0.000149,0.003021,0,0.000015,0.000149,0.500000,0.302E-05,0.373E-05
A42025,1,0,0,1,0,1,0,1,0,0.000109,0.002205,0,0.000011,0.000109,0.500000,0.220E-05,0.402E-05
A42027,1,0,0,1,0,1,0,1,0,0.000364,0.007390,0,0.000037,0.000364,0.500000,0.739E-05,0.329E-05
A42029,1,0,0,1,0,1,0,1,0,0.000248,0.005032,0,0.000025,0.000248,0.500000,0.503E-05,0.379E-05
A42033,1,0,0,1,0,1,0,1,0,0.000207,0.004198,0,0.000021,0.000207,0.500000,0.420E-05,0.324E-05
A42035,1,0,0,1,0,1,0,1,0,0.000184,0.003737,0,0.000018,0.000184,0.500000,0.374E-05,0.328E-05
A42037,1,0,0,1,0,1,0,1,0,0.000171,0.003464,0,0.000017,0.000171,0.500000,0.346E-05,0.341E-05
A42041,1,0,0,1,0,1,0,1,0,0.000248,0.005024,0,0.000025,0.000248,0.500000,0.502E-05,0.394E-05
A42043,1,0,0,1,0,1,0,1,0,0.000248,0.005023,0,0.000025,0.000248,0.500000,0.502E-05,0.482E-05
A42047,1,0,0,1,0,1,0,1,0,0.000153,0.003112,0,0.000015,0.000153,0.500000,0.311E-05,0.372E-05
A42055,1,0,0,1,0,1,0,1,0,0.000366,0.007427,0,0.000037,0.000366,0.500000,0.743E-05,0.370E-05
A42057,1,0,0,1,0,1,0,1,0,0.000266,0.005398,0,0.000027,0.000266,0.500000,0.540E-05,0.572E-05
A42061,1,0,0,1,0,1,0,1,0,0.000243,0.004921,0,0.000024,0.000243,0.500000,0.492E-05,0.427E-05
A42063,1,0,0,1,0,1,0,1,0,0.000179,0.003631,0,0.000018,0.000179,0.500000,0.363E-05,0.357E-05
A42065,1,0,0,1,0,1,0,1,0,0.000165,0.003338,0,0.000016,0.000165,0.500000,0.334E-05,0.363E-05
A42067,1,0,0,1,0,1,0,1,0,0.000257,0.005205,0,0.000026,0.000257,0.500000,0.520E-05,0.451E-05
A42069,1,0,0,1,0,1,0,1,0,0.000231,0.004676,0,0.000023,0.000231,0.500000,0.468E-05,0.342E-05
A42071,1,0,0,1,0,1,0,1,0,0.000383,0.007756,0,0.000038,0.000383,0.500000,0.776E-05,0.364E-05
A42075,1,0,0,1,0,1,0,1,0,0.000458,0.009279,0,0.000046,0.000458,0.500000,0.928E-05,0.319E-05
A42079,1,0,0,1,0,1,0,1,0,0.000242,0.004906,0,0.000024,0.000242,0.500000,0.491E-05,0.362E-05
A42081,1,0,0,1,0,1,0,1,0,0.000191,0.003871,0,0.000019,0.000191,0.500000,0.387E-05,0.325E-05
A42083,1,0,0,1,0,1,0,1,0,0.000130,0.002632,0,0.000013,0.000130,0.500000,0.263E-05,0.372E-05
A42087,1,0,0,1,0,1,0,1,0,0.000210,0.004255,0,0.000021,0.000210,0.500000,0.425E-05,0.382E-05
A42093,1,0,0,1,0,1,0,1,0,0.000209,0.004238,0,0.000021,0.000209,0.500000,0.424E-05,0.587E-05
A42097,1,0,0,1,0,1,0,1,0,0.000296,0.005995,0,0.000030,0.000296,0.500000,0.600E-05,0.314E-05
A42099,1,0,0,1,0,1,0,1,0,0.000216,0.004379,0,0.000022,0.000216,0.500000,0.438E-05,0.391E-05
A42105,1,0,0,1,0,1,0,1,0,0.000174,0.003536,0,0.000017,0.000174,0.500000,0.354E-05,0.382E-05
A42107,1,0,0,1,0,1,0,1,0,0.000212,0.004298,0,0.000021,0.000212,0.500000,0.430E-05,0.326E-05
A42109,1,0,0,1,0,1,0,1,0,0.000225,0.004561,0,0.000023,0.000225,0.500000,0.456E-05,0.435E-05
A42111,1,0,0,1,0,1,0,1,0,0.000209,0.004245,0,0.000021,0.000209,0.500000,0.425E-05,0.385E-05
A42113,1,0,0,1,0,1,0,1,0,0.000173,0.003507,0,0.000017,0.000173,0.500000,0.351E-05,0.324E-05
A42115,1,0,0,1,0,1,0,1,0,0.000182,0.003689,0,0.000018,0.000182,0.500000,0.369E-05,0.360E-05
A42117,1,0,0,1,0,1,0,1,0,0.000264,0.005356,0,0.000026,0.000264,0.500000,0.536E-05,0.441E-05
A42119,1,0,0,1,0,1,0,1,0,0.000156,0.003173,0,0.000016,0.000156,0.500000,0.317E-05,0.331E-05
A42127,1,0,0,1,0,1,0,1,0,0.000136,0.002767,0,0.000014,0.000136,0.500000,0.277E-05,0.303E-05
A42131,1,0,0,1,0,1,0,1,0,0.000272,0.005514,0,0.000027,0.000272,0.500000,0.551E-05,0.464E-05
A42133,1,0,0,1,0,1,0,1,0,0.000259,0.005254,0,0.000026,0.000259,0.500000,0.525E-05,0.414E-05
A47091,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A47163,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A51001,1,0,0,1,0,1,0,1,0,0.000147,0.002990,0,0.000015,0.000147,0.500000,0.299E-05,0.426E-05
A51003,1,0,0,1,0,1,0,1,0,0.000298,0.006041,0,0.000030,0.000298,0.500000,0.604E-05,0.431E-05
A51005,1,0,0,1,0,1,0,1,0,0.000312,0.006318,0,0.000031,0.000312,0.500000,0.632E-05,0.528E-05
A51007,1,0,0,1,0,1,0,1,0,0.000252,0.005119,0,0.000025,0.000252,0.500000,0.512E-05,0.742E-05
A51009,1,0,0,1,0,1,0,1,0,0.000312,0.006323,0,0.000031,0.000312,0.500000,0.632E-05,0.386E-05
A51011,1,0,0,1,0,1,0,1,0,0.000306,0.006204,0,0.000031,0.000306,0.500000,0.620E-05,0.512E-05
A51013,1,0,0,1,0,1,0,1,0,0.000171,0.003471,0,0.000017,0.000171,0.500000,0.347E-05,0.414E-05
A51015,1,0,0,1,0,1,0,1,0,0.000376,0.007627,0,0.000038,0.000376,0.500000,0.763E-05,0.429E-05
A51017,1,0,0,1,0,1,0,1,0,0.000297,0.006021,0,0.000030,0.000297,0.500000,0.602E-05,0.466E-05
A51019,1,0,0,1,0,1,0,1,0,0.000335,0.006799,0,0.000034,0.000335,0.500000,0.680E-05,0.465E-05
A51021,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A51023,1,0,0,1,0,1,0,1,0,0.000268,0.005429,0,0.000027,0.000268,0.500000,0.543E-05,0.452E-05
A51025,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A51027,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A51029,1,0,0,1,0,1,0,1,0,0.000254,0.005155,0,0.000025,0.000254,0.500000,0.515E-05,0.578E-05
A51031,1,0,0,1,0,1,0,1,0,0.000298,0.006046,0,0.000030,0.000298,0.500000,0.605E-05,0.531E-05
A51033,1,0,0,1,0,1,0,1,0,0.000345,0.007005,0,0.000035,0.000345,0.500000,0.700E-05,0.489E-05
A51035,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A51036,1,0,0,1,0,1,0,1,0,0.000228,0.004622,0,0.000023,0.000228,0.500000,0.462E-05,0.509E-05
A51037,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A51041,1,0,0,1,0,1,0,1,0,0.000314,0.006375,0,0.000031,0.000314,0.500000,0.637E-05,0.610E-05
A51043,1,0,0,1,0,1,0,1,0,0.000340,0.006884,0,0.000034,0.000340,0.500000,0.688E-05,0.621E-05
