 A51027  1984  2005 wet and dry atdep
 seg,year or month,precip,wetno3,wetnh3,dryno3,drynh3,wetorn,wetorp,wetpo4
A51027,1984,  45.1678,   2.7796,   1.5356,   5.9568,   0.3511,   0.5514,   0.5101,   0.1723
A51027,1985,  40.3180,   2.6024,   1.1147,   5.8906,   0.3516,   0.4499,   0.4162,   0.1406
A51027,1986,  41.2358,   2.8948,   1.3882,   5.8244,   0.3521,   0.4501,   0.4163,   0.1406
A51027,1987,  45.5470,   2.8826,   1.5193,   5.7582,   0.3526,   0.5693,   0.5266,   0.1779
A51027,1988,  31.3853,   1.9182,   0.9174,   5.6919,   0.3531,   0.3459,   0.3199,   0.1081
A51027,1989,  51.7979,   2.9487,   1.7028,   5.6257,   0.3536,   0.6164,   0.5701,   0.1926
A51027,1990,  45.7157,   2.4311,   1.5012,   5.5595,   0.3541,   0.5297,   0.4899,   0.1655
A51027,1991,  46.4648,   2.7026,   1.2674,   5.4933,   0.3546,   0.5061,   0.4682,   0.1582
A51027,1992,  38.0803,   2.3829,   1.1925,   5.4270,   0.3552,   0.4366,   0.4038,   0.1364
A51027,1993,  44.2861,   2.8896,   1.3828,   5.3608,   0.3557,   0.4798,   0.4438,   0.1499
A51027,1994,  50.7793,   2.6253,   1.5971,   5.2946,   0.3562,   0.5659,   0.5234,   0.1768
A51027,1995,  43.9398,   2.7103,   1.6562,   5.2284,   0.3567,   0.5349,   0.4948,   0.1672
A51027,1996,  55.2511,   3.3127,   1.8911,   5.1622,   0.3572,   0.6403,   0.5923,   0.2001
A51027,1997,  39.5271,   2.6004,   1.3839,   5.0960,   0.3577,   0.4651,   0.4302,   0.1453
A51027,1998,  43.5107,   2.7348,   1.6583,   5.0297,   0.3582,   0.5629,   0.5206,   0.1759
A51027,1999,  35.4839,   2.1078,   1.0917,   4.9635,   0.3587,   0.3962,   0.3665,   0.1238
A51027,2000,  41.3289,   2.5799,   1.4319,   4.8973,   0.3592,   0.4870,   0.4504,   0.1522
A51027,2001,  41.2588,   2.1775,   1.3124,   4.8311,   0.3597,   0.4870,   0.4505,   0.1522
A51027,2002,  50.6161,   2.5173,   1.6193,   4.7648,   0.3603,   0.6035,   0.5583,   0.1886
A51027,2003,  57.4593,   2.7031,   1.7175,   4.6986,   0.3608,   0.6863,   0.6348,   0.2145
A51027,2004,  52.4698,   2.0876,   1.3949,   4.6324,   0.3613,   0.6414,   0.5933,   0.2004
A51027,2005,  38.3109,   1.9787,   1.3775,   4.5662,   0.3618,   0.4316,   0.3992,   0.1349
A51027,   1,   3.1550,   0.1510,   0.0673,   0.4568,   0.0144,   0.0286,   0.0265,   0.0089
A51027,   2,   3.4361,   0.1538,   0.0776,   0.4174,   0.0206,   0.0311,   0.0288,   0.0097
A51027,   3,   3.7480,   0.2606,   0.1387,   0.4507,   0.0297,   0.0340,   0.0314,   0.0106
A51027,   4,   3.8312,   0.2575,   0.1816,   0.5180,   0.0423,   0.0695,   0.0642,   0.0217
A51027,   5,   4.8509,   0.3056,   0.2078,   0.5207,   0.0434,   0.0879,   0.0813,   0.0275
A51027,   6,   4.1274,   0.2825,   0.1875,   0.4088,   0.0437,   0.0748,   0.0692,   0.0234
A51027,   7,   4.8627,   0.2957,   0.1545,   0.4518,   0.0525,   0.0441,   0.0408,   0.0138
A51027,   8,   3.9453,   0.2651,   0.1332,   0.4158,   0.0296,   0.0358,   0.0331,   0.0112
A51027,   9,   3.3719,   0.1842,   0.0984,   0.3996,   0.0255,   0.0306,   0.0283,   0.0096
A51027,  10,   2.6558,   0.1243,   0.0683,   0.4312,   0.0169,   0.0241,   0.0223,   0.0075
A51027,  11,   3.1927,   0.1496,   0.0700,   0.4008,   0.0276,   0.0289,   0.0268,   0.0090
A51027,  12,   3.3655,   0.1414,   0.0539,   0.3899,   0.0103,   0.0305,   0.0282,   0.0095
 A51027, -0.0138980029,  0.00141645072
 A51051  1984  2005 wet and dry atdep
 seg,year or month,precip,wetno3,wetnh3,dryno3,drynh3,wetorn,wetorp,wetpo4
A51051,1984,  45.2174,   2.9670,   1.6543,   5.8169,   0.3177,   0.5513,   0.5100,   0.1723
A51051,1985,  38.8979,   2.5989,   1.0919,   5.7585,   0.3186,   0.4375,   0.4047,   0.1367
A51051,1986,  41.1301,   2.7026,   1.2345,   5.7002,   0.3195,   0.4391,   0.4061,   0.1372
A51051,1987,  41.4086,   2.6129,   1.2892,   5.6418,   0.3204,   0.4915,   0.4546,   0.1536
A51051,1988,  34.1545,   2.0764,   1.0242,   5.5835,   0.3213,   0.3799,   0.3514,   0.1187
A51051,1989,  57.4547,   3.3132,   1.9490,   5.5251,   0.3222,   0.6883,   0.6367,   0.2151
A51051,1990,  46.5742,   2.5291,   1.5324,   5.4668,   0.3231,   0.5388,   0.4984,   0.1684
A51051,1991,  49.0672,   2.8738,   1.3009,   5.4084,   0.3240,   0.5359,   0.4957,   0.1675
A51051,1992,  41.3593,   2.6306,   1.2883,   5.3500,   0.3249,   0.4721,   0.4367,   0.1475
A51051,1993,  47.9731,   3.0812,   1.4183,   5.2917,   0.3258,   0.5280,   0.4884,   0.1650
A51051,1994,  54.8836,   2.7387,   1.6530,   5.2333,   0.3267,   0.6199,   0.5734,   0.1937
A51051,1995,  49.2127,   3.2348,   1.9619,   5.1749,   0.3276,   0.5962,   0.5515,   0.1863
A51051,1996,  55.1178,   3.2006,   1.8032,   5.1166,   0.3285,   0.6282,   0.5811,   0.1963
A51051,1997,  42.1147,   2.8485,   1.4991,   5.0582,   0.3294,   0.4943,   0.4572,   0.1545
A51051,1998,  49.3221,   3.1354,   1.9385,   4.9998,   0.3303,   0.6351,   0.5874,   0.1985
A51051,1999,  36.4844,   2.2970,   1.1986,   4.9415,   0.3312,   0.4082,   0.3776,   0.1276
A51051,2000,  41.6001,   2.7856,   1.4989,   4.8831,   0.3321,   0.4791,   0.4432,   0.1497
A51051,2001,  43.0741,   2.2012,   1.3108,   4.8248,   0.3330,   0.5147,   0.4761,   0.1609
A51051,2002,  52.0459,   2.7269,   1.7078,   4.7664,   0.3339,   0.5997,   0.5548,   0.1874
A51051,2003,  57.1213,   2.7799,   1.7653,   4.7080,   0.3348,   0.6857,   0.6343,   0.2143
A51051,2004,  55.0187,   2.2082,   1.4732,   4.6497,   0.3357,   0.6641,   0.6142,   0.2075
A51051,2005,  38.2471,   1.9895,   1.3664,   4.5913,   0.3366,   0.4409,   0.4078,   0.1378
A51051,   1,   3.3834,   0.1680,   0.0734,   0.4553,   0.0137,   0.0307,   0.0284,   0.0096
A51051,   2,   3.7742,   0.1675,   0.0849,   0.4098,   0.0192,   0.0342,   0.0316,   0.0107
A51051,   3,   4.0357,   0.2809,   0.1493,   0.4548,   0.0281,   0.0366,   0.0338,   0.0114
A51051,   4,   3.9011,   0.2628,   0.1845,   0.5073,   0.0416,   0.0707,   0.0654,   0.0221
A51051,   5,   4.8412,   0.3023,   0.2064,   0.5149,   0.0398,   0.0878,   0.0812,   0.0274
