TABLE->,HYDR-PARM2,HYDR-PARM2,HYDR-PARM2,HYDR-PARM2,HYDR-PARM2,HYDR-PARM2,HYDR-INIT,HYDR-INIT,HYDR-INIT,HYDR-INIT,HYDR-INIT,HYDR-INIT,HYDR-INIT,HYDR-INIT,HYDR-INIT,HYDR-INIT,HYDR-INIT
VARS->,FTABNO,LEN,DELTH,STCOR,KS,DB50,VOL,CEX1,CEX2,CEX3,CEX4,CEX5,DEX1,DEX2,DEX3,DEX4,DEX5
MN0_8300_0001,1,6.2,22.96,NA,0.5,NA,37.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN1_7590_7860,1,20.69,62.32,NA,0.5,NA,301.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN4_7810_8080,1,21.92,62.32,NA,0.5,NA,357.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN3_7540_7680,1,47.11,108.24,NA,0.5,NA,1509.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN3_7680_7860,1,12.91,16.4,NA,0.5,NA,445.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN3_7860_8080,1,9.45,6.56,NA,0.5,NA,416.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN4_8080_8110,1,4.86,3.28,NA,0.5,NA,254.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN1_7990_8100,1,10.79,170.56,NA,0.5,NA,121.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN2_8530_8510,1,12.42,62.32,NA,0.5,NA,166.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN2_8250_8190,1,17.92,131.2,NA,0.5,NA,331.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN4_8510_8380,1,36.14,144.32,NA,0.5,NA,1262.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN2_8100_8190,1,17.46,82,NA,0.5,NA,433.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
