 seg ,TOTN,TOTP
SL1_2670_2370,    0.9894,    0.9610
SL2_2540_2370,    0.9894,    0.9610
SL4_2370_2330,    0.9894,    0.9610
SL1_2390_2420,    1.1753,    0.9920
SL3_2460_2430,    0.9699,    1.1260
SL1_2190_2350,    1.2784,    0.9491
SL2_2200_2350,    1.2784,    0.9491
SL3_2350_2470,    1.2784,    0.9491
SL3_2470_2420,    1.2784,    0.9491
SL3_2420_2700,    1.2784,    0.9491
SL0_2831_2830,    1.1504,    1.0803
SL1_2770_2730,    1.1504,    1.0803
SL1_2830_2760,    1.1504,    1.0803
SL1_2760_2730,    1.1504,    1.0803
SL3_2730_2550,    1.1504,    1.0803
SL3_2290_2260,    1.0013,    1.1328
SL0_2180_2220,    1.2461,    0.9933
SL1_2000_2090,    1.2461,    0.9933
SL0_2220_2140,    1.2461,    0.9933
SL2_1850_1990,    0.9823,    0.7952
SL2_1990_2070,    1.2461,    0.9933
SL2_2070_2090,    1.2461,    0.9933
SL4_2090_2100,    1.2461,    0.9933
SL4_2100_2140,    1.2461,    0.9933
SL4_2140_2240,    1.2461,    0.9933
