lseg, evap fac ***
 A10001,  1.2187897
 A10003,  0.75
 A10005,  0.936929524
 A11001,  1.25
 A24001,  1.12995815
 A24003,  0.75
 A24005,  1.11301553
 A24009,  1.08203268
 A24011,  0.752469361
 A24013,  1.19332242
 A24015,  1.24376953
 A24017,  0.979723573
 A24019,  0.75
 A24021,  0.987138212
 A24023,  1.149189
 A24025,  0.980202973
 A24027,  1.09809077
 A24029,  0.75
 A24031,  1.1712774
 A24033,  1.15060401
 A24035,  0.959103405
 A24037,  1.05210292
 A24039,  0.75
 A24041,  0.75
 A24043,  1.21783566
 A24045,  1.04930949
 A24047,  1.05193543
 A24510,  0.75
 A36003,  1.25
 A36007,  1.05852497
 A36015,  1.18959975
 A36017,  1.02368653
 A36023,  1.00251579
 A36025,  1.0108043
 A36043,  1.24055588
 A36051,  1.07647073
 A36053,  1.25
 A36065,  1.25
 A36067,  1.05294359
 A36069,  1.07647073
 A36077,  0.938986123
 A36095,  1.01110125
 A36097,  1.13837683
 A36101,  1.22938132
 A36107,  1.02167428
 A36109,  1.02146268
 A36123,  1.07647073
 A37001,  0.75
 A37005,  1.25
 A37009,  1.18140614
 A37033,  1.13272917
 A37067,  1.25
 A37077,  0.75
 A37081,  1.25
 A37131,  1.25
 A37135,  0.75
 A37145,  1.13272917
 A37157,  1.20597315
 A37169,  1.2261622
 A37171,  1.02517843
 A37181,  0.75
 A37185,  0.75
 A37189,  0.966716349
 A42001,  1.11495841
 A42009,  1.06448233
 A42011,  0.810209155
 A42013,  1.06602347
 A42015,  1.14915597
 A42021,  1.11180544
 A42023,  1.25
 A42025,  1.17581928
 A42027,  1.25
 A42029,  1.24376953
 A42033,  1.08030069
 A42035,  1.182657
 A42037,  0.938469708
 A42041,  1.02665091
 A42043,  1.25
 A42047,  1.25
 A42055,  1.14925885
 A42057,  1.09635186
 A42061,  0.999404192
 A42063,  0.939870238
 A42065,  0.939870238
 A42067,  1.18272877
 A42069,  1.25
 A42071,  1.22273648
 A42075,  1.09230483
 A42079,  1.25
 A42081,  0.941144466
 A42083,  1.25
 A42087,  0.956017196
 A42093,  1.08085871
 A42097,  0.976973593
 A42099,  0.980836332
 A42105,  1.25
 A42107,  1.08502209
 A42109,  1.05796802
 A42111,  1.08681631
 A42113,  0.970227122
 A42115,  1.06218553
 A42117,  1.09845805
 A42119,  0.824369848
 A42127,  1.06782031
 A42131,  1.25
 A42133,  1.25
 A47091,  1.03120804
 A47163,  1.03120804
 A51001,  0.75
 A51003,  1.16315401
 A51005,  1.03168333
 A51007,  1.18473649
 A51009,  1.09230089
 A51011,  1.07468414
 A51013,  0.75
 A51015,  1.25
 A51017,  1.25
 A51019,  1.22706938
 A51021,  1.01100409
 A51023,  0.949603319
 A51025,  1.12720454
 A51027,  1.03001881
 A51029,  1.10274541
 A51031,  1.11504853
 A51033,  1.15061498
 A51035,  0.989975929
 A51036,  1.03994393
 A51037,  1.07571459
 A51041,  1.25
 A51043,  1.25
 A51045,  0.929517686
 A51047,  1.12693334
 A51049,  1.09481394
 A51051,  1.09372759
 A51053,  1.14696431
 A51057,  1.01403821
 A51059,  1.25
 A51061,  1.11642694
 A51063,  1.24667346
 A51065,  1.25
 A51067,  1.06572795
 A51069,  1.25
 A51071,  0.901214123
 A51073,  0.75
 A51075,  1.10340679
 A51077,  1.25
 A51079,  1.10819113
 A51081,  1.20066559
 A51083,  1.25
 A51085,  1.03925169
 A51087,  1.03994393
 A51089,  1.05117667
 A51091,  1.22690022
 A51093,  1.16435373
 A51095,  0.75
 A51097,  1.13557935
 A51099,  0.75
 A51101,  1.10715973
 A51103,  0.75
 A51105,  0.86317575
 A51107,  1.04280114
 A51109,  1.14597726
 A51111,  1.21809995
 A51113,  1.01863337
 A51115,  0.75
 A51117,  1.00343823
 A51119,  0.75
 A51121,  1.11077976
 A51125,  0.889228761
 A51127,  1.03994393
 A51131,  0.75
 A51133,  0.75
 A51135,  1.18760467
 A51137,  1.21504426
 A51139,  1.19412649
 A51141,  1.10244823
 A51143,  1.1790874
 A51145,  1.05576539
 A51147,  1.13448429
 A51149,  1.05552101
 A51153,  1.07687891
 A51155,  1.22193563
 A51157,  0.939288914
 A51159,  0.980832517
 A51161,  0.97521621
 A51163,  1.24246883
 A51165,  1.25
 A51167,  1.21909845
 A51169,  1.14465225
 A51171,  1.25
 A51173,  1.18561184
 A51175,  1.1742717
 A51177,  1.17515731
 A51179,  1.06516063
 A51181,  1.07111657
 A51183,  1.10745955
 A51185,  1.0682708
 A51187,  1.16487694
 A51191,  1.2151947
 A51193,  0.980832517
 A51195,  1.25
 A51197,  1.25
 A51199,  0.75
 A51510,  1.25
 A51515,  0.884565532
 A51520,  0.75
 A51530,  1.1846261
 A51540,  1.25
 A51550,  0.75
 A51570,  0.75
 A51580,  0.931400657
 A51590,  1.09059632
 A51595,  0.945883214
 A51600,  0.981978059
 A51610,  1.25
 A51620,  0.75
 A51630,  1.25
 A51640,  1.25
 A51650,  0.75
 A51660,  1.05551517
 A51670,  0.75
 A51678,  1.25
 A51680,  1.12154651
 A51683,  0.75
 A51685,  0.75
 A51690,  0.83222723
 A51700,  0.75
 A51710,  0.75
 A51720,  0.927859426
 A51730,  1.05552101
 A51735,  0.75
 A51740,  0.75
 A51750,  0.75
 A51760,  1.03994393
 A51770,  0.951345265
 A51775,  1.01265061
 A51790,  1.25
 A51800,  1.0679704
 A51810,  0.75
 A51820,  0.880698562
 A51830,  0.75
 A51840,  1.25
 A54003,  1.08926046
 A54023,  1.04541135
 A54027,  1.19750381
 A54031,  1.14915669
 A54037,  1.17078364
 A54057,  1.25
 A54063,  1.03356373
 A54065,  1.07969499
 A54071,  1.1628027
 A54077,  0.75
 A54093,  0.75
 B24001,  1.07229066
 B24021,  1.12404835
 B37005,  1.25
 B37009,  1.13428771
 B42001,  1.11098289
 B42009,  0.952905476
 B42015,  1.17651653
 B42027,  1.20084202
 B42035,  1.15660596
 B42041,  1.22182071
 B42043,  0.906069219
 B42055,  1.1117785
 B42079,  0.936948538
 B42081,  1.19100773
 B42119,  0.970254064
 B42131,  1.19888926
 B51003,  1.25
 B51009,  0.75
 B51015,  0.890602529
 B51017,  1.0633626
 B51019,  1.10662735
 B51023,  1.12763774
 B51035,  0.75
 B51061,  1.01403952
 B51067,  1.12364662
 B51071,  1.16139448
 B51077,  1.25
 B51079,  0.995537996
 B51091,  1.06405294
 B51105,  0.86317575
 B51113,  0.966455519
 B51125,  0.777624667
 B51139,  1.21228909
 B51141,  0.885109901
 B51157,  0.931838512
 B51161,  1.02617276
 B51163,  1.25
 B51165,  1.07910657
 B51167,  1.21349788
 B51169,  1.14465225
 B51171,  0.919098496
 B51173,  1.08151662
 B51185,  1.23319995
 B51187,  1.18171275
 B51191,  1.03120804
 B51195,  0.933711112
 B51197,  1.25
 B54023,  1.25
 B54031,  1.15850222
 B54057,  1.25
 B54071,  1.25
 C42009,  1.13648653
 C51015,  1.0177772
 C51071,  1.06606257
 C51165,  1.21714914
end,
