TABLE->,IWAT-PARM1,IWAT-PARM1,IWAT-PARM1,IWAT-PARM1,IWAT-PARM1,IWAT-PARM2,IWAT-PARM2,IWAT-PARM2,IWAT-PARM2,IWAT-PARM3,IWAT-PARM3
VARS->,CSNO,RTOP,VRS,VNN,RTLI,LSUR,SLSUR,NSUR,RETSC,PETMAX,PETMIN
F51171,1,1,0,0,0,172,0.194,0.08,0.1,40,35
F51177,1,1,0,0,0,312,0.055,0.08,0.1,40,35
F51179,1,1,0,0,0,311,0.055,0.08,0.1,40,35
F51181,1,1,0,0,0,391,0.027,0.08,0.1,40,35
F51187,1,1,0,0,0,236,0.109,0.08,0.1,40,35
F51193,1,1,0,0,0,378,0.03,0.08,0.1,40,35
F51199,1,1,0,0,0,395,0.026,0.08,0.1,40,35
F51510,1,1,0,0,0,458,0.015,0.08,0.1,40,35
F51530,1,1,0,0,0,174,0.189,0.08,0.1,40,35
F51540,1,1,0,0,0,287,0.068,0.08,0.1,40,35
F51550,1,1,0,0,0,520,0.008,0.08,0.1,40,35
F51580,1,1,0,0,0,118,0.314,0.08,0.1,40,35
F51630,1,1,0,0,0,258,0.089,0.08,0.1,40,35
F51650,1,1,0,0,0,493,0.011,0.08,0.1,40,35
F51660,1,1,0,0,0,351,0.038,0.08,0.1,40,35
F51670,1,1,0,0,0,269,0.081,0.08,0.1,40,35
F51700,1,1,0,0,0,449,0.016,0.08,0.1,40,35
F51710,1,1,0,0,0,521,0.008,0.08,0.1,40,35
F51730,1,1,0,0,0,354,0.037,0.08,0.1,40,35
F51735,1,1,0,0,0,383,0.029,0.08,0.1,40,35
F51740,1,1,0,0,0,497,0.01,0.08,0.1,40,35
F51760,1,1,0,0,0,283,0.071,0.08,0.1,40,35
F51790,1,1,0,0,0,251,0.095,0.08,0.1,40,35
F51800,1,1,0,0,0,494,0.011,0.08,0.1,40,35
F51810,1,1,0,0,0,502,0.01,0.08,0.1,40,35
F51820,1,1,0,0,0,194,0.159,0.08,0.1,40,35
F51830,1,1,0,0,0,386,0.028,0.08,0.1,40,35
F54003,1,1,0,0,0,330,0.046,0.08,0.1,40,35
F54023,1,1,0,0,0,154,0.227,0.08,0.1,40,35
F54027,1,1,0,0,0,228,0.116,0.08,0.1,40,35
F54031,1,1,0,0,0,183,0.175,0.08,0.1,40,35
F54037,1,1,0,0,0,208,0.139,0.08,0.1,40,35
F54057,1,1,0,0,0,313,0.054,0.08,0.1,40,35
F54063,1,1,0,0,0,116,0.321,0.08,0.1,40,35
F54065,1,1,0,0,0,242,0.103,0.08,0.1,40,35
F54071,1,1,0,0,0,148,0.241,0.08,0.1,40,35
end,,,,,,,,,,,
