TABLE->,IWAT-PARM1,IWAT-PARM1,IWAT-PARM1,IWAT-PARM1,IWAT-PARM1,IWAT-PARM2,IWAT-PARM2,IWAT-PARM2,IWAT-PARM2,IWAT-PARM3,IWAT-PARM3
VARS->,CSNO,RTOP,VRS,VNN,RTLI,LSUR,SLSUR,NSUR,RETSC,PETMAX,PETMIN
A36015,1,1,0,0,0,358,0.036,0.08,0.1,40,35
A36017,1,1,0,0,0,286,0.069,0.08,0.1,40,35
A36023,1,1,0,0,0,299,0.061,0.08,0.1,40,35
A36025,1,1,0,0,0,236,0.109,0.08,0.1,40,35
A36043,1,1,0,0,0,297,0.063,0.08,0.1,40,35
A36051,1,1,0,0,0,325,0.049,0.08,0.1,40,35
A36053,1,1,0,0,0,341,0.042,0.08,0.1,40,35
A36065,1,1,0,0,0,368,0.033,0.08,0.1,40,35
A36067,1,1,0,0,0,354,0.037,0.08,0.1,40,35
A36069,1,1,0,0,0,341,0.042,0.08,0.1,40,35
A36077,1,1,0,0,0,278,0.074,0.08,0.1,40,35
A36095,1,1,0,0,0,254,0.092,0.08,0.1,40,35
A36097,1,1,0,0,0,270,0.08,0.08,0.1,40,35
A36101,1,1,0,0,0,298,0.062,0.08,0.1,40,35
A36107,1,1,0,0,0,300,0.061,0.08,0.1,40,35
A36109,1,1,0,0,0,297,0.062,0.08,0.1,40,35
A36123,1,1,0,0,0,282,0.072,0.08,0.1,40,35
A37001,1,1,0,0,0,360,0.035,0.08,0.1,40,35
A37005,1,1,0,0,0,278,0.074,0.08,0.1,40,35
A37009,1,1,0,0,0,286,0.069,0.08,0.1,40,35
A37033,1,1,0,0,0,327,0.048,0.08,0.1,40,35
A37067,1,1,0,0,0,326,0.048,0.08,0.1,40,35
A37077,1,1,0,0,0,376,0.031,0.08,0.1,40,35
A37081,1,1,0,0,0,348,0.039,0.08,0.1,40,35
A37131,1,1,0,0,0,436,0.018,0.08,0.1,40,35
A37135,1,1,0,0,0,331,0.046,0.08,0.1,40,35
A37145,1,1,0,0,0,346,0.04,0.08,0.1,40,35
A37157,1,1,0,0,0,330,0.047,0.08,0.1,40,35
A37169,1,1,0,0,0,338,0.043,0.08,0.1,40,35
A37171,1,1,0,0,0,298,0.062,0.08,0.1,40,35
A37181,1,1,0,0,0,374,0.031,0.08,0.1,40,35
A37185,1,1,0,0,0,354,0.037,0.08,0.1,40,35
A37189,1,1,0,0,0,267,0.082,0.08,0.1,40,35
A42001,1,1,0,0,0,354,0.037,0.08,0.1,40,35
A42009,1,1,0,0,0,262,0.086,0.08,0.1,40,35
A42011,1,1,0,0,0,284,0.07,0.08,0.1,40,35
A42013,1,1,0,0,0,258,0.089,0.08,0.1,40,35
A42015,1,1,0,0,0,258,0.089,0.08,0.1,40,35
A42021,1,1,0,0,0,244,0.101,0.08,0.1,40,35
A42023,1,1,0,0,0,210,0.138,0.08,0.1,40,35
A42025,1,1,0,0,0,257,0.089,0.08,0.1,40,35
A42027,1,1,0,0,0,287,0.068,0.08,0.1,40,35
A42029,1,1,0,0,0,296,0.063,0.08,0.1,40,35
A42033,1,1,0,0,0,252,0.094,0.08,0.1,40,35
A42035,1,1,0,0,0,196,0.155,0.08,0.1,40,35
A42037,1,1,0,0,0,275,0.076,0.08,0.1,40,35
A42041,1,1,0,0,0,315,0.053,0.08,0.1,40,35
A42043,1,1,0,0,0,274,0.077,0.08,0.1,40,35
A42047,1,1,0,0,0,251,0.095,0.08,0.1,40,35
A42055,1,1,0,0,0,340,0.042,0.08,0.1,40,35
A42057,1,1,0,0,0,252,0.094,0.08,0.1,40,35
A42061,1,1,0,0,0,246,0.099,0.08,0.1,40,35
A42063,1,1,0,0,0,241,0.104,0.08,0.1,40,35
A42065,1,1,0,0,0,239,0.105,0.08,0.1,40,35
A42067,1,1,0,0,0,265,0.084,0.08,0.1,40,35
A42069,1,1,0,0,0,267,0.082,0.08,0.1,40,35
A42071,1,1,0,0,0,306,0.058,0.08,0.1,40,35
A42075,1,1,0,0,0,314,0.054,0.08,0.1,40,35
A42079,1,1,0,0,0,276,0.076,0.08,0.1,40,35
A42081,1,1,0,0,0,202,0.148,0.08,0.1,40,35
A42083,1,1,0,0,0,253,0.093,0.08,0.1,40,35
A42087,1,1,0,0,0,250,0.095,0.08,0.1,40,35
A42093,1,1,0,0,0,278,0.074,0.08,0.1,40,35
