specifier,FLOW,HEAT,NH3X,NO23,ORGN,TOTN,PO4X,PIPX,ORGP,TOTP,TSSX,ORGC,TSED,acre
aop, 0.2195858E+06, 0.2862299E+07, 0.1912925E+05, 0.2727713E+06, 0.5462084E+05, 0.3465214E+06, 0.4410311E+05, 0.1706204E+05, 0.2720089E+04, 0.6388526E+05, 0.1240388E+09, 0.1096149E+07, 0.6147785E+05, 0.1543660E+06
soy, 0.1060056E+07, 0.1448497E+08, 0.1282504E+07, 0.1243188E+08, 0.1826727E+07, 0.1554113E+08, 0.3950905E+06, 0.2357076E+06, 0.3218816E+05, 0.6629866E+06, 0.4405431E+09, 0.2474479E+08, 0.2190342E+06, 0.7583460E+06
gwm, 0.5548706E+06, 0.7378260E+07, 0.8528124E+06, 0.9111557E+07, 0.6367841E+07, 0.1633221E+08, 0.1629733E+06, 0.1373121E+06, 0.6706377E+05, 0.3673489E+06, 0.2012215E+09, 0.9100903E+08, 0.9986875E+05, 0.3746195E+06
gom, 0.1478792E+07, 0.1981370E+08, 0.2394856E+07, 0.2320675E+08, 0.3512655E+07, 0.2911427E+08, 0.5257046E+06, 0.2932322E+06, 0.4175286E+05, 0.8606888E+06, 0.6595168E+09, 0.5050833E+08, 0.3275360E+06, 0.1052324E+07
lhy, 0.1140398E+07, 0.1485988E+08, 0.1959387E+06, 0.3288990E+07, 0.5722603E+06, 0.4057191E+07, 0.1617404E+06, 0.7448805E+05, 0.1040688E+05, 0.2466350E+06, 0.1827947E+09, 0.1006669E+08, 0.9049982E+05, 0.7481764E+06
swm, 0.2255431E+06, 0.2903418E+07, 0.3866519E+06, 0.4148060E+07, 0.2976891E+07, 0.7511595E+07, 0.6246620E+05, 0.4587617E+05, 0.2458739E+05, 0.1329298E+06, 0.8005113E+08, 0.4790274E+08, 0.3962777E+05, 0.1562047E+06
som, 0.4746892E+06, 0.6035936E+07, 0.8152343E+06, 0.7981508E+07, 0.1204890E+07, 0.1000163E+08, 0.1750523E+06, 0.9494255E+05, 0.1398487E+05, 0.2839795E+06, 0.2076553E+09, 0.1971033E+08, 0.1028413E+06, 0.3372837E+06
sgg, 0.5332219E+06, 0.6961116E+07, 0.4667693E+06, 0.5044744E+07, 0.3706094E+07, 0.9217613E+07, 0.1047474E+06, 0.9809410E+05, 0.4811030E+05, 0.2509517E+06, 0.2203335E+09, 0.5562911E+08, 0.1092548E+06, 0.3884757E+06
dbl, 0.6220845E+06, 0.8565772E+07, 0.5333133E+06, 0.6190152E+07, 0.3905685E+07, 0.1062915E+08, 0.1717091E+06, 0.1243923E+06, 0.6358302E+05, 0.3596842E+06, 0.2707043E+09, 0.5366032E+08, 0.1345848E+06, 0.4315894E+06
sch, 0.9062887E+05, 0.1202433E+07, 0.1421267E+06, 0.2043596E+07, 0.2665245E+06, 0.2452246E+07, 0.5537217E+05, 0.4465953E+05, 0.8654438E+03, 0.1008971E+06, 0.4701750E+08, 0.4021780E+07, 0.2336480E+05, 0.6342408E+05
scl, 0.2185458E+06, 0.2811028E+07, 0.7383940E+05, 0.1057900E+07, 0.1729210E+06, 0.1304661E+07, 0.1200402E+06, 0.7104466E+05, 0.1624490E+04, 0.1927094E+06, 0.1225064E+09, 0.2546631E+07, 0.6079737E+05, 0.1582844E+06
oac, 0.8106846E+06, 0.1052085E+08, 0.5270851E+06, 0.5216566E+07, 0.8355592E+06, 0.6579218E+07, 0.2822453E+06, 0.1983167E+06, 0.2481282E+05, 0.5053750E+06, 0.3565427E+09, 0.1313858E+08, 0.1767292E+06, 0.5711570E+06
ohy, 0.1969903E+07, 0.2589762E+08, 0.7442637E+06, 0.6017294E+07, 0.1977492E+07, 0.8739043E+07, 0.3191491E+06, 0.1813747E+06, 0.2662640E+05, 0.5271499E+06, 0.4575716E+09, 0.3633641E+08, 0.2269483E+06, 0.1430632E+07
pas, 0.3378507E+07, 0.4493829E+08, 0.8062314E+06, 0.9630054E+07, 0.2915253E+07, 0.1335153E+08, 0.5636411E+06, 0.4624455E+06, 0.5707039E+05, 0.1083156E+07, 0.2036288E+10, 0.5298834E+08, 0.1009940E+07, 0.2674760E+07
nch, 0.5776973E+06, 0.7218612E+07, 0.6985101E+05, 0.6372608E+06, 0.1116422E+07, 0.1823535E+07, 0.5173751E+05, 0.3591999E+05, 0.3105865E+05, 0.1187162E+06, 0.9942752E+07, 0.2029499E+08, 0.4927216E+04, 0.3296105E+06
ntg, 0.3214447E+07, 0.4044376E+08, 0.5568397E+06, 0.5087486E+07, 0.8858155E+07, 0.1450247E+08, 0.3926322E+06, 0.2920989E+06, 0.2427630E+06, 0.9274953E+06, 0.2223553E+09, 0.1489032E+09, 0.1101727E+06, 0.1846201E+07
mch, 0.5352654E+06, 0.7169093E+07, 0.8649113E+05, 0.8727941E+06, 0.1346132E+07, 0.2305416E+07, 0.6626041E+05, 0.4700101E+05, 0.4561205E+05, 0.1588735E+06, 0.7783974E+07, 0.1988956E+08, 0.3872433E+04, 0.3566320E+06
mtg, 0.1685964E+07, 0.2210584E+08, 0.3698992E+06, 0.3743452E+07, 0.5740126E+07, 0.9853479E+07, 0.2611834E+06, 0.1830328E+06, 0.1789580E+06, 0.6231741E+06, 0.8774222E+08, 0.8411960E+08, 0.4357391E+05, 0.1101711E+07
mcn, 0.1041793E+06, 0.1332943E+07, 0.3878597E+05, 0.5124274E+06, 0.7228159E+06, 0.1274031E+07, 0.3383907E+05, 0.7744879E+05, 0.8526229E+04, 0.1198140E+06, 0.1362159E+09, 0.1072307E+08, 0.6759900E+05, 0.6584103E+05
cch, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.4084724E+05
ctg, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.6013088E+05
ccn, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.1527443E+04
cmo, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
cfr, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
hfr, 0.4769772E+06, 0.6279762E+07, 0.7860341E+05, 0.1428199E+07, 0.3897522E+06, 0.1896556E+07, 0.1054077E+05, 0.1012790E+05, 0.4485646E+04, 0.2515432E+05, 0.5129428E+08, 0.6936822E+07, 0.2540430E+05, 0.3188733E+06
for, 0.2963754E+08, 0.3887465E+09, 0.1355167E+07, 0.8420578E+07, 0.9768413E+07, 0.1954416E+08, 0.3121208E+06, 0.1640878E+06, 0.1944023E+06, 0.6706114E+06, 0.5282901E+09, 0.1797375E+09, 0.2620126E+06, 0.2209910E+08
wfp, 0.7543534E+06, 0.1049053E+08, 0.5008163E+05, 0.3099321E+06, 0.3620850E+06, 0.7220991E+06, 0.1161886E+05, 0.8167585E+04, 0.8066646E+04, 0.2785308E+05, 0.6906717E+07, 0.5553770E+07, 0.3427717E+04, 0.6776807E+06
wto, 0.8615315E+06, 0.1181814E+08, 0.5413683E+05, 0.3379823E+06, 0.3895886E+06, 0.7817076E+06, 0.1345203E+05, 0.9619924E+04, 0.9405535E+04, 0.3247743E+05, 0.5739745E+07, 0.5622268E+07, 0.2851186E+04, 0.6851531E+06
