TABLE->,HT-BED-FLAGS,HT-BED-FLAGS,HT-BED-FLAGS,HEAT-PARM,HEAT-PARM,HEAT-PARM,HEAT-PARM,HEAT-PARM,HEAT-PARM,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,HEAT-INIT,HEAT-INIT
VARS->,BDFG,TGFG,TSTP,ELEV,ELDAT,CFSAEX,KATRAD,KCOND,KEVAP,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TW,AIRTMP
RU2_5810_5610,0,na,na,0979,0352,0.20,15.93750,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
RU2_6090_6220,0,na,na,1478,-0383,0.20,14.81250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
RU3_5610_5640,0,na,na,0295,-0097,0.30,13.93750,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
RU4_5640_6030,0,na,na,0189,-0203,0.40,13.31250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
RU2_6200_6170,0,na,na,0285,-0266,0.20,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
RU2_6220_6170,0,na,na,0361,-0067,0.20,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
RU3_6170_6040,0,na,na,0272,-0155,0.30,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
RU4_6040_6030,0,na,na,0184,-0244,0.40,13.31250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
RU5_6030_0001,0,na,na,0025,-0265,0.50,13.31250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU1_1630_1610,0,na,na,0804,-0171,0.10,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
