TABLE->,SCR-FLAGS,SCR-FLAGS,SCR-CONC,SCR-CONC
VARS->,RORN,RORP,RORN,RORP
YM1_6370_6620,1,1,0.171341,20.86532
YM2_6120_6430,1,1,0.812053,1.793783
YM3_6430_6620,1,1,0.171341,19.11534
YM4_6620_0001,1,1,5.000000,2.000000
GY0_3800_3801,1,1,29.06440,21.00028
GY0_3950_3952,1,1,5.000000,2.000000
GY0_4240_3951,1,1,100.0000,0.001000
GY0_4530_4532,1,1,16.19012,0.001000
GY0_4531_4532,1,1,100.0000,0.618369
GY0_4532_3951,1,1,100.0000,0.001000
GY0_3951_3952,1,1,100.0000,0.001000
XU0_4090_4270,1,1,3.250774,0.004183
XU0_4130_4070,1,1,2.312593,0.004072
XU0_4091_4270,1,1,6.708971,0.001981
XU2_4270_4650,1,1,31.15021,1.210251
XU2_4070_4330,1,1,48.74573,0.080380
XU2_4330_4480,1,1,48.74573,0.027307
XU2_4480_4650,1,1,31.15021,1.210251
XU3_4650_0001,1,1,31.15021,1.210251
YP1_6570_6680,1,1,6.559065,0.030468
YP3_6470_6690,1,1,3.967219,0.217688
YP2_6390_6330,1,1,46.97025,3.018140
YP1_6680_6670,1,1,3.967219,0.217688
YP3_6690_6720,1,1,3.967219,0.217688
YP3_6330_6700,1,1,8.607459,1.180414
YP3_6700_6670,1,1,3.967219,0.217688
YP3_6670_6720,1,1,3.967219,0.217688
YP4_6720_6750,1,1,3.967219,0.217688
YP4_6750_0001,1,1,5.000000,2.000000
JA1_7600_7570,1,1,0.104935,0.001000
JA2_7410_7470,1,1,15.16558,0.016775
JA2_7570_7480,1,1,15.16558,0.016775
JA1_7640_7280,1,1,15.16558,0.016775
JA2_7550_7280,1,1,4.796056,0.898984
JA4_7280_7340,1,1,15.16558,0.016775
JA4_7340_7470,1,1,15.16558,0.016775
JA4_7470_7480,1,1,15.16558,0.016775
JA5_7480_0001,1,1,15.16558,0.016775
RU2_5220_5640,1,1,5.928422,40.46220
RU2_5940_6200,1,1,1.169071,25.00000
RU2_5500_5610,1,1,3.829952,1.848640
RU2_5810_5610,1,1,3.829952,1.848640
RU2_6090_6220,1,1,6.467337,2.777122
RU3_5610_5640,1,1,5.928422,40.46220
RU4_5640_6030,1,1,72.81042,0.960480
RU2_6200_6170,1,1,1.103650,0.008981
RU2_6220_6170,1,1,3.497783,0.017213
RU3_6170_6040,1,1,1.009986,0.005846
RU4_6040_6030,1,1,72.81042,0.960480
RU5_6030_0001,1,1,72.81042,0.960480
SU1_1630_1610,1,1,1.863311,0.085542
SU2_1550_1620,1,1,1.443077,0.066625
SU2_1200_1310,1,1,0.890022,0.043745
SU1_1480_1500,1,1,3.791104,0.122865
SU2_1210_1310,1,1,0.890022,0.027530
SU2_0670_0810,1,1,100.0000,50.00000
SU2_1290_1500,1,1,1.443077,0.045743
SU3_1310_1280,1,1,2.321773,0.122865
SU3_1280_1590,1,1,2.321773,0.122865
SU3_1500_1420,1,1,2.321773,0.122865
SU2_1020_0980,1,1,2.955305,1.686204
SU3_0810_0970,1,1,100.0000,50.00000
SU1_0660_0710,1,1,3.738242,0.044499
SU2_0990_0950,1,1,3.374485,1.078153
SU3_0970_1120,1,1,100.0000,50.00000
SU2_0780_0710,1,1,3.738242,0.044499
SU2_0760_0960,1,1,24.65014,2.313555
SU2_0700_0860,1,1,28.02129,2.741456
SU3_0710_0910,1,1,3.738242,0.044499
SU3_0910_1010,1,1,18.99254,13.15151
SU1_0940_0900,1,1,6.404209,0.001000
SU2_0800_0850,1,1,1.843692,0.056365
SU2_0890_0900,1,1,6.404209,0.001000
SU2_0680_0610,1,1,12.08089,0.355764
SU2_0450_0720,1,1,9.265880,0.253469
SU2_0900_0870,1,1,6.404209,0.001000
SU3_0870_0730,1,1,19.07349,5.130444
SU3_0370_0490,1,1,3.927886,50.00000
SU2_0470_0590,1,1,9.265880,0.371564
SU2_0440_0550,1,1,9.265880,0.462939
SU2_0640_0630,1,1,12.08089,0.353929
SU3_0490_0530,1,1,20.38028,1.000726
SU1_0330_0560,1,1,1.853176,0.670363
SU1_0390_0560,1,1,1.853176,0.670363
SU1_0820_0740,1,1,5.921857,2.505314
