LSEG,SWX,IWX,SED,AGX
H42119,4,23,135,138
N42119,2,9,69,119
N42127,1,5,34,103
H42131,4,23,136,109
N42131,2,6,44,101
N42133,1,5,38,140
N51001,1,2,13,102
H51003,4,22,132,102
N51003,2,8,63,102
N51005,2,12,90,102
N51007,2,8,62,102
H51009,4,21,131,102
N51009,2,9,65,102
N51011,2,12,88,102
N51013,1,3,17,102
H51015,4,22,132,102
L51015,1,3,21,102
N51015,2,11,80,102
N51017,2,11,78,102
N51019,1,5,38,102
H51023,4,21,131,102
L51023,2,6,43,102
N51023,2,9,68,102
N51029,2,11,82,102
N51031,2,8,63,102
N51033,2,8,61,102
N51036,2,7,50,102
N51041,1,5,34,102
N51043,2,6,41,102
H51045,4,22,133,102
N51045,3,13,96,102
N51047,2,7,49,102
N51049,2,9,68,102
N51053,2,8,63,102
N51057,2,8,56,102
N51059,1,5,37,102
N51061,2,7,53,102
N51065,2,8,57,102
N51069,2,9,69,102
N51071,2,11,78,102
N51073,2,6,41,102
N51075,1,6,41,102
H51079,4,22,132,102
L51079,2,6,45,102
N51079,2,11,78,102
N51085,2,7,51,102
N51087,1,4,29,102
L51091,2,9,70,102
N51091,3,15,106,102
N51093,1,5,35,102
N51095,1,4,26,102
N51097,2,11,79,102
N51099,2,8,56,102
N51101,2,7,50,102
N51103,2,6,44,102
N51107,1,5,35,102
N51109,1,6,40,102
H51113,4,22,132,102
N51113,2,9,65,102
N51115,1,4,25,102
N51119,2,7,52,102
N51121,2,10,71,102
H51125,4,22,131,102
N51125,2,10,72,102
N51127,2,6,44,102
N51131,1,2,13,102
N51133,1,6,40,102
N51135,2,10,72,102
N51137,2,8,59,102
H51139,4,22,132,102
N51139,2,7,52,102
N51145,2,9,66,102
N51147,2,8,61,102
N51149,2,8,59,102
N51153,1,5,33,102
H51157,4,22,133,102
L51157,2,8,60,102
N51157,2,9,69,102
N51159,2,8,62,102
N51161,2,12,86,102
L51163,3,15,105,102
N51163,2,11,81,102
H51165,4,22,131,102
N51165,2,8,62,102
N51171,2,9,65,102
N51177,1,5,35,102
N51179,2,7,53,102
N51181,2,8,63,102
N51187,2,6,47,102
N51193,2,6,44,102
N51199,1,4,28,102
N51510,1,2,13,102
N51530,1,5,32,102
N51540,1,3,17,102
N51550,1,2,13,102
N51570,1,2,13,102
N51580,1,3,19,102
N51600,1,4,23,102
