LandSegs,SNH4,INH4,DNH4,BNH4,SNO3,INO3,BNO3,SLON,ILON,DLON,BLON,SRON,IRON,DRON,BRON,SPO4,IPO4,DPO4,BPO4
A24037,0.15131,0.23544,0.00698,0.09163,0.03458,1.26701,0.72817,0.05273,0.01008,0.0003,0.05707,0.10292,0.02082,0.4001,0.52346,0.13502,0.42751,0.14002,0.01681
A24009,0.03551,0.30278,0.02166,0.10494,0.01918,1.58736,1.78461,0.0184,0.01155,0.02901,0.06388,0.01912,0.01572,0.55334,0.58693,0.01829,0.23537,0.35188,0.01681
F24009,0.03547,0.2922,0.02314,0.10535,0.01856,1.56501,1.80995,0.01877,0.01066,0.02955,0.06422,0.02213,0.01501,0.55102,0.58743,0.01832,0.22784,0.35868,0.01681
F24037,0.30132,0.16745,0.00609,0.08787,0.07716,1.15606,0.40976,0.09717,0.01599,0.00016,0.05433,0.17559,0.02589,0.32236,0.5237,0.22778,0.41497,0.06634,0.0168
A24033,0.02799,0.31513,0.01589,0.10491,0.00601,1.95223,3.00007,0.04239,0.01677,0.00282,0.08064,0.02958,0.01187,0.56646,0.61013,0.03117,0.24641,0.34596,0.01464
F24033,0.05157,0.33827,0.01655,0.10319,0.01135,1.84934,1.71503,0.04892,0.01726,0.00033,0.0638,0.04769,0.01534,0.54473,0.60774,0.05237,0.32734,0.33881,0.01486
A24003,0.10066,0.2864,0.00736,0.09324,0.02481,1.4915,1.09293,0.04532,0.01918,0.00021,0.05634,0.05841,0.02821,0.51235,0.60031,0.0464,0.33867,0.12482,0.00139
F24003,0.09324,0.28877,0.00703,0.09345,0.02324,1.50405,1.07905,0.04374,0.02019,0.00018,0.05648,0.06159,0.02964,0.50773,0.60023,0.04815,0.34746,0.12327,0.00139
A24027,0.07287,0.36463,0.00561,0.10396,0.01722,1.76369,2.96695,0.00718,0.0048,0.0399,0.07654,0.03189,0.01964,0.55096,0.60422,0.04615,0.22756,0.16375,0.00754
F24027,0.04096,0.39573,0.00537,0.08377,0.01221,1.85876,3.23373,0.00539,0.00353,0.04557,0.0741,0.02682,0.0163,0.56006,0.60315,0.03777,0.18466,0.16529,0.00614
A24031,0.04438,0.38188,0.00718,0.08971,0.01133,1.56733,2.59687,0.00882,0.00306,0.0415,0.06643,0.02697,0.01268,0.51771,0.55829,0.03455,0.1803,0.23394,0.01094
F24031,0.03664,0.2662,0.00692,0.08295,0.01043,1.02067,2.29688,0.00777,0.00201,0.04501,0.05755,0.02479,0.00833,0.52466,0.55654,0.03157,0.10789,0.23096,0.00223
