LandSegs,SNH4,INH4,DNH4,BNH4,SNO3,INO3,BNO3,SLON,ILON,DLON,BLON,SRON,IRON,DRON,BRON,SPO4,IPO4,DPO4,BPO4
A24037,0.52129,1.28691,0.02935,0.72146,0.11283,8.48754,15.553,0.00018,0.13462,0.04402,0.23642,0.00929,0.1546,1.82087,2.0962,0.30605,0.67027,0.90604,0.02241
A24009,0.13307,1.22441,0.08793,0.75319,0.04994,7.184,15.3748,0.00036,0.03163,0.19286,0.23515,0.00187,0.08004,2.20082,2.39776,0.09421,1.18596,1.35515,0.02243
F24009,0.15395,1.16856,0.0967,0.75461,0.06802,7.03129,15.3434,0.00037,0.0288,0.1957,0.23491,0.00184,0.08683,2.17547,2.39745,0.09391,1.15133,1.38513,0.02243
F24037,1.14316,0.79419,0.02764,0.69598,0.18156,9.3316,6.16616,0.00125,0.16026,0.03891,0.20019,0.02346,0.16483,1.82731,2.11306,0.43275,1.34874,0.10399,0.0224
A24033,0.20787,1.0644,0.06922,0.67014,0.05312,6.55449,14.2441,4e-05,0.10167,0.10909,0.20493,0.00232,0.08021,2.06444,2.20095,0.16147,0.83081,1.56383,0.01952
F24033,0.38245,1.41303,0.07474,0.63956,0.09069,9.05491,15.0309,0.00018,0.07441,0.12077,0.21763,0.00236,0.15253,1.96188,2.16831,0.27905,1.22481,0.88215,0.01971
A24003,0.41336,1.88751,0.03108,0.7849,0.13761,11.0906,18.4897,0.00087,0.11471,0.10999,0.27153,0.00606,0.21781,2.08804,2.46733,0.27974,2.46709,0.04683,0.00176
F24003,0.39201,1.92834,0.02973,0.7879,0.13015,11.1688,18.5645,0.001,0.11696,0.10927,0.27276,0.00603,0.23557,2.06964,2.46605,0.27314,2.50442,0.03947,0.00176
A24027,0.17915,1.56195,0.02047,0.76642,0.04507,8.78182,17.4149,6e-05,0.18361,0.04549,0.23633,0.00357,0.17031,2.06103,2.53533,0.15817,1.69196,0.0878,0.00999
F24027,0.10097,1.33209,0.01993,0.77568,0.03021,7.27961,17.3699,3e-05,0.18774,0.04258,0.23464,0.00375,0.11751,2.1237,2.52263,0.20847,1.23113,0.62458,0.00811
A24031,0.11683,1.21467,0.02908,0.64187,0.03108,6.84251,14.6361,2e-05,0.17513,0.04088,0.20976,0.00467,0.06589,2.11946,2.18674,0.21018,1.28354,1.12334,0.01445
F24031,0.09517,0.73573,0.02601,0.65801,0.02876,4.32235,14.6761,1e-05,0.17723,0.03807,0.20761,0.00425,0.04672,2.12429,2.16876,0.21118,0.81924,1.60223,0.00277
A51073,0.54526,2.74578,0.01486,0.52605,0.06034,17.8895,16.1545,0.00036,0.15958,0.00827,0.19754,0.01493,0.14561,1.76376,1.91632,0.17822,1.97548,0.01153,0.02197
A51115,0.34357,2.07758,0.00472,0.56664,0.04158,12.9741,15.0587,0.00031,0.1705,0.00427,0.18674,0.00627,0.66993,1.20768,1.9219,0.08953,1.90563,0.00436,0.02197
A51119,0.51479,2.38644,0.02107,0.56858,0.04881,14.7577,15.0116,0.00015,0.15776,0.00732,0.1984,0.02228,0.0733,1.75703,1.80294,0.43503,1.684,0.51506,0.02196
A51199,0.16097,2.65428,0.00912,0.84692,0.03157,14.2016,21.028,0.0005,0.20293,0.03479,0.27079,0.00374,0.45454,1.72471,2.30081,0.08914,2.85916,0.01022,0.02267
F51199,0.17412,2.63467,0.00937,0.84709,0.033,14.1634,20.9937,0.0005,0.20249,0.03493,0.27068,0.00374,0.45859,1.72145,2.30098,0.09588,2.85178,0.01054,0.02267
A51095,0.32005,3.75103,0.02075,0.66825,0.04064,20.7804,18.1109,0.00017,0.19544,0.01313,0.24462,0.00793,0.13159,1.90271,2.21883,0.09084,2.08114,0.01421,0.0226
A51097,0.2953,1.3544,0.01083,0.5178,0.05384,8.13487,11.4977,1e-05,0.16517,0.01375,0.16669,0.00246,0.20583,1.71396,1.79971,0.54337,2.81851,0.08031,0.01471
A51127,0.40652,1.80595,0.01593,0.58889,0.05066,11.4734,17.1171,0.00044,0.15374,0.03341,0.21905,0.00709,0.16683,1.7884,2.03014,0.25111,1.72051,0.02789,0.02227
A51830,0.20264,2.47225,0.0064,0.60049,0.02693,13.3568,10.8651,0.01049,0.053,0.10649,0.16649,0.00645,0.34028,1.3121,1.70402,0.06076,1.70275,0.00526,0.02281
F51095,0.31244,3.77479,0.02013,0.66825,0.03915,20.8643,18.1138,0.00017,0.19563,0.01299,0.24457,0.008,0.12975,1.90518,2.21903,0.08817,2.08351,0.01408,0.02263
F51830,0.22851,2.42516,0.00662,0.60112,0.03267,13.2467,10.8514,0.01064,0.05207,0.10706,0.1665,0.00647,0.34221,1.30965,1.70376,0.06868,1.69487,0.00535,0.0229
A51650,0.14751,1.8541,0.00616,0.54683,0.02061,9.9739,11.1977,0.00872,0.05751,0.09361,0.15952,0.0089,0.26072,1.31301,1.60877,0.04714,1.47872,0.00544,0.02262
A51735,0.11057,2.14423,0.00568,0.57556,0.01568,11.2709,10.6772,0.00723,0.03829,0.11184,0.1559,0.0069,0.18341,1.35167,1.57359,0.03219,1.453,0.00522,0.0226
F51650,0.12621,1.88013,0.00589,0.5467,0.01891,9.99785,11.1327,0.00828,0.05835,0.09319,0.15947,0.0086,0.25999,1.31525,1.60885,0.04008,1.48568,0.00534,0.02259
F51735,0.2097,2.01177,0.00681,0.58042,0.02234,11.1045,10.6484,0.00768,0.03553,0.11414,0.15579,0.00711,0.18439,1.34655,1.5725,0.06223,1.42278,0.00561,0.02264
A51101,0.36978,1.2185,0.01605,0.51926,0.0575,7.71661,13.6079,5e-05,0.13528,0.01782,0.18863,0.00439,0.09887,1.78705,1.79824,0.36194,1.4887,0.22324,0.01445
A51033,0.61535,1.49998,0.02714,0.68266,0.10329,10.2878,17.2753,0.00011,0.17806,0.02979,0.23924,0.00355,0.20961,1.71292,2.19787,0.32031,1.19681,0.232,0.01303
F51033,0.88826,1.37072,0.0262,0.72714,0.11661,11.4836,18.3047,0.0006,0.18158,0.04301,0.24942,0.00504,0.23402,1.69802,2.18783,0.37329,1.66144,0.03569,0.01154
A51177,1.86266,0.57561,0.04241,0.58465,0.36216,13.0449,14.2287,0.00067,0.16777,0.01906,0.20993,0.00724,0.2091,1.7003,2.03163,0.54863,1.51051,0.02436,0.01228
F51177,1.88745,0.56934,0.04241,0.58567,0.37127,13.1239,14.2367,0.00068,0.1676,0.01921,0.2103,0.00736,0.20889,1.70098,2.03244,0.5546,1.50357,0.02422,0.01221
F51101,1.23315,1.00102,0.02043,0.53822,0.1534,11.7244,13.5712,0.00079,0.13834,0.02018,0.17793,0.01266,0.11523,1.81154,1.93302,0.56793,1.83573,0.01819,0.01444
A51109,0.71556,1.62454,0.0271,0.67842,0.11756,12.8668,13.3973,0.00038,0.18711,0.0148,0.19621,0.00209,0.58022,1.44639,2.14452,0.22267,1.98049,0.01954,0.00527
A51003,0.27488,3.20133,0.00291,0.47933,0.05409,17.8271,18.3523,0.00014,0.1953,0.00302,0.21499,0.00152,1.45343,0.73231,2.14451,0.08564,2.21269,0.00266,0.0098
