 STATION JL7_7100_7030 for TOTN
   upstream segment JL7_7100_7030 JL7_7100_7030 TOTN
   upstream segment JL3_7020_7100 JL7_7100_7030 TOTN
   upstream segment JL6_6740_7100 JL7_7100_7030 TOTN
   upstream segment JL4_6710_6740 JL7_7100_7030 TOTN
   upstream segment JL6_6970_6740 JL7_7100_7030 TOTN
   upstream segment JL4_6520_6710 JL7_7100_7030 TOTN
   upstream segment JL2_7120_6970 JL7_7100_7030 TOTN
   upstream segment JL6_6960_6970 JL7_7100_7030 TOTN
   upstream segment JL2_6240_6520 JL7_7100_7030 TOTN
   upstream segment JL2_6441_6520 JL7_7100_7030 TOTN
   upstream segment JL2_7110_7120 JL7_7100_7030 TOTN
   upstream segment JL1_6910_6960 JL7_7100_7030 TOTN
   upstream segment JL6_6990_6960 JL7_7100_7030 TOTN
   upstream segment JL2_6440_6441 JL7_7100_7030 TOTN
   upstream segment JL1_6760_6910 JL7_7100_7030 TOTN
   upstream segment JL6_6890_6990 JL7_7100_7030 TOTN
   upstream segment JL1_6560_6440 JL7_7100_7030 TOTN
   upstream segment JL2_6850_6890 JL7_7100_7030 TOTN
   upstream segment JL6_7150_6890 JL7_7100_7030 TOTN
   upstream segment JL1_6770_6850 JL7_7100_7030 TOTN
   upstream segment JL3_7090_7150 JL7_7100_7030 TOTN
   upstream segment JL6_7320_7150 JL7_7100_7030 TOTN
   upstream segment JL2_7350_7090 JL7_7100_7030 TOTN
   upstream segment JL2_7250_7090 JL7_7100_7030 TOTN
   upstream segment JL6_7430_7320 JL7_7100_7030 TOTN
   upstream segment JL2_7240_7350 JL7_7100_7030 TOTN
   upstream segment JL1_7190_7250 JL7_7100_7030 TOTN
   upstream segment JL1_7200_7250 JL7_7100_7030 TOTN
   upstream segment JL1_7530_7430 JL7_7100_7030 TOTN
   upstream segment JL6_7440_7430 JL7_7100_7030 TOTN
   upstream segment JL1_7080_7190 JL7_7100_7030 TOTN
   upstream segment JL1_6940_7200 JL7_7100_7030 TOTN
   upstream segment JL6_7160_7440 JL7_7100_7030 TOTN
   upstream segment JU4_7380_7160 JL7_7100_7030 TOTN
   upstream segment JU5_7420_7160 JL7_7100_7030 TOTN
   upstream segment JU2_7180_7380 JL7_7100_7030 TOTN
   upstream segment JU4_7260_7380 JL7_7100_7030 TOTN
   upstream segment JU5_7500_7420 JL7_7100_7030 TOTN
   upstream segment JU1_6880_7260 JL7_7100_7030 TOTN
   upstream segment JU3_6790_7260 JL7_7100_7030 TOTN
   upstream segment JU1_7560_7500 JL7_7100_7030 TOTN
   upstream segment JU5_7510_7500 JL7_7100_7030 TOTN
   upstream segment JU3_6640_6790 JL7_7100_7030 TOTN
   upstream segment JU1_7750_7560 JL7_7100_7030 TOTN
   upstream segment JU3_7400_7510 JL7_7100_7030 TOTN
   upstream segment JU5_7300_7510 JL7_7100_7030 TOTN
   upstream segment JU2_6410_6640 JL7_7100_7030 TOTN
   upstream segment JU3_7490_7400 JL7_7100_7030 TOTN
   upstream segment JU3_6650_7300 JL7_7100_7030 TOTN
   upstream segment JU4_7000_7300 JL7_7100_7030 TOTN
   upstream segment JU1_7630_7490 JL7_7100_7030 TOTN
   upstream segment JU1_7690_7490 JL7_7100_7030 TOTN
   upstream segment JU1_6300_6650 JL7_7100_7030 TOTN
   upstream segment JU1_6340_6650 JL7_7100_7030 TOTN
   upstream segment JU2_7360_7000 JL7_7100_7030 TOTN
   upstream segment JU4_7330_7000 JL7_7100_7030 TOTN
   upstream segment JU2_7450_7360 JL7_7100_7030 TOTN
   upstream segment JU2_7140_7330 JL7_7100_7030 TOTN
   upstream segment JU3_6950_7330 JL7_7100_7030 TOTN
   upstream segment JU3_6900_6950 JL7_7100_7030 TOTN
   upstream segment JU3_6380_6900 JL7_7100_7030 TOTN
   upstream segment JU2_6810_6900 JL7_7100_7030 TOTN
   upstream segment JU2_6600_6810 JL7_7100_7030 TOTN
   upstream segment JU1_6590_6600 JL7_7100_7030 TOTN
   upstream segment JU1_6290_6590 JL7_7100_7030 TOTN
 STATION JL7_7100_7030 for TOTP
   upstream segment JL7_7100_7030 JL7_7100_7030 TOTP
   upstream segment JL3_7020_7100 JL7_7100_7030 TOTP
   upstream segment JL6_6740_7100 JL7_7100_7030 TOTP
   upstream segment JL4_6710_6740 JL7_7100_7030 TOTP
   upstream segment JL6_6970_6740 JL7_7100_7030 TOTP
   upstream segment JL4_6520_6710 JL7_7100_7030 TOTP
   upstream segment JL2_7120_6970 JL7_7100_7030 TOTP
   upstream segment JL6_6960_6970 JL7_7100_7030 TOTP
   upstream segment JL2_6240_6520 JL7_7100_7030 TOTP
   upstream segment JL2_6441_6520 JL7_7100_7030 TOTP
   upstream segment JL2_7110_7120 JL7_7100_7030 TOTP
   upstream segment JL1_6910_6960 JL7_7100_7030 TOTP
   upstream segment JL6_6990_6960 JL7_7100_7030 TOTP
   upstream segment JL2_6440_6441 JL7_7100_7030 TOTP
   upstream segment JL1_6760_6910 JL7_7100_7030 TOTP
   upstream segment JL6_6890_6990 JL7_7100_7030 TOTP
   upstream segment JL1_6560_6440 JL7_7100_7030 TOTP
   upstream segment JL2_6850_6890 JL7_7100_7030 TOTP
   upstream segment JL6_7150_6890 JL7_7100_7030 TOTP
   upstream segment JL1_6770_6850 JL7_7100_7030 TOTP
   upstream segment JL3_7090_7150 JL7_7100_7030 TOTP
   upstream segment JL6_7320_7150 JL7_7100_7030 TOTP
   upstream segment JL2_7350_7090 JL7_7100_7030 TOTP
   upstream segment JL2_7250_7090 JL7_7100_7030 TOTP
   upstream segment JL6_7430_7320 JL7_7100_7030 TOTP
   upstream segment JL2_7240_7350 JL7_7100_7030 TOTP
   upstream segment JL1_7190_7250 JL7_7100_7030 TOTP
   upstream segment JL1_7200_7250 JL7_7100_7030 TOTP
   upstream segment JL1_7530_7430 JL7_7100_7030 TOTP
   upstream segment JL6_7440_7430 JL7_7100_7030 TOTP
   upstream segment JL1_7080_7190 JL7_7100_7030 TOTP
   upstream segment JL1_6940_7200 JL7_7100_7030 TOTP
   upstream segment JL6_7160_7440 JL7_7100_7030 TOTP
   upstream segment JU4_7380_7160 JL7_7100_7030 TOTP
   upstream segment JU5_7420_7160 JL7_7100_7030 TOTP
   upstream segment JU2_7180_7380 JL7_7100_7030 TOTP
   upstream segment JU4_7260_7380 JL7_7100_7030 TOTP
   upstream segment JU5_7500_7420 JL7_7100_7030 TOTP
   upstream segment JU1_6880_7260 JL7_7100_7030 TOTP
   upstream segment JU3_6790_7260 JL7_7100_7030 TOTP
   upstream segment JU1_7560_7500 JL7_7100_7030 TOTP
   upstream segment JU5_7510_7500 JL7_7100_7030 TOTP
   upstream segment JU3_6640_6790 JL7_7100_7030 TOTP
   upstream segment JU1_7750_7560 JL7_7100_7030 TOTP
   upstream segment JU3_7400_7510 JL7_7100_7030 TOTP
   upstream segment JU5_7300_7510 JL7_7100_7030 TOTP
   upstream segment JU2_6410_6640 JL7_7100_7030 TOTP
   upstream segment JU3_7490_7400 JL7_7100_7030 TOTP
   upstream segment JU3_6650_7300 JL7_7100_7030 TOTP
   upstream segment JU4_7000_7300 JL7_7100_7030 TOTP
   upstream segment JU1_7630_7490 JL7_7100_7030 TOTP
   upstream segment JU1_7690_7490 JL7_7100_7030 TOTP
   upstream segment JU1_6300_6650 JL7_7100_7030 TOTP
   upstream segment JU1_6340_6650 JL7_7100_7030 TOTP
   upstream segment JU2_7360_7000 JL7_7100_7030 TOTP
   upstream segment JU4_7330_7000 JL7_7100_7030 TOTP
   upstream segment JU2_7450_7360 JL7_7100_7030 TOTP
   upstream segment JU2_7140_7330 JL7_7100_7030 TOTP
   upstream segment JU3_6950_7330 JL7_7100_7030 TOTP
   upstream segment JU3_6900_6950 JL7_7100_7030 TOTP
   upstream segment JU3_6380_6900 JL7_7100_7030 TOTP
   upstream segment JU2_6810_6900 JL7_7100_7030 TOTP
   upstream segment JU2_6600_6810 JL7_7100_7030 TOTP
   upstream segment JU1_6590_6600 JL7_7100_7030 TOTP
   upstream segment JU1_6290_6590 JL7_7100_7030 TOTP
