 seg ,TOTN,TOTP
PL0_5000_0001, -999.0000,    0.9719
PL0_4510_0001,    1.2843,    1.1358
JB3_6820_7053,    0.6524,    0.8553
EM2_3980_0001,    0.6420,    0.7979
EL1_5430_0001,    0.9847,    0.9409
EL0_4560_4562,    0.9950,    0.9848
EL0_4561_4562,    0.9950,    0.9848
EL0_4562_0001, -999.0000, -999.0000
WU0_3021_3020,    1.0186,    0.9268
WU2_3020_3320,    1.0186,    0.9268
WM0_3881_3880,    0.9883,    0.9137
WM1_3882_3880,    0.9883,    0.9137
WM3_3880_4060,    0.9883,    0.9137
WM1_3660_3910,    0.9082,    0.9420
PL1_5370_5470, -999.0000,    1.0080
PL1_5230_0001,    1.0255,    1.0102
PL1_4540_0001, -999.0000,    0.9158
PL1_4460_4780,    0.9953,    0.9760
PL0_5540_5490, -999.0000,    0.9786
PL0_5070_0001,    0.8330,    1.0483
PL0_5010_5130,    0.9762,    0.9961
XL1_4690_0001,    0.8439,    1.6307
XL0_5320_0001,    0.4738,    1.0102
