 STATION SJ6_2130_0003 for TOTN
   upstream segment SJ2_2150_2130 SJ6_2130_0003 TOTN
   upstream segment SJ6_1970_2130 SJ6_2130_0003 TOTN
   upstream segment SJ3_2170_1970 SJ6_2130_0003 TOTN
   upstream segment SJ6_1930_1970 SJ6_2130_0003 TOTN
   upstream segment SJ2_2110_2170 SJ6_2130_0003 TOTN
   upstream segment SJ3_2160_2170 SJ6_2130_0003 TOTN
   upstream segment SJ2_1900_1930 SJ6_2130_0003 TOTN
   upstream segment SJ5_2120_1930 SJ6_2130_0003 TOTN
   upstream segment SJ3_2450_2120 SJ6_2130_0003 TOTN
   upstream segment SJ5_2320_2120 SJ6_2130_0003 TOTN
   upstream segment SJ1_2280_2450 SJ6_2130_0003 TOTN
   upstream segment SJ2_2500_2450 SJ6_2130_0003 TOTN
   upstream segment SJ5_2210_2320 SJ6_2130_0003 TOTN
   upstream segment SJ2_2580_2500 SJ6_2130_0003 TOTN
   upstream segment SJ4_2010_2210 SJ6_2130_0003 TOTN
   upstream segment SJ4_2340_2210 SJ6_2130_0003 TOTN
   upstream segment SJ4_2060_2010 SJ6_2130_0003 TOTN
   upstream segment SJ4_2360_2340 SJ6_2130_0003 TOTN
   upstream segment SJ3_1980_2060 SJ6_2130_0003 TOTN
   upstream segment SJ3_2230_2060 SJ6_2130_0003 TOTN
   upstream segment SJ4_2660_2360 SJ6_2130_0003 TOTN
   upstream segment SJ3_2040_1980 SJ6_2130_0003 TOTN
   upstream segment SJ3_2250_2230 SJ6_2130_0003 TOTN
   upstream segment SJ2_2570_2660 SJ6_2130_0003 TOTN
   upstream segment SJ4_2740_2660 SJ6_2130_0003 TOTN
   upstream segment SJ2_2900_2740 SJ6_2130_0003 TOTN
   upstream segment SJ2_2820_2740 SJ6_2130_0003 TOTN
   upstream segment SJ2_2530_2820 SJ6_2130_0003 TOTN
 STATION SJ6_2130_0003 for TOTP
   upstream segment SJ2_2150_2130 SJ6_2130_0003 TOTP
   upstream segment SJ6_1970_2130 SJ6_2130_0003 TOTP
   upstream segment SJ3_2170_1970 SJ6_2130_0003 TOTP
   upstream segment SJ6_1930_1970 SJ6_2130_0003 TOTP
   upstream segment SJ2_2110_2170 SJ6_2130_0003 TOTP
   upstream segment SJ3_2160_2170 SJ6_2130_0003 TOTP
   upstream segment SJ2_1900_1930 SJ6_2130_0003 TOTP
   upstream segment SJ5_2120_1930 SJ6_2130_0003 TOTP
   upstream segment SJ3_2450_2120 SJ6_2130_0003 TOTP
   upstream segment SJ5_2320_2120 SJ6_2130_0003 TOTP
   upstream segment SJ1_2280_2450 SJ6_2130_0003 TOTP
   upstream segment SJ2_2500_2450 SJ6_2130_0003 TOTP
   upstream segment SJ5_2210_2320 SJ6_2130_0003 TOTP
   upstream segment SJ2_2580_2500 SJ6_2130_0003 TOTP
   upstream segment SJ4_2010_2210 SJ6_2130_0003 TOTP
   upstream segment SJ4_2340_2210 SJ6_2130_0003 TOTP
   upstream segment SJ4_2060_2010 SJ6_2130_0003 TOTP
   upstream segment SJ4_2360_2340 SJ6_2130_0003 TOTP
   upstream segment SJ3_1980_2060 SJ6_2130_0003 TOTP
   upstream segment SJ3_2230_2060 SJ6_2130_0003 TOTP
   upstream segment SJ4_2660_2360 SJ6_2130_0003 TOTP
   upstream segment SJ3_2040_1980 SJ6_2130_0003 TOTP
   upstream segment SJ3_2250_2230 SJ6_2130_0003 TOTP
   upstream segment SJ2_2570_2660 SJ6_2130_0003 TOTP
   upstream segment SJ4_2740_2660 SJ6_2130_0003 TOTP
   upstream segment SJ2_2900_2740 SJ6_2130_0003 TOTP
   upstream segment SJ2_2820_2740 SJ6_2130_0003 TOTP
   upstream segment SJ2_2530_2820 SJ6_2130_0003 TOTP
