 LoadType,Station,OutBias,EOS,PS,Sep,Atdep,Inload,InBias,Inload2, etc
TOTN,PS5_5240_5200, 0.9040E+00, 0.1282E+08, 0.1593E+07, 0.4578E+06, 0.3253E+05,
TOTN,PU6_4020_3870, 0.7840E+00, 0.1314E+08, 0.2856E+07, 0.2982E+06, 0.7051E+05,
TOTN,PM7_4820_0001, 0.7062E+00, 0.5073E+08, 0.4306E+07, 0.2168E+07, 0.2313E+06, 0.5761E+07, 0.9040E+00, 0.7375E+07, 0.7840E+00,
TOTP,PS5_5240_5200, 0.1092E+01, 0.8324E+06, 0.3285E+06, 0.0000E+00, 0.1366E+04,
TOTP,PU6_4020_3870, 0.8963E+00, 0.6117E+06, 0.4518E+06, 0.0000E+00, 0.3422E+04,
TOTP,PM7_4820_0001, 0.6743E+00, 0.2744E+07, 0.7553E+06, 0.0000E+00, 0.9768E+04, 0.6007E+06, 0.1092E+01, 0.4669E+06, 0.8963E+00,
