TABLE->,PHOS-STOR1#1,PHOS-STOR1#1,PHOS-STOR1#1,PHOS-STOR1#1,PHOS-STOR1#2,PHOS-STOR1#2,PHOS-STOR1#2,PHOS-STOR1#2,PHOS-STOR1#3,PHOS-STOR1#3,PHOS-STOR1#3,PHOS-STOR1#3,PHOS-STOR1#4,PHOS-STOR1#4,PHOS-STOR1#4,PHOS-STOR1#4
VARS->,ORGP,P4AD,P4SU,PLTP,ORGP,P4AD,P4SU,PLTP,ORGP,P4AD,P4SU,PLTP,ORGP,P4AD,P4SU,PLTP
A10001,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A10003,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A10005,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A11001,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24001,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24003,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24005,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24009,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24011,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24013,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24015,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24017,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24019,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24021,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24023,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24025,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24027,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24029,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24031,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24033,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24035,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24037,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24039,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24041,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24043,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24045,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24047,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24510,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
