TABLE->,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1
VARS->,QSD,VPFW,QSO,VQO,SQO,POTFW,ACQOP,SQOLIM,WSQOP
A10001,1,0,1,0,0.247633,0.075610,0.024764,0.247633,0.500000
A10003,1,0,1,0,0.277269,0.075347,0.027726,0.277269,0.500000
A10005,1,0,1,0,0.293267,0.075821,0.029326,0.293267,0.500000
A11001,1,0,1,0,0.295643,0.077263,0.029564,0.295643,0.500000
A24001,1,0,1,0,0.162634,0.075165,0.016263,0.162634,0.500000
A24003,1,0,1,0,0.281829,0.075977,0.028183,0.281829,0.500000
A24005,1,0,1,0,0.272520,0.076222,0.027252,0.272520,0.500000
A24009,1,0,1,0,0.239668,0.075152,0.023966,0.239668,0.500000
A24011,1,0,1,0,0.282156,0.074639,0.028215,0.282156,0.500000
A24013,1,0,1,0,0.254831,0.075833,0.025483,0.254831,0.500000
A24015,1,0,1,0,0.265256,0.075767,0.026526,0.265256,0.500000
A24017,1,0,1,0,0.220213,0.075586,0.022021,0.220213,0.500000
A24019,1,0,1,0,0.219095,0.074100,0.021910,0.219095,0.500000
A24021,1,0,1,0,0.239154,0.076541,0.023915,0.239154,0.500000
A24023,1,0,1,0,0.267699,0.071294,0.026770,0.267699,0.500000
A24025,1,0,1,0,0.270892,0.075515,0.027089,0.270892,0.500000
A24027,1,0,1,0,0.273184,0.076878,0.027318,0.273184,0.500000
A24029,1,0,1,0,0.266524,0.075420,0.026652,0.266524,0.500000
A24031,1,0,1,0,0.255580,0.077197,0.025558,0.255580,0.500000
A24033,1,0,1,0,0.252846,0.076667,0.025285,0.252846,0.500000
A24035,1,0,1,0,0.256168,0.075346,0.025616,0.256168,0.500000
A24037,1,0,1,0,0.210623,0.075002,0.021062,0.210623,0.500000
A24039,1,0,1,0,0.264208,0.075741,0.026421,0.264208,0.500000
A24041,1,0,1,0,0.241643,0.074449,0.024165,0.241643,0.500000
A24043,1,0,1,0,0.211677,0.076319,0.021168,0.211677,0.500000
A24045,1,0,1,0,0.279271,0.076723,0.027927,0.279271,0.500000
A24047,1,0,1,0,0.240843,0.076128,0.024084,0.240843,0.500000
A24510,1,0,1,0,0.327404,0.076762,0.032741,0.327404,0.500000
A36003,1,0,1,0,0.178227,0.074841,0.017823,0.178227,0.500000
A36007,1,0,1,0,0.184586,0.072799,0.018459,0.184586,0.500000
A36015,1,0,1,0,0.165270,0.075166,0.016527,0.165270,0.500000
A36017,1,0,1,0,0.196888,0.071522,0.019689,0.196888,0.500000
A36023,1,0,1,0,0.213802,0.071977,0.021380,0.213802,0.500000
A36025,1,0,1,0,0.179564,0.072140,0.017956,0.179564,0.500000
A36043,1,0,1,0,0.191470,0.070024,0.019147,0.191470,0.500000
A36051,1,0,1,0,0.179141,0.073876,0.017914,0.179141,0.500000
A36053,1,0,1,0,0.224929,0.072082,0.022493,0.224929,0.500000
