TABLE->,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3
VARS->,QSD,VPFW,QSO,VQO,SQO,POTFW,ACQOP,SQOLIM,WSQOP
A10001,1,0,1,0,0.021151,0.133270,0.002115,0.021151,0.500000
A10003,1,0,1,0,0.024808,0.140703,0.002481,0.024808,0.500000
A10005,1,0,1,0,0.026358,0.143975,0.002635,0.026358,0.500000
A11001,1,0,1,0,0.025607,0.143329,0.002561,0.025607,0.500000
A24001,1,0,1,0,0.011754,0.106958,0.001175,0.011754,0.500000
A24003,1,0,1,0,0.024922,0.141337,0.002492,0.024922,0.500000
A24005,1,0,1,0,0.023691,0.139024,0.002369,0.023691,0.500000
A24009,1,0,1,0,0.020501,0.131591,0.002050,0.020501,0.500000
A24011,1,0,1,0,0.025458,0.141530,0.002546,0.025458,0.500000
A24013,1,0,1,0,0.021724,0.134587,0.002172,0.021724,0.500000
A24015,1,0,1,0,0.023154,0.137610,0.002315,0.023154,0.500000
A24017,1,0,1,0,0.017958,0.125564,0.001796,0.017958,0.500000
A24019,1,0,1,0,0.018597,0.126651,0.001860,0.018597,0.500000
A24021,1,0,1,0,0.019637,0.130126,0.001964,0.019637,0.500000
A24023,1,0,1,0,0.025420,0.139730,0.002542,0.025420,0.500000
A24025,1,0,1,0,0.024009,0.139201,0.002401,0.024009,0.500000
A24027,1,0,1,0,0.023509,0.138936,0.002351,0.023509,0.500000
A24029,1,0,1,0,0.023505,0.138186,0.002351,0.023505,0.500000
A24031,1,0,1,0,0.021197,0.134055,0.002119,0.021197,0.500000
A24033,1,0,1,0,0.021149,0.133699,0.002115,0.021149,0.500000
A24035,1,0,1,0,0.022274,0.135557,0.002227,0.022274,0.500000
A24037,1,0,1,0,0.017187,0.123335,0.001719,0.017187,0.500000
A24039,1,0,1,0,0.023452,0.138331,0.002345,0.023452,0.500000
A24041,1,0,1,0,0.021044,0.132488,0.002105,0.021044,0.500000
A24043,1,0,1,0,0.016591,0.122253,0.001659,0.016591,0.500000
A24045,1,0,1,0,0.024711,0.141430,0.002471,0.024711,0.500000
A24047,1,0,1,0,0.020584,0.132439,0.002058,0.020584,0.500000
A24510,1,0,1,0,0.029726,0.150468,0.002972,0.029726,0.500000
A36003,1,0,1,0,0.013409,0.112434,0.001341,0.013409,0.500000
A36007,1,0,1,0,0.014702,0.115813,0.001470,0.014702,0.500000
A36015,1,0,1,0,0.011897,0.107366,0.001190,0.011897,0.500000
A36017,1,0,1,0,0.016584,0.120221,0.001658,0.016584,0.500000
A36023,1,0,1,0,0.018402,0.125066,0.001840,0.018402,0.500000
A36025,1,0,1,0,0.014373,0.114337,0.001437,0.014373,0.500000
A36043,1,0,1,0,0.016612,0.119535,0.001661,0.016612,0.500000
A36051,1,0,1,0,0.013638,0.112729,0.001364,0.013638,0.500000
A36053,1,0,1,0,0.019729,0.128223,0.001973,0.019729,0.500000
A36065,1,0,1,0,0.018606,0.125013,0.001861,0.018606,0.500000
A36067,1,0,1,0,0.021267,0.131726,0.002127,0.021267,0.500000
A36069,1,0,1,0,0.013701,0.113219,0.001370,0.013701,0.500000
A36077,1,0,1,0,0.014736,0.115027,0.001473,0.014736,0.500000
A36095,1,0,1,0,0.014946,0.115675,0.001495,0.014946,0.500000
A36097,1,0,1,0,0.012984,0.110741,0.001298,0.012984,0.500000
A36101,1,0,1,0,0.009981,0.100520,0.000998,0.009981,0.500000
A36107,1,0,1,0,0.013148,0.111376,0.001315,0.013148,0.500000
A36109,1,0,1,0,0.016316,0.120051,0.001631,0.016316,0.500000
A36123,1,0,1,0,0.012460,0.109104,0.001246,0.012460,0.500000
A37001,1,0,1,0,0.005,0.75,0.045,0.45,0.64
A37005,1,0,1,0,0.005,0.75,0.045,0.45,0.64
A37009,1,0,1,0,0.005,0.75,0.045,0.45,0.64
A37033,1,0,1,0,0.005,0.75,0.045,0.45,0.64
A37067,1,0,1,0,0.005,0.75,0.045,0.45,0.64
A37077,1,0,1,0,0.005,0.75,0.045,0.45,0.64
A37081,1,0,1,0,0.005,0.75,0.045,0.45,0.64
A37131,1,0,1,0,0.005,0.75,0.045,0.45,0.64
A37135,1,0,1,0,0.005,0.75,0.045,0.45,0.64
A37145,1,0,1,0,0.005,0.75,0.045,0.45,0.64
A37157,1,0,1,0,0.005,0.75,0.045,0.45,0.64
A37169,1,0,1,0,0.005,0.75,0.045,0.45,0.64
A37171,1,0,1,0,0.005,0.75,0.045,0.45,0.64
A37181,1,0,1,0,0.005,0.75,0.045,0.45,0.64
A37185,1,0,1,0,0.005,0.75,0.045,0.45,0.64
A37189,1,0,1,0,0.005,0.75,0.045,0.45,0.64
A42001,1,0,1,0,0.022545,0.137096,0.002255,0.022545,0.500000
A42009,1,0,1,0,0.014931,0.116975,0.001493,0.014931,0.500000
A42011,1,0,1,0,0.026325,0.142625,0.002633,0.026325,0.500000
A42013,1,0,1,0,0.017974,0.124737,0.001797,0.017974,0.500000
A42015,1,0,1,0,0.013856,0.113817,0.001386,0.013856,0.500000
A42021,1,0,1,0,0.023969,0.137486,0.002397,0.023969,0.500000
A42023,1,0,1,0,0.020010,0.128593,0.002001,0.020010,0.500000
A42025,1,0,1,0,0.031574,0.150086,0.003157,0.031574,0.500000
A42027,1,0,1,0,0.017352,0.123277,0.001735,0.017352,0.500000
A42029,1,0,1,0,0.028654,0.147389,0.002865,0.028654,0.500000
A42033,1,0,1,0,0.018456,0.125280,0.001845,0.018456,0.500000
A42035,1,0,1,0,0.018761,0.125864,0.001876,0.018761,0.500000
A42037,1,0,1,0,0.019672,0.128425,0.001967,0.019672,0.500000
A42041,1,0,1,0,0.019652,0.130040,0.001965,0.019652,0.500000
A42043,1,0,1,0,0.020624,0.131349,0.002062,0.020624,0.500000
A42047,1,0,1,0,0.020645,0.129962,0.002064,0.020645,0.500000
A42055,1,0,1,0,0.021014,0.133044,0.002101,0.021014,0.500000
A42057,1,0,1,0,0.015496,0.118663,0.001550,0.015496,0.500000
A42061,1,0,1,0,0.015121,0.117278,0.001512,0.015121,0.500000
A42063,1,0,1,0,0.021456,0.131754,0.002146,0.021456,0.500000
A42065,1,0,1,0,0.019418,0.127213,0.001942,0.019418,0.500000
A42067,1,0,1,0,0.017710,0.124441,0.001771,0.017710,0.500000
A42069,1,0,1,0,0.019990,0.129391,0.001999,0.019990,0.500000
A42071,1,0,1,0,0.030466,0.151591,0.003046,0.030466,0.500000
A42075,1,0,1,0,0.028373,0.147378,0.002837,0.028373,0.500000
A42079,1,0,1,0,0.020426,0.130385,0.002042,0.020426,0.500000
A42081,1,0,1,0,0.016634,0.121025,0.001663,0.016634,0.500000
A42083,1,0,1,0,0.023738,0.136381,0.002374,0.023738,0.500000
A42087,1,0,1,0,0.017936,0.124510,0.001794,0.017936,0.500000
A42093,1,0,1,0,0.017599,0.123949,0.001760,0.017599,0.500000
A42097,1,0,1,0,0.019307,0.128291,0.001931,0.019307,0.500000
A42099,1,0,1,0,0.019615,0.129205,0.001961,0.019615,0.500000
A42105,1,0,1,0,0.017818,0.124256,0.001782,0.017818,0.500000
A42107,1,0,1,0,0.023820,0.137566,0.002382,0.023820,0.500000
A42109,1,0,1,0,0.019805,0.129604,0.001980,0.019805,0.500000
A42111,1,0,1,0,0.019688,0.129434,0.001969,0.019688,0.500000
A42113,1,0,1,0,0.020960,0.131593,0.002096,0.020960,0.500000
A42115,1,0,1,0,0.020298,0.129933,0.002030,0.020298,0.500000
