riverseg,landseg,for,hvf,hwm,nhi,lwm,nlo,hom,nho,hyw,nhy,hyo,alf,nal,pas,npa,trp,urs,afo,cfo,rpd,rid,rcn,rex,npd,nid,nex,cpd,cid,ccn,cex,wat
DE0_3110_0000,A10003,7822.044,79.011,5409.152,0,5382.742,0,582.323,0,830.544,0,475.402,365.478,0,627.272,0,0,37.972,8.05,0,0,0,377.75,0,5324,1288,83.398,0,0,0,0,977.866
EL0_4561_4562,A10005,8393.646,84.784,2357.828,0,5810.265,0,769.221,0,225.552,0,252.542,29.086,0,173.963,0,0,6.179,8.215,0,0,0,7.555,0,903,290,14.678,0,0,0,0,5.115
EL0_5400_0001,A10005,439.613,4.441,131.224,0,323.369,0,42.811,0,12.553,0,14.055,1.619,0,9.682,0,0,0.344,0.457,0,126,65.1,3.777,0,135,49.1,0,0,0,0,0,0
EL0_4591_0000,A24019,16681.434,168.499,3558.39,0,10558.499,0,1603.536,0,666.007,0,1561.12,23.426,0,724.906,0,0.666,7.207,4.995,0,217,86.6,193.457,0,1297,453,70.499,0,0,0,0,735.012
EL2_4630_0000,A24019,307.169,3.103,176.761,0,524.486,0,79.655,0,33.083,0,77.548,1.164,0,36.009,0,0.033,0.358,0.248,0,0.12,0.02,13.772,0,91.7,23.8,0,0,0,0,0,0
EM0_4880_0000,A24019,1887.716,19.068,1409.097,0,4181.089,0,634.989,0,263.734,0,618.192,9.276,0,286.624,0,0.697,2.854,1.978,0,4.34,1.02,164.602,0,1241,245,50.039,0,0,0,0,86.956
GY0_4530_4532,A24023,13736.977,138.757,1133.542,0,179.88,0,106.044,0,1953.6,0,401.71,1590.427,0,2722.05,0,0,7.273,27.629,0,0,0,82.88,0,2918,904,0,0,0,0,0,311.129
WU0_3254_0000,A24025,1107.056,11.182,1.482,0,4.158,0,0.251,0,1.329,0,0.521,1.038,0,2.664,0,0,0.018,0.029,0,856,308,177.979,0,0.42,0.2,0,0,0,0,0,2.002
WU0_3540_0000,A24025,1221.403,12.337,20.265,0,56.868,0,3.426,0,18.182,0,7.118,14.191,0,36.426,0,0,0.25,0.4,0,1364,456,145.943,44.479,33.4,12.6,0,0,0,0,0,20.905
EU0_3573_0000,A24029,3036.024,30.667,1043.34,0,2954.644,0,84.414,0,265.642,0,231.548,106.771,0,142.207,0,0.932,47.35,1.555,0,1.52,0.4,2.124,0,493,120,0,0,0,0,0,80.951
EU0_4123_0000,A24029,9.637,0.097,0.392,0,1.109,0,0.032,0,0.1,0,0.087,0.04,0,0.053,0,0,0.018,0.001,0,0,0,0,0,0,0,0,0,0,0,0,36.25
PL1_4460_4780,A24031,7089.911,71.615,181.238,0,1002.648,0,71.927,0,395.923,0,137.172,57.312,0,414.635,0,0.711,14.186,3.581,0,20562,7050,559.388,0,440,161,0,0,0,0,0,117.646
EU2_3520_0001,A24035,5376.297,54.306,894.84,0,4893.185,0,224.653,0,139.132,0,311.558,52.76,0,166.631,0,1.092,11.974,2.415,0,6.16,2.12,12.077,0,482,159,0,0,0,0,0,20.683
EL0_5892_0000,A24039,6908.936,69.787,54.287,0,133.127,0,2.992,0,6.994,0,15.264,3.156,0,10.169,0,0.009,0.202,0.272,0,45.7,28.6,3.552,0,47.5,20.6,0,0,0,0,0,478.592
