POT_IJ,BAY_IJ,BAY_ICM
108010,1038,1763
108011,2038,1764
107011,2039,1831
100012,2041,1954
118003,3010,22
117003,3011,37
117003,3012,52
117003,3013,69
117003,3014,86
117003,3015,103
117003,3016,120
117003,3017,138
107015,3038,1765
101013,3041,1955
119003,4010,23
119003,4011,38
118003,4012,53
117003,4013,70
117003,4014,87
117003,4015,104
117003,4016,121
117003,4017,139
107017,4038,1766
105018,4039,1832
102015,4040,1898
100014,4041,1956
98014,4042,2006
97017,4043,2048
94016,4044,2091
92017,4045,2133
91017,4046,2170
89017,4047,2209
88017,4048,2251
87017,4049,2282
58021,4084,2899
123003,5010,24
121003,5011,39
119003,5012,54
119003,5013,71
118003,5014,88
117003,5015,105
117003,5016,122
117003,5017,140
118012,5028,690
116013,5029,762
116014,5030,842
114014,5031,928
114015,5032,1031
113016,5033,1163
113018,5034,1283
112020,5035,1412
107019,5038,1767
105019,5039,1833
102017,5040,1899
100016,5041,1957
99017,5042,2007
97018,5043,2049
95019,5044,2092
93019,5045,2134
91019,5046,2171
89018,5047,2210
88018,5048,2252
87018,5049,2283
85017,5050,2316
84017,5051,2341
84018,5052,2369
83018,5053,2394
82019,5054,2418
82020,5055,2441
81021,5056,2463
81020,5057,2485
81018,5058,2505
80018,5059,2525
80017,5060,2549
79019,5061,2570
78019,5062,2588
59021,5084,2900
54023,5089,2930
132003,6010,25
129003,6011,40
123003,6012,55
123003,6013,72
121003,6014,89
120003,6015,106
119003,6016,123
117003,6017,141
117003,6018,159
117003,6019,174
117003,6020,201
118003,6021,240
118003,6022,297
118005,6023,346
121007,6024,391
123009,6025,452
124011,6026,522
122011,6027,609
121013,6028,691
119014,6029,763
117015,6030,843
116016,6031,929
115017,6032,1032
115018,6033,1164
114019,6034,1284
112021,6035,1413
110022,6036,1540
108022,6037,1662
107022,6038,1768
105021,6039,1834
103020,6040,1900
101019,6041,1958
99019,6042,2008
98022,6043,2050
95021,6044,2093
93021,6045,2135
91021,6046,2172
89019,6047,2211
88019,6048,2253
87020,6049,2284
86021,6050,2317
85019,6051,2342
84019,6052,2370
83020,6053,2395
83023,6054,2419
82022,6055,2442
81023,6056,2464
81020,6057,2486
81018,6058,2506
80019,6059,2526
80018,6060,2550
79020,6061,2571
78021,6062,2589
78020,6063,2608
77021,6064,2625
77019,6065,2644
76021,6066,2660
75021,6067,2676
74020,6068,2694
72020,6069,2714
71021,6070,2728
69022,6071,2741
68024,6072,2754
67023,6073,2770
66021,6074,2783
66023,6075,2796
65021,6076,2810
64023,6077,2823
64021,6078,2837
62022,6079,2847
61021,6080,2862
61021,6081,2872
60020,6082,2882
60020,6083,2892
59021,6084,2901
58023,6085,2908
57023,6086,2915
56023,6087,2920
55023,6088,2925
54023,6089,2931
53024,6090,2937
52024,6091,2942
51024,6092,2947
50024,6093,2950
49024,6094,2953
48024,6095,2956
47024,6096,2959
144003,7010,26
142003,7011,41
140003,7012,56
138003,7013,73
135003,7014,90
131003,7015,107
127003,7016,124
123003,7017,142
123003,7018,160
122003,7019,175
123003,7020,202
123003,7021,241
124004,7022,298
127006,7023,347
129008,7024,392
130011,7025,453
128012,7026,523
127013,7027,610
125014,7028,692
122015,7029,764
121017,7030,844
119018,7031,930
118019,7032,1033
117020,7033,1165
115021,7034,1285
113023,7035,1414
110024,7036,1541
108025,7037,1663
106025,7038,1769
104025,7039,1835
103023,7040,1901
101023,7041,1959
100024,7042,2009
98025,7043,2051
