HSPF,CH3D,,,,,,,,,,,,,
SEGMENT,1,2,3,4,5,6,7,8,9,10,11,12,,
140,062083,,,,,,,,,,,,,
760,037095,,,,,,,,,,,,,
770,014017,,,,,,,,,,,,,
370,066058,066059,064063,062061,059061,,,,,,,,,
400,016021,014017,014019,014023,016023,016027,016031,014037,012041,016045,016052,016049,,
450,062082,,,,,,,,,,,,,
475,048080,045080,,,,,,,,,,,,
480,041095,039098,,,,,,,,,,,,
490,037095,026088,034085,034083,037078,,,,,,,,,
510,030085,030083,030081,030079,,,,,,,,,,
800,069078,072065,,,,,,,,,,,,
810,057052,057055,057059,057062,050062,048062,041062,,,,,,,
835,019054,019058,019060,019061,,,,,,,,,,
845,009051,006054,007058,009057,008057,,,,,,,,,
850,051081,051079,,,,,,,,,,,,
860,043082,044087,,,,,,,,,,,,
870,035081,,,,,,,,,,,,,
880,027083,027082,027079,025079,023078,019079,017076,014076,003074,009076,,,,
