X_UTM,Y_UTM,Long,Lat,LYR_19_TXT,STATE,WQ_SEGS,CBSEG_92,Shape_Area,y,x,Distance
331325.6321,4309690.155,-76.94565559,38.91992425,6444,DC,DCATF,ANATF_DC,3186073.078,4304669.452,326534.8905,321.2641802
330375.1971,4308449.915,-76.95630611,38.90857118,6445,DC,DCATF,ANATF_DC,3186073.078,4304669.452,326534.8905,0
329876.297,4307111.486,-76.961725,38.89642046,6446,DC,DCATF,ANATF_DC,3186073.078,4304669.452,326534.8905,0
329372.7566,4306098.93,-76.96727656,38.8872035,6447,DC,DCATF,ANATF_DC,3186073.078,4304669.452,326534.8905,98.12022344
328399.014,4305216.177,-76.97827672,38.87906364,6448,DC,DCATF,ANATF_DC,3186073.078,4304669.452,326534.8905,137.9514712
327071.6417,4304712.892,-76.99344387,38.87427083,6449,DC,DCATF,ANATF_DC,3186073.078,4304669.452,326534.8905,449.2181182
325929.9606,4304117.938,-77.00644649,38.86868731,6450,DC,DCATF,ANATF_DC,3186073.078,4304669.452,326534.8905,0
325128.9768,4303165.065,-77.01543146,38.8599468,6451,DC,DCATF,ANATF_DC,3186073.078,4304669.452,326534.8905,0
324552.7376,4302335.513,-77.02185729,38.85236113,6289,DC,DCATF,ANATF_DC,3186073.078,4304669.452,326534.8905,0
324712.8866,4302242.224,-77.01998903,38.8515529,6452,DC,DCATF,ANATF_DC,3186073.078,4304669.452,326534.8905,0
331926.9335,4311194.62,-76.93909227,38.93358928,6443,MD,MDATF,ANATF_MD,220444.298,4310741.282,331876.86,0
287804.0932,4124218.019,-77.3922288,37.24035589,790,VA,APPTF,APPTF,8011611.097,4130836.122,293316.9197,0
289244.9522,4125668.923,-77.37640834,37.2537501,791,VA,APPTF,APPTF,8011611.097,4130836.122,293316.9197,38.12125901
289924.4655,4127716.889,-77.36933041,37.27234819,792,VA,APPTF,APPTF,8011611.097,4130836.122,293316.9197,0
290427.3891,4129971.152,-77.364298,37.29276414,793,VA,APPTF,APPTF,8011611.097,4130836.122,293316.9197,18.48980082
291489.2443,4131995.958,-77.35289627,37.31123889,794,VA,APPTF,APPTF,8011611.097,4130836.122,293316.9197,1.608460814
293340.5544,4132084.938,-77.33204619,37.31245372,795,VA,APPTF,APPTF,8011611.097,4130836.122,293316.9197,0.886687099
295879.9688,4131814.875,-77.30333723,37.31058248,796,VA,APPTF,APPTF,8011611.097,4130836.122,293316.9197,0
298236.1286,4132000.351,-77.27681947,37.31276743,797,VA,APPTF,APPTF,8011611.097,4130836.122,293316.9197,156.2425011
372152.6313,4350994.013,-76.48266341,39.29889544,10362,MD,BACOH,BACOH,16175353.83,4347746.594,374928.3321,0
374347.5922,4349465.408,-76.45693047,39.28544715,10363,MD,BACOH,BACOH,16175353.83,4347746.594,374928.3321,0
375420.1777,4347313.398,-76.44409953,39.26621665,10364,MD,BACOH,BACOH,16175353.83,4347746.594,374928.3321,0
376364.5824,4345172.369,-76.43276274,39.2470652,10365,MD,BACOH,BACOH,16175353.83,4347746.594,374928.3321,0
378114.9047,4344519.104,-76.4123667,39.24142817,10366,MD,BACOH,BACOH,16175353.83,4347746.594,374928.3321,0
423966.7201,4210214.78,-75.86643018,38.03646174,5402,MD,BIGMH,BIGMH,29064783.91,4212508.358,427857.209,5.600283982
425704.4674,4209274.778,-75.84653235,38.02813484,5146,MD,BIGMH,BIGMH,29064783.91,4212508.358,427857.209,0
425256.7156,4210289.786,-75.85173949,38.03724509,5273,MD,BIGMH,BIGMH,29064783.91,4212508.358,427857.209,0
424818.3351,4211299.746,-75.85684062,38.04631039,5403,MD,BIGMH,BIGMH,29064783.91,4212508.358,427857.209,0
424398.3628,4212308.118,-75.86173305,38.05536265,5533,MD,BIGMH,BIGMH,29064783.91,4212508.358,427857.209,0
424002.7854,4213319.77,-75.86634899,38.0644463,5669,MD,BIGMH,BIGMH,29064783.91,4212508.358,427857.209,0
426573.115,4210389.816,-75.83675016,38.03825427,5147,MD,BIGMH,BIGMH,29064783.91,4212508.358,427857.209,0
426129.0165,4211394.809,-75.84191418,38.047275,5274,MD,BIGMH,BIGMH,29064783.91,4212508.358,427857.209,0
425697.5183,4212398.13,-75.84693569,38.05628144,5404,MD,BIGMH,BIGMH,29064783.91,4212508.358,427857.209,0
425286.1868,4213403.141,-75.85172875,38.06530453,5534,MD,BIGMH,BIGMH,29064783.91,4212508.358,427857.209,0
427473.2588,4211494.867,-75.82660535,38.04828543,5148,MD,BIGMH,BIGMH,29064783.91,4212508.358,427857.209,0
427032.0269,4212493.184,-75.8317355,38.05724667,5275,MD,BIGMH,BIGMH,29064783.91,4212508.358,427857.209,0
426605.9776,4213493.193,-75.83669402,38.06622412,5405,MD,BIGMH,BIGMH,29064783.91,4212508.358,427857.209,0
428855.3412,4211584.897,-75.81086383,38.04920648,5031,MD,BIGMH,BIGMH,29064783.91,4212508.358,427857.209,0
428406.0081,4212573.232,-75.81608347,38.05807782,5149,MD,BIGMH,BIGMH,29064783.91,4212508.358,427857.209,0
427966.5756,4213564.891,-75.82119187,38.06697965,5276,MD,BIGMH,BIGMH,29064783.91,4212508.358,427857.209,0
429970.9575,4212796.354,-75.79826843,38.06021107,5032,MD,BIGMH,BIGMH,29064783.91,4212508.358,427857.209,0
431292.0809,4214285.937,-75.78335325,38.07373642,5033,MD,BIGMH,BIGMH,29064783.91,4212508.358,427857.209,0
433215.1495,4216029,-75.76159269,38.08958894,5034,MD,BIGMH,BIGMH,29064783.91,4212508.358,427857.209,0
419822.9966,4370128.331,-75.93220335,39.47701512,10952,MD,BOHOH,BOHOH,11927635.79,4369387.809,423674.4216,0
420667.5358,4370801.764,-75.9224654,39.48316067,10972,MD,BOHOH,BOHOH,11927635.79,4369387.809,423674.4216,0
420783.457,4369864.826,-75.92100631,39.47473007,10953,MD,BOHOH,BOHOH,11927635.79,4369387.809,423674.4216,0
421588.7184,4370693.241,-75.91174254,39.48226741,10973,MD,BOHOH,BOHOH,11927635.79,4369387.809,423674.4216,0
421511.7049,4369528.775,-75.91250083,39.47176917,10954,MD,BOHOH,BOHOH,11927635.79,4369387.809,423674.4216,0
422498.3736,4370573.895,-75.90115271,39.48127462,10974,MD,BOHOH,BOHOH,11927635.79,4369387.809,423674.4216,0
423181.5663,4370173.051,-75.89316358,39.47772449,10975,MD,BOHOH,BOHOH,11927635.79,4369387.809,423674.4216,0
423734.178,4369664.29,-75.88668092,39.47318997,10976,MD,BOHOH,BOHOH,11927635.79,4369387.809,423674.4216,0
424224.2784,4369274.321,-75.88093924,39.46971982,10977,MD,BOHOH,BOHOH,11927635.79,4369387.809,423674.4216,0
424851.2072,4368742.233,-75.87359166,39.46498091,10978,MD,BOHOH,BOHOH,11927635.79,4369387.809,423674.4216,0
425813.0581,4367574.981,-75.86228172,39.45454786,10955,MD,BOHOH,BOHOH,11927635.79,4369387.809,423674.4216,0
