cell,segment,RIM
7964,PAXTF,PAX
5671,POTTF,POT
3392,RPPTF,RAPP
2100,MPNTF,MAT
1796,PMKTF,PAM
1071,JMSTF2,JAM
790,APPTF,APP
8938,CHOTF,CHO
10878,CB1TF,SUS
10907,CB1TF,SUS
10850,CB1TF,SUS
