riverseg,landseg,landuse,nutrient,loadingrate
DE0_2600_0000,A10003,afo,sedm,7.5999999
DE0_2640_0000,A10003,afo,sedm,7.5999999
DE0_3260_0000,A10003,cfo,sedm,0
DE0_4850_0000,A10005,afo,sedm,0.28999999
DE0_5410_0000,A24047,cfo,sedm,0
DE0_5650_0000,A24047,afo,sedm,2.5699999
EL0_4560_4562,A10005,afo,sedm,0.28999999
EL0_4592_0000,A24019,cfo,sedm,0
EL0_4593_0000,A24019,afo,sedm,0.75999999
EL0_4594_0000,A24045,afo,sedm,1.52
EL0_4633_0000,A24045,afo,sedm,1.52
EL0_5280_0000,A24019,afo,sedm,0.75999999
EL0_5280_0000,F24019,cfo,sedm,0
EL0_5282_0000,A24019,cfo,sedm,0
EL0_5762_0000,A24039,afo,sedm,0.28999999
EL0_5890_0000,A51001,afo,sedm,0
EL0_5894_0000,F24039,cfo,sedm,0
EL0_6010_0000,A24039,cfo,sedm,0
EL0_6480_0000,A51001,cfo,sedm,0
EL0_6550_0000,A51001,cfo,sedm,0
EL0_7060_0000,A51131,afo,sedm,22.23
EL2_4634_0000,A10005,cfo,sedm,0
EL2_5110_5270,A24047,afo,sedm,2.5699999
EL3_5970_0000,A24047,afo,sedm,2.5699999
EL3_5971_0000,A24047,afo,sedm,2.5699999
EL3_5972_0000,A24047,afo,sedm,2.5699999
EM0_4324_0000,A24011,afo,sedm,0.38
EM0_4327_0000,A24011,cfo,sedm,0
EM0_4871_0000,A24041,cfo,sedm,0
EM0_4875_0000,A24041,cfo,sedm,0
EM0_4876_0000,A24041,cfo,sedm,0
EM0_4881_0000,A24019,afo,sedm,0.75999999
EM0_4882_0000,A24041,cfo,sedm,0
EM0_4887_0000,A24019,afo,sedm,0.75999999
EM0_4891_0000,A24019,afo,sedm,0.75999999
EM0_5263_0000,A24019,afo,sedm,0.75999999
EM2_4101_0000,A24011,afo,sedm,0.38
EM3_4320_0000,A24011,cfo,sedm,0
EU0_2940_0000,A24015,afo,sedm,4.6599998
EU0_3010_0000,F24015,afo,sedm,4.6599998
EU0_3200_0000,A24015,afo,sedm,4.6599998
EU0_3571_0000,A24029,afo,sedm,12.07
EU0_4123_0000,A24029,cfo,sedm,0
EU0_4474_0000,A24041,afo,sedm,0.28999999
EU0_4475_0000,A24041,cfo,sedm,0
EU0_4610_0000,A24035,cfo,sedm,0
EU0_4700_0000,A24041,afo,sedm,0.28999999
EU1_2984_0000,A24015,cfo,sedm,0
GY0_3951_3952,A54077,cfo,sedm,0
GY0_4531_4532,A24023,afo,sedm,5.4200001
JA2_7290_0001,A51041,cfo,sedm,0
JA4_7470_7480,A51041,cfo,sedm,0
JA5_7460_0000,A51149,cfo,sedm,0
JA5_7480_0001,A51007,cfo,sedm,0
JA5_7480_0001,A51135,cfo,sedm,0
JA5_7520_0000,A51053,afo,sedm,12.26
JB0_7071_0000,F51760,cfo,sedm,0
JB0_7072_0000,A51181,cfo,sedm,0
JB0_7271_0000,A51181,cfo,sedm,0
JB0_7381_0000,A51550,cfo,sedm,0
JB0_7382_0000,A51740,afo,sedm,0
JB0_7382_0000,F51550,cfo,sedm,0
JB0_7383_0000,A51550,afo,sedm,0.19
JB0_7390_0000,A51800,afo,sedm,0.56999999
JB0_7390_0000,F51095,afo,sedm,0
JB0_7393_0000,A51710,cfo,sedm,0
JB0_7397_0000,F51740,afo,sedm,0
JB0_7580_0000,A51650,cfo,sedm,0
JB3_6820_7053,A51087,cfo,sedm,0
JB3_6820_7053,A51760,afo,sedm,0
JL1_6760_6910,A51003,cfo,sedm,0
JL1_6760_6910,A51065,afo,sedm,6.27
JL1_7080_7190,B51009,afo,sedm,32.779999
JL1_7080_7190,B51125,cfo,sedm,0
JL2_7110_7120,A51029,cfo,sedm,0
JL2_7240_7350,A51125,cfo,sedm,0
JL4_6520_6710,A51065,cfo,sedm,0
JL4_6520_6710,F51003,afo,sedm,0
JL4_6710_6740,A51109,afo,sedm,2.5699999
JL6_6740_7100,A51109,cfo,sedm,0
JL6_6890_6990,A51029,afo,sedm,18.719999
JL6_6970_6740,A51065,cfo,sedm,0
JL6_7160_7440,A51019,cfo,sedm,0
JL6_7440_7430,A51031,afo,sedm,10.26
JL7_6800_7070,A51145,afo,sedm,3.04
JL7_6800_7070,A51760,afo,sedm,0
JL7_7030_6800,A51075,afo,sedm,4.75
JL7_7030_6800,A51075,cfo,sedm,0
JL7_7070_0001,F51760,afo,sedm,0
JU1_6290_6590,A51017,cfo,sedm,0
JU1_6290_6590,F51017,afo,sedm,14.35
JU1_6300_6650,A51091,cfo,sedm,0
JU1_6300_6650,B51091,cfo,sedm,0
JU1_6590_6600,F51017,cfo,sedm,0
JU1_6880_7260,B51015,afo,sedm,35.529999
JU1_7560_7500,A51023,cfo,sedm,0
JU1_7690_7490,A51045,cfo,sedm,0
JU1_7690_7490,A51121,afo,sedm,67.169998
JU2_6410_6640,A51163,afo,sedm,94.050003
JU2_6810_6900,F51017,cfo,sedm,0
JU2_7140_7330,F51005,cfo,sedm,0
JU2_7140_7330,F54063,afo,sedm,61.18
JU2_7450_7360,A51045,afo,sedm,18.530001
JU2_7450_7360,A51045,cfo,sedm,0
JU3_6640_6790,A51163,cfo,sedm,0
JU3_6650_7300,A51163,cfo,sedm,0
JU3_6790_7260,A51163,afo,sedm,94.050003
JU3_6790_7260,A51678,afo,sedm,0
JU4_7000_7300,F51017,cfo,sedm,0
JU4_7260_7380,F51530,cfo,sedm,0
JU4_7330_7000,A51580,afo,sedm,0
JU5_7300_7510,A51163,cfo,sedm,0
JU5_7300_7510,F51023,afo,sedm,65.080002
JU5_7420_7160,F51023,cfo,sedm,0
JU5_7510_7500,A51023,cfo,sedm,0
MN0_8040_0000,A51550,cfo,sedm,0
MN0_8300_0001,A51800,afo,sedm,0.56999999
MN1_7590_7860,A51181,afo,sedm,2.47
MN1_7620_7710,A51149,afo,sedm,6.0799999
MN1_7620_7710,A51149,cfo,sedm,0
MN1_7620_7710,A51730,afo,sedm,0
MN1_7990_8100,A51111,cfo,sedm,0
MN1_8240_0000,A51800,cfo,sedm,0
MN2_8250_8190,A51037,cfo,sedm,0
MN2_8250_8190,A51111,afo,sedm,12.54
MN3_7540_7680,A51053,afo,sedm,12.26
MN3_7770_7930,A51111,afo,sedm,12.54
DE0_2610_0000,A10003,cfo,sedm,0
DE0_2850_0000,A10003,cfo,sedm,0
DE0_2870_0000,A10003,afo,sedm,7.5999999
DE0_2960_0000,A10003,afo,sedm,7.5999999
DE0_3791_0001,A10001,afo,sedm,1.9
DE0_4570_0000,A10005,afo,sedm,0.28999999
EL0_4593_0000,A24019,cfo,sedm,0
EL0_4597_0000,A24045,afo,sedm,1.52
EL0_4631_0000,A10005,afo,sedm,0.28999999
EL0_4632_0000,A10005,afo,sedm,0.28999999
EL0_5040_0000,A24045,cfo,sedm,0
EL0_5281_0000,A24019,afo,sedm,0.75999999
EL0_5283_0000,A24019,afo,sedm,0.75999999
EL0_5283_0000,F24019,afo,sedm,0
