riverseg,landseg,landuse,nutrient,loadingrate
DE0_2690_0000,A10003,afo,sedm,7.5999999
DE0_2800_0000,A10003,cfo,sedm,7.5999999
DE0_3840_0000,A10001,cfo,sedm,1.9
DE0_4141_0001,A10001,afo,sedm,1.9
DE0_4230_0000,A10005,afo,sedm,0.28999999
DE0_4680_0000,A10005,afo,sedm,0.28999999
EL0_4595_0000,A24045,cfo,sedm,1.52
EL0_4597_0000,A10005,cfo,sedm,0.28999999
EL0_5151_0000,F24019,cfo,sedm,0
EL0_5284_0000,A24019,cfo,sedm,0.75999999
EL0_5760_0000,A24045,cfo,sedm,1.52
EL0_5760_0000,F24045,cfo,sedm,0
EL0_5890_0000,F24019,afo,sedm,0
EL0_5894_0000,A24039,afo,sedm,0.28999999
EL0_6480_0000,F51001,cfo,sedm,0
EL0_6610_0000,A51001,cfo,sedm,0.38
EL0_6610_0000,A51131,afo,sedm,22.23
EL1_5150_0001,A24019,afo,sedm,0.75999999
EL1_5430_0001,A24047,cfo,sedm,2.5699999
EL2_4630_0000,A24019,afo,sedm,0.75999999
EL2_4630_0000,F10005,afo,sedm,0.28999999
EL2_4634_0000,A24019,cfo,sedm,0.75999999
EL2_5110_5270,A10005,cfo,sedm,0.28999999
EL3_5970_0000,A24039,afo,sedm,0.28999999
EL3_5971_0000,A24039,afo,sedm,0.28999999
EM0_4322_0000,A24019,afo,sedm,0.75999999
EM0_4323_0000,A24011,cfo,sedm,0.38
EM0_4870_0000,A24041,afo,sedm,0.28999999
EM0_4882_0000,A24041,cfo,sedm,0.28999999
EM0_4884_0000,A24019,cfo,sedm,0.75999999
EM0_4889_0000,A24019,afo,sedm,0.75999999
EM4_4740_0000,A24041,afo,sedm,0.28999999
EU0_2941_0000,A24015,cfo,sedm,4.6599998
EU0_3361_0000,A10003,afo,sedm,7.5999999
EU0_3570_0000,A24029,afo,sedm,12.07
EU0_3570_0000,F24029,afo,sedm,0
EU0_3725_0000,A24029,cfo,sedm,12.07
EU0_4473_0000,A24035,afo,sedm,1.52
EU0_4872_0000,F24035,cfo,sedm,0
EU1_2810_0001,A24015,afo,sedm,4.6599998
EU1_2984_0000,A24015,cfo,sedm,4.6599998
EU2_3520_0001,A10001,cfo,sedm,1.9
GY0_4530_4532,A24023,cfo,sedm,5.4200001
JA2_7410_7470,A51135,cfo,sedm,7.2199998
JA2_7550_7280,A51029,afo,sedm,18.719999
JA4_7280_7340,A51135,afo,sedm,7.2199998
JA4_7280_7340,F51145,cfo,sedm,0
JA5_7460_0000,A51041,afo,sedm,2.6600001
JA5_7460_0000,A51149,afo,sedm,6.0799999
JA5_7520_0000,F51730,cfo,sedm,0
JB0_7050_0000,A51127,cfo,sedm,22.23
JB0_7051_0001,A51095,afo,sedm,6.0799999
JB0_7071_0000,A51760,afo,sedm,0.19
