lseg,State,name ***
A51670,VA,HOPEWELL
A51678,VA,LEXINGTON
A51680,VA,LYNCHBURG
A51683,VA,MANASSAS
A51685,VA,MANASSAS PARK
A51690,VA,MARTINSVILLE
A51700,VA,NEWPORT NEWS
A51710,VA,NORFOLK
A51720,VA,NORTON
A51730,VA,PETERSBURG
A51735,VA,POQUOSON
A51740,VA,PORTSMOUTH
A51750,VA,RADFORD
A51760,VA,RICHMOND
A51770,VA,ROANOKE
A51775,VA,SALEM
A51790,VA,STAUNTON
A51800,VA,SUFFOLK
A51810,VA,VIRGINIA BEACH
A51820,VA,WAYNESBORO
A51830,VA,WILLIAMSBURG
A51840,VA,WINCHESTER
A54003,WV,BERKELEY
A54023,WV,GRANT
A54027,WV,HAMPSHIRE
A54031,WV,HARDY
A54037,WV,JEFFERSON
A54057,WV,MINERAL
A54063,WV,MONROE
A54065,WV,MORGAN
A54071,WV,PENDLETON
A54077,WV,PRESTON
A54093,WV,TUCKER
B24001,MD,ALLEGANY
B24021,MD,FREDERICK
B37005,NC,ALLEGHANY
B37009,NC,ASHE
B42001,PA,ADAMS
B42009,PA,BEDFORD
B42015,PA,BRADFORD
B42027,PA,CENTRE
B42035,PA,CLINTON
B42041,PA,CUMBERLAND
B42043,PA,DAUPHIN
B42055,PA,FRANKLIN
B42079,PA,LUZERNE
B42081,PA,LYCOMING
B42119,PA,UNION
B42131,PA,WYOMING
B51003,VA,ALBEMARLE
B51009,VA,AMHERST
B51015,VA,AUGUSTA
B51017,VA,BATH
B51019,VA,BEDFORD
B51023,VA,BOTETOURT
B51035,VA,CARROLL
B51061,VA,FAUQUIER
B51067,VA,FRANKLIN
B51071,VA,GILES
B51077,VA,GRAYSON
B51079,VA,GREENE
B51091,VA,HIGHLAND
B51105,VA,LEE
B51113,VA,MADISON
B51125,VA,NELSON
B51139,VA,PAGE
B51141,VA,PATRICK
B51157,VA,RAPPAHANNOCK
B51161,VA,ROANOKE
B51163,VA,ROCKBRIDGE
B51165,VA,ROCKINGHAM
B51167,VA,RUSSELL
B51169,VA,SCOTT
B51171,VA,SHENANDOAH
B51173,VA,SMYTH
B51185,VA,TAZEWELL
B51187,VA,WARREN
B51191,VA,WASHINGTON
B51195,VA,WISE
B51197,VA,WYTHE
B54023,WV,GRANT
B54031,WV,HARDY
B54057,WV,MINERAL
B54071,WV,PENDLETON
C42009,PA,BEDFORD
C51015,VA,AUGUSTA
C51071,VA,GILES
C51165,VA,ROCKINGHAM
F10005,DE,SUSSEX
F11001,DC,DIST OF COLUMBIA
F24001,MD,ALLEGANY
F24003,MD,ANNE ARUNDEL
F24005,MD,BALTIMORE
F24009,MD,CALVERT
F24013,MD,CARROLL
F24015,MD,CECIL
F24017,MD,CHARLES
F24019,MD,DORCHESTER
F24021,MD,FREDERICK
F24023,MD,GARRETT
