TABLE->,PHOS-CMAX,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#4,PHOS-SVALPM#4,PHOS-SVALPM#4
VARS->,CMAX,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1
A10001,50,1.000000,100.0000,1.5,20.00000,0.092880,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A10003,50,1.000000,3.080183,1.5,20.00000,8.116399,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A10005,50,1.000000,3.086822,1.5,20.00000,8.098941,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A11001,50,1.000000,100.0000,1.5,20.00000,0.229869,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24001,50,1.000000,2.531250,1.5,20.00000,9.876540,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24003,50,1.000000,34.41552,1.5,20.00000,0.726417,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24005,50,1.000000,100.0000,1.5,20.00000,0.101400,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24009,50,1.000000,46.98203,1.5,20.00000,0.532120,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24011,50,1.000000,0.912381,1.5,20.00000,27.40085,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24013,50,1.000000,59.22801,1.5,20.00000,0.422098,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24015,50,1.000000,81.41271,1.5,20.00000,0.307076,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24017,50,1.000000,14.11034,1.5,20.00000,1.771750,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24019,50,1.000000,0.549069,1.5,20.00000,45.53161,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24021,50,1.000000,34.11353,1.5,20.00000,0.732847,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24023,50,1.000000,1.392569,1.5,20.00000,17.95243,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24025,50,1.000000,57.91139,1.5,20.00000,0.431695,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24027,50,1.000000,66.21399,1.5,20.00000,0.377563,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24029,50,1.000000,21.41212,1.5,20.00000,1.167562,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24031,50,1.000000,100.0000,1.5,20.00000,0.232333,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24033,50,1.000000,52.33427,1.5,20.00000,0.477698,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24035,50,1.000000,91.65528,1.5,20.00000,0.272761,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24037,50,1.000000,29.88090,1.5,20.00000,0.836654,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24039,50,1.000000,0.110437,1.5,20.00000,100.0000,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24041,50,1.000000,2.097123,1.5,20.00000,11.92109,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24043,50,1.000000,100.0000,1.5,20.00000,0.010000,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24045,50,1.000000,0.330211,1.5,20.00000,75.70925,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24047,50,1.000000,0.392868,1.5,20.00000,63.63458,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24510,50,1.000000,62.93390,1.5,20.00000,0.397242,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A36003,50,1.000000,0.710362,1.5,20.00000,35.19330,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
