TABLE->,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1
VARS->,CSNO,RTOP,UZFG,VCS,VUZ,VNN,VIFW,VIRC,VLE,FOREST,LZSN,INFILT,LSUR,SLSUR,KVARY,AGWR,PETMAX,PETMIN,INFEXP,INFILD,DEEPFR,BASETPR,AGWETP,CEPSC,UZSN,NSUR,INTFW,IRC,LZETP,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,CEPS,SURS,UZS,IFWS,LZS,AGWS,GWVS
A10001,1,1,0,1,1,1,0,0,1,0,12.00000,0.082764,526,0.008,0.000069,0.929723,40,35,2,2,0,0,0.001000,NA,0.7,NA,1.769461,0.376162,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.272073851,0.284057454,0.277267571,0.286904805,0.300925036,0.338473559,0.353795095,0.350975424,0.328506428,0.278484479,0.262867539,0.265024673,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A10003,1,1,0,1,1,1,0,0,1,0,12.00000,0.082764,412,0.022,0.000069,0.929723,40,35,2,2,0,0,0.001000,NA,0.7,NA,1.769461,0.376162,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.251433462,0.256175874,0.247949914,0.258560819,0.312679943,0.3628135,0.380204146,0.379088284,0.348247915,0.274225452,0.253608873,0.248643808,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A10005,1,1,0,1,1,1,0,0,1,0,8.000000,0.186320,567,0.005,0.031985,0.970450,40,35,2,2,0,0,0.044067,NA,0.7,NA,1.112661,0.556466,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.672000,0.672000,0.672000,0.672000,0.672000,0.784000,1.064000,1.120000,1.120000,0.896000,0.784000,0.728000,0.243320346,0.245002433,0.236058624,0.24791295,0.315601363,0.37060446,0.391365331,0.390969546,0.35776534,0.274895898,0.250355282,0.242330883,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A11001,1,1,0,1,1,1,0,0,1,0,12.00000,0.066740,240,0.105,0.025925,0.969100,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.478643,0.300000,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.23646892,0.236782207,0.228103261,0.236119212,0.327718563,0.387272716,0.396357424,0.396283709,0.355819996,0.262146024,0.245416973,0.236284633,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24001,1,1,0,1,1,1,0,0,1,0,9.943292,0.026786,246,0.099,0.000223,0.920000,40,35,2,2,0,0,0.040222,NA,0.7,NA,2.000000,0.442744,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.835237,0.835237,0.835237,0.835237,0.835237,0.974443,1.322458,1.392061,1.392061,1.113649,0.974443,0.904840,0.240205342,0.242485054,0.234535854,0.239739164,0.330795033,0.388307626,0.389185757,0.388649355,0.346862526,0.255735523,0.245911558,0.238864335,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24003,1,1,0,1,1,1,0,0,1,0,11.67009,0.076693,327,0.048,0.618069,0.974627,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.000000,0.500371,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.980288,0.980288,0.980288,0.980288,0.980288,1.143669,1.552122,1.633813,1.633813,1.307051,1.143669,1.061978,0.263915072,0.273586514,0.266623202,0.274432931,0.309938931,0.352660679,0.362227684,0.359952051,0.331791975,0.270774452,0.258216301,0.258225989,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24005,1,1,0,1,1,1,0,0,1,0,12.00000,0.122472,280,0.073,0.044173,0.954003,40,35,2,2,0,0,0.001000,NA,0.7,NA,1.992666,0.339377,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.260705223,0.260705223,0.252094434,0.244018995,0.248550498,0.355437495,0.38260559,0.38164466,0.378867848,0.282289268,0.264719355,0.256621272,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24009,1,1,0,1,1,1,0,0,1,0,12.00000,0.091332,319,0.051,0.100E-05,0.920000,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.900844,0.331653,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.246327062,0.248645707,0.239611367,0.253005911,0.310568517,0.363587352,0.389043765,0.388498201,0.358324502,0.280098224,0.252457799,0.244963153,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24011,1,1,0,1,1,1,0,0,1,0,8.537221,0.081625,549,0.006,0.000108,0.956000,40,35,2,2,0,0,0.050000,NA,0.7,NA,2.000000,0.411953,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.717127,0.717127,0.717127,0.717127,0.717127,0.836648,1.135450,1.195211,1.195211,0.956169,0.836648,0.776887,0.242346286,0.242642217,0.232882223,0.248982558,0.307864891,0.3630849,0.396420722,0.396351091,0.367273948,0.286135851,0.251800556,0.242172209,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
