landseg,SORGN,UORGN,LROGN,AORGN
A51700,     0.000,    19.316,    34.959,     7.173
F51700,     0.000,    19.359,    34.919,     7.171
F51810,     0.000,    55.982,    20.590,     4.672
F51800,     0.000,    53.649,     5.089,     4.324
A51085,     0.000,    56.350,    20.559,     5.501
F51085,     0.000,    56.789,    20.360,     6.337
B51003,     0.000,    40.442,    38.312,     7.864
F51003,     0.000,    35.444,    41.402,     8.519
A51125,     0.000,    45.833,    21.575,     7.110
B51125,     0.000,    54.045,    15.855,     5.975
F51125,     0.000,    47.599,    20.346,     6.827
A51009,     0.000,    35.752,    43.059,     9.726
B51009,     0.000,    45.519,    33.305,     8.126
F51009,     0.000,    37.783,    39.979,     9.185
A51540,     0.000,    27.066,    25.964,     6.576
F51540,     0.000,    47.144,    23.519,     4.786
A51031,     0.000,    42.478,    20.388,     5.854
A51023,     0.000,    86.340,    24.667,    10.325
A51163,     0.000,    62.712,    32.883,    11.596
F51023,     0.000,    85.969,    24.045,    10.232
F51163,     0.000,    67.589,    27.663,    10.648
A51161,     0.000,    75.535,    29.025,    11.088
F51161,     0.000,    87.248,    17.452,     7.882
A51015,     0.000,    56.822,    45.036,    16.707
B51015,     0.000,    82.842,    24.038,    10.621
B51163,     0.000,    63.127,    33.332,    11.504
F51015,     0.000,    93.538,    15.751,     8.520
C51015,     0.000,    93.070,    16.861,     8.348
A51045,     0.000,    62.957,    25.934,    12.133
A51071,     0.376,    52.453,    39.567,    11.998
F51045,     0.000,    62.886,    26.098,    12.180
F51071,     0.342,    52.653,    39.624,    11.988
B51017,     0.000,    56.227,    29.694,    11.299
F51017,     0.000,    63.512,    22.378,     8.456
A51678,     0.000,     0.000,    37.960,    10.101
A51017,     0.000,    52.163,    37.847,    12.318
A51091,     0.000,    59.438,    40.490,    12.234
B51091,     0.000,    56.358,    54.614,    14.000
A51530,     0.000,    25.918,    49.298,    10.302
F51530,     0.000,    26.017,    49.475,    10.264
A51121,     0.000,    67.813,    36.979,    14.430
F51121,     0.000,    75.777,    29.444,    12.982
A51005,     0.196,    47.036,    51.931,    12.675
A54063,     0.000,    81.618,     7.607,     7.488
F51005,     0.180,    46.607,    52.737,    12.776
F54063,     0.000,    74.692,    12.889,     9.110
F51091,     0.000,    72.382,    17.489,     8.328
A51580,     0.000,    32.316,    41.241,     8.506
F51580,     0.000,    42.317,    30.091,     6.531
B51023,     0.000,    82.799,    25.573,     9.938
A51019,     0.000,    47.424,    40.892,     8.551
B51019,     0.000,    45.718,    41.871,     8.958
F51019,     0.000,    48.678,    38.666,     8.104
A51680,     0.000,    24.698,    41.787,     7.160
A11001,     0.000,     0.000,    56.922,     9.303
F11001,     0.000,     0.000,    69.783,    10.830
A51059,     0.000,    70.193,    28.493,     9.882
A51510,     0.000,     0.000,    54.474,     8.469
A51610,     0.000,     0.000,    65.887,    11.271
F51510,     0.000,    19.670,    46.779,     7.269
A51600,     0.000,    36.724,    34.354,     7.624
F51059,     0.000,    81.664,     9.940,     6.559
A51153,     0.000,    66.350,    13.167,     5.435
F51153,     0.000,    66.219,    13.364,     5.468
A24017,     0.000,    44.708,    11.372,     5.487
F24017,     0.000,    48.237,     7.671,     4.425
A51179,     0.000,    58.816,    11.690,     4.399
F51179,     0.000,    58.885,    11.654,     4.391
A51193,     0.000,    44.653,    28.219,     6.580
F51193,     0.000,    60.329,    15.845,     4.997
F51013,     0.000,    52.423,    22.714,     5.650
A51107,     0.000,    43.579,    20.685,     6.445
A51683,     0.000,    47.567,    24.191,     6.015
A51685,     0.000,    47.197,    25.519,     5.667
F51107,     0.000,    52.700,    12.453,     5.514
A51013,     0.000,    52.745,    21.648,     5.529
A24021,     0.000,    56.163,    25.602,     7.770
A42001,     0.000,    70.589,    12.778,     3.867
B42001,     0.000,    68.285,    10.735,     3.152
F42001,     0.000,    72.298,    11.604,     3.135
B24021,     0.000,    54.570,    26.611,     7.804
