TABLE->,MON-NPRETBG#1,MON-NPRETBG#1,MON-NPRETBG#1,MON-NPRETBG#1,MON-NPRETBG#1,MON-NPRETBG#1,MON-NPRETBG#1,MON-NPRETBG#1,MON-NPRETBG#1,MON-NPRETBG#1,MON-NPRETBG#1,MON-NPRETBG#1,MON-NPRETBG#2,MON-NPRETBG#2,MON-NPRETBG#2,MON-NPRETBG#2,MON-NPRETBG#2,MON-NPRETBG#2,MON-NPRETBG#2,MON-NPRETBG#2,MON-NPRETBG#2,MON-NPRETBG#2,MON-NPRETBG#2,MON-NPRETBG#2,MON-NPRETBG#3,MON-NPRETBG#3,MON-NPRETBG#3,MON-NPRETBG#3,MON-NPRETBG#3,MON-NPRETBG#3,MON-NPRETBG#3,MON-NPRETBG#3,MON-NPRETBG#3,MON-NPRETBG#3,MON-NPRETBG#3,MON-NPRETBG#3,MON-NPRETBG#4,MON-NPRETBG#4,MON-NPRETBG#4,MON-NPRETBG#4,MON-NPRETBG#4,MON-NPRETBG#4,MON-NPRETBG#4,MON-NPRETBG#4,MON-NPRETBG#4,MON-NPRETBG#4,MON-NPRETBG#4,MON-NPRETBG#4,MON-NPRETFBG,MON-NPRETFBG,MON-NPRETFBG,MON-NPRETFBG,MON-NPRETFBG,MON-NPRETFBG,MON-NPRETFBG,MON-NPRETFBG,MON-NPRETFBG,MON-NPRETFBG,MON-NPRETFBG,MON-NPRETFBG
VARS->,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
A10001,0.01,0.01,0.005,0.0005,0.0001,0.0001,0.0001,0.0001,0.0005,0.01,0.02,0.02,0.01,0.01,0.005,0.0005,0.0001,0.0001,0.0001,0.0001,0.0005,0.01,0.02,0.02,0.01,0.01,0.005,0.0005,0.0001,0.0001,0.0001,0.0001,0.0005,0.01,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
A10003,0.01,0.01,0.005,0.0005,0.0001,0.0001,0.0001,0.0001,0.0005,0.01,0.02,0.02,0.01,0.01,0.005,0.0005,0.0001,0.0001,0.0001,0.0001,0.0005,0.01,0.02,0.02,0.01,0.01,0.005,0.0005,0.0001,0.0001,0.0001,0.0001,0.0005,0.01,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
A10005,0.01,0.01,0.005,0.0005,0.0001,0.0001,0.0001,0.0001,0.0005,0.01,0.02,0.02,0.01,0.01,0.005,0.0005,0.0001,0.0001,0.0001,0.0001,0.0005,0.01,0.02,0.02,0.01,0.01,0.005,0.0005,0.0001,0.0001,0.0001,0.0001,0.0005,0.01,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
A11001,0.01,0.01,0.005,0.0005,0.0001,0.0001,0.0001,0.0001,0.0005,0.01,0.02,0.02,0.01,0.01,0.005,0.0005,0.0001,0.0001,0.0001,0.0001,0.0005,0.01,0.02,0.02,0.01,0.01,0.005,0.0005,0.0001,0.0001,0.0001,0.0001,0.0005,0.01,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
A24001,0.01,0.01,0.005,0.0005,0.0001,0.0001,0.0001,0.0001,0.0005,0.01,0.02,0.02,0.01,0.01,0.005,0.0005,0.0001,0.0001,0.0001,0.0001,0.0005,0.01,0.02,0.02,0.01,0.01,0.005,0.0005,0.0001,0.0001,0.0001,0.0001,0.0005,0.01,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
A24003,0.01,0.01,0.005,0.0005,0.0001,0.0001,0.0001,0.0001,0.0005,0.01,0.02,0.02,0.01,0.01,0.005,0.0005,0.0001,0.0001,0.0001,0.0001,0.0005,0.01,0.02,0.02,0.01,0.01,0.005,0.0005,0.0001,0.0001,0.0001,0.0001,0.0005,0.01,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
A24005,0.01,0.01,0.005,0.0005,0.0001,0.0001,0.0001,0.0001,0.0005,0.01,0.02,0.02,0.01,0.01,0.005,0.0005,0.0001,0.0001,0.0001,0.0001,0.0005,0.01,0.02,0.02,0.01,0.01,0.005,0.0005,0.0001,0.0001,0.0001,0.0001,0.0005,0.01,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
A24009,0.01,0.01,0.005,0.0005,0.0001,0.0001,0.0001,0.0001,0.0005,0.01,0.02,0.02,0.01,0.01,0.005,0.0005,0.0001,0.0001,0.0001,0.0001,0.0005,0.01,0.02,0.02,0.01,0.01,0.005,0.0005,0.0001,0.0001,0.0001,0.0001,0.0005,0.01,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
A24011,0.01,0.01,0.005,0.0005,0.0001,0.0001,0.0001,0.0001,0.0005,0.01,0.02,0.02,0.01,0.01,0.005,0.0005,0.0001,0.0001,0.0001,0.0001,0.0005,0.01,0.02,0.02,0.01,0.01,0.005,0.0005,0.0001,0.0001,0.0001,0.0001,0.0005,0.01,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
