TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A10001,8.617500,1,0.03,0.3,0,50,55.02850,5,0.5,2,0,550,132.6660,5,1,8,0,300,10.63700,6,0.5,1,0,100,0,0,0,0,na,na
A10003,5.702000,1,0.03,0.3,0,50,287.0585,5,0.5,2,0,550,25.65000,5,1,8,0,300,2.217500,6,0.5,1,0,100,0,0,0,0,na,na
A10005,9.092000,1,0.03,0.3,0,50,75.37950,5,0.5,2,0,550,303.5200,5,1,8,0,300,30.12050,6,0.5,1,0,100,0,0,0,0,na,na
A11001,7.578500,1,0.03,0.3,0,50,87.24100,5,0.5,2,0,550,154.0790,5,1,8,0,300,13.98250,6,0.5,1,0,100,0,0,0,0,na,na
A24001,7.061000,1,0.03,0.3,0,50,615.7470,5,0.5,2,0,550,13.04600,5,1,8,0,300,0.895500,6,0.5,1,0,100,0,0,0,0,na,na
A24003,2.771000,1,0.03,0.3,0,50,251.6535,5,0.5,2,0,550,48.81300,5,1,8,0,300,5.329500,6,0.5,1,0,100,0,0,0,0,na,na
A24005,4.722500,1,0.03,0.3,0,50,113.7950,5,0.5,2,0,550,168.4680,5,1,8,0,300,17.22500,6,0.5,1,0,100,0,0,0,0,na,na
A24009,1.502000,1,0.03,0.3,0,50,83.79800,5,0.5,2,0,550,69.26200,5,1,8,0,300,5.804000,6,0.5,1,0,100,0,0,0,0,na,na
A24011,1.795500,1,0.03,0.3,0,50,220.4085,5,0.5,2,0,550,19.39800,5,1,8,0,300,1.472500,6,0.5,1,0,100,0,0,0,0,na,na
A24013,7.486500,1,0.03,0.3,0,50,403.9560,5,0.5,2,0,550,77.86200,5,1,8,0,300,7.344500,6,0.5,1,0,100,0,0,0,0,na,na
A24015,3.353000,1,0.03,0.3,0,50,349.1870,5,0.5,2,0,550,89.51849,5,1,8,0,300,8.787500,6,0.5,1,0,100,0,0,0,0,na,na
A24017,1.767500,1,0.03,0.3,0,50,206.2975,5,0.5,2,0,550,46.52150,5,1,8,0,300,4.097000,6,0.5,1,0,100,0,0,0,0,na,na
A24019,0.814000,1,0.03,0.3,0,50,373.2315,5,0.5,2,0,550,28.21700,5,1,8,0,300,2.224000,6,0.5,1,0,100,0,0,0,0,na,na
