TABLE->,PHOS-CMAX,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#4,PHOS-SVALPM#4,PHOS-SVALPM#4
VARS->,CMAX,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1
A37005,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37009,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37033,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37067,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37077,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37081,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37131,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37135,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37145,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37157,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37169,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37171,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37181,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37185,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37189,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A42001,50,1.000000,2.088705,1.5,20.00000,11.96914,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42009,50,1.000000,2.113372,1.5,20.00000,11.82944,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42011,50,1.000000,2.350734,1.5,20.00000,10.63498,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42013,50,1.000000,4.601876,1.5,20.00000,5.432567,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42015,50,1.000000,3.365347,1.5,20.00000,7.428654,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42021,50,1.000000,5.857775,1.5,20.00000,4.267832,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42023,50,1.000000,0.878394,1.5,20.00000,28.46103,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42025,50,1.000000,2.452397,1.5,20.00000,10.19411,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42027,50,1.000000,14.00633,1.5,20.00000,1.784908,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42029,50,1.000000,6.159859,1.5,20.00000,4.058535,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42033,50,1.000000,7.152049,1.5,20.00000,3.495502,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42035,50,1.000000,2.905995,1.5,20.00000,8.602905,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42037,50,1.000000,4.889458,1.5,20.00000,5.113043,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42041,50,1.000000,4.767100,1.5,20.00000,5.244279,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42043,50,1.000000,4.044743,1.5,20.00000,6.180862,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42047,50,1.000000,3.927830,1.5,20.00000,6.364838,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42055,50,1.000000,7.574607,1.5,20.00000,3.300502,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42057,50,1.000000,4.689450,1.5,20.00000,5.331115,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
