land,SILT
A10001,0.591456717
A10003,0.636803537
A10005,0.507829995
A11001,0.533782042
A24001,0.440882594
A24003,0.552525177
A24005,0.548848743
A24009,0.60325342
A24011,0.567749601
A24013,0.483529217
A24015,0.608740422
A24017,0.56909932
A24019,0.573303292
A24021,0.458222001
A24023,0.441664685
A24025,0.558138797
A24027,0.542646322
A24029,0.669480329
A24031,0.510053884
A24033,0.572551856
A24035,0.635182711
A24037,0.573128321
A24039,0.571657752
A24041,0.601604627
A24043,0.500570678
A24045,0.507042234
A24047,0.507540155
A24510,0.573957936
A36003,0.46220181
A36007,0.455737945
A36015,0.464533155
A36017,0.455903553
A36023,0.457231541
A36025,0.417431985
A36043,0.596033835
A36051,0.469954369
A36053,0.476488022
A36065,0.519347637
A36067,0.47885979
A36069,0.463176537
A36077,0.459142532
A36095,0.466524717
A36097,0.463490435
A36101,0.470656669
A36107,0.462567966
A36109,0.459641401
A36123,0.458179132
A37001,0.435787923
A37005,0.426280116
A37009,0.426280116
A37033,0.435787923
A37067,0.406537617
A37077,0.439167892
A37081,0.48482931
A37131,0.443310935
A37135,0.435787923
A37145,0.429359641
A37157,0.48482931
A37169,0.406537617
A37171,0.430666466
A37181,0.425087233
A37185,0.427732532
A37189,0.426280116
A42001,0.533103927
A42009,0.459268765
A42011,0.508193738
A42013,0.476621783
A42015,0.438649346
A42021,0.502923902
A42023,0.487327192
A42025,0.470085474
A42027,0.476132336
A42029,0.551631142
A42033,0.486160912
A42035,0.461370474
A42037,0.474301704
A42041,0.493614092
A42043,0.494549347
A42047,0.478027944
A42055,0.477786736
A42057,0.460374547
A42061,0.463310215
A42063,0.477323968
A42065,0.499634831
A42067,0.449346024
A42069,0.4214561
A42071,0.5373606
A42075,0.493207234
A42079,0.434699263
A42081,0.453349754
A42083,0.488457718
A42087,0.467683168
A42093,0.472489809
A42097,0.46505788
A42099,0.452077427
A42105,0.471953323
A42107,0.456096449
A42109,0.457927234
A42111,0.513276267
A42113,0.42547266
A42115,0.434802595
A42117,0.448562495
A42119,0.483715213
A42127,0.440842636
A42131,0.447246296
A42133,0.519618817
A47091,0.494101433
A47163,0.462334797
A51001,0.569338291
A51003,0.456506184
A51005,0.434304704
A51007,0.422517069
A51009,0.41541829
A51011,0.540175793
A51013,0.46276434
A51015,0.47442689
A51017,0.427958259
A51019,0.423897311
A51021,0.456701866
A51023,0.451141698
A51025,0.403802455
A51027,0.394754869
A51029,0.534088519
A51031,0.479370217
A51033,0.527195199
A51035,0.47852347
A51036,0.515557693
A51037,0.471740574
A51041,0.471987164
A51043,0.470792263
A51045,0.455114678
A51047,0.540783616
A51049,0.429259159
A51051,0.390574527
A51053,0.473282459
A51057,0.493295135
A51059,0.509372803
A51061,0.525827509
A51063,0.462017891
A51065,0.505236134
A51067,0.421793033
A51069,0.46067861
A51071,0.459836305
A51073,0.474443125
A51075,0.432595031
A51077,0.454701785
A51079,0.524060582
A51081,0.530087428
A51083,0.448627698
A51085,0.47854228
A51087,0.515169565
A51089,0.417696909
A51091,0.44283664
A51093,0.469707968
A51095,0.505161587
A51097,0.507339913
A51099,0.555807512
A51101,0.529700447
A51103,0.521787896
A51105,0.439651561
A51107,0.520881355
A51109,0.468862378
A51111,0.491426523
A51113,0.532232788
A51115,0.472292989
A51117,0.483920518
A51119,0.494215704
A51121,0.433192096
A51125,0.485956029
A51127,0.495411311
A51131,0.641033938
A51133,0.519190772
A51135,0.391821887
A51137,0.482651272
A51139,0.494715176
A51141,0.487292994
A51143,0.430128066
A51145,0.424492238
A51147,0.438186799
A51149,0.541960706
A51153,0.510977339
A51155,0.427253895
A51157,0.517337597
A51159,0.4852996
A51161,0.45238183
A51163,0.459854273
A51165,0.45489492
A51167,0.479703212
A51169,0.478186258
A51171,0.44743335
A51173,0.453248759
A51175,0.514207746
A51177,0.460100139
A51179,0.479306626
A51181,0.505100012
A51183,0.532154425
A51185,0.472417203
A51187,0.503873147
A51191,0.492547735
A51193,0.509306349
A51195,0.408296434
A51197,0.47291401
A51199,0.475679953
A51510,0.469371473
A51515,0.404740006
A51520,0.511146491
A51530,0.461821862
A51540,0.390639271
A51550,0.44065079
A51570,0.468003904
A51580,0.459162557
A51590,0.443723608
A51595,0.553356233
A51600,0.501119118
A51610,0.38845667
A51620,0.473016324
A51630,0.576312604
A51640,0.488722409
A51650,0.432486849
A51660,0.41422645
A51670,0.509116469
A51678,0.443505392
A51680,0.420233738
A51683,0.588881841
A51685,0.590933385
A51690,0.454598543
A51700,0.531801223
A51710,0.456763237
A51720,0.385953779
A51730,0.529610951
A51735,0.36845918
A51740,0.471836471
A51750,0.450706647
A51760,0.494344073
A51770,0.501201254
A51775,0.480339856
A51790,0.489440203
A51800,0.437122167
A51810,0.436217607
A51820,0.494197817
A51830,0.55957024
A51840,0.520070795
A54003,0.479694865
A54023,0.447043263
A54027,0.450964791
A54031,0.46493628
A54037,0.506883731
A54057,0.439821229
A54063,0.458302512
A54065,0.460014842
A54071,0.462657074
A54077,0.491928692
A54093,0.468857796
B24001,0.440882594
B24021,0.458222001
B37005,0.426280116
B37009,0.426280116
B42001,0.533103927
B42009,0.459268765
B42015,0.438649346
B42027,0.476132336
B42035,0.461370474
B42041,0.493614092
B42043,0.494549347
B42055,0.477786736
B42079,0.434699263
B42081,0.453349754
B42119,0.483715213
B42131,0.447246296
B51003,0.456506184
B51009,0.41541829
B51015,0.47442689
B51017,0.427958259
B51019,0.423897311
B51023,0.451141698
B51035,0.47852347
B51061,0.525827509
B51067,0.421793033
B51071,0.459836305
B51077,0.454701785
B51079,0.524060582
B51091,0.44283664
B51105,0.439651561
B51113,0.532232788
B51125,0.485956029
B51139,0.494715176
B51141,0.487292994
B51157,0.517337597
B51161,0.45238183
B51163,0.459854273
B51165,0.45489492
B51167,0.479703212
B51169,0.478186258
B51171,0.44743335
B51173,0.453248759
B51185,0.472417203
B51187,0.503873147
