land,SAND
F24033,0.046223555
F24035,0.041259519
F24037,0.041674225
F24039,0.038537191
F24041,0.041072803
F24043,0.035148009
F24045,0.065134928
F24510,0.037205976
F36003,0.049952928
F36007,0.049882598
F36015,0.04760787
F36025,0.058090594
F36101,0.049533929
F42001,0.042009258
F42009,0.048946121
F42011,0.040067293
F42013,0.048087125
F42021,0.04160212
F42027,0.047508668
F42033,0.043142806
F42035,0.054639179
F42041,0.040198492
F42043,0.046610804
F42055,0.044168042
F42061,0.048389274
F42069,0.053828121
F42071,0.031188511
F42075,0.040737765
F42079,0.051827171
F42081,0.051717255
F42087,0.048030637
F42097,0.048757525
F42107,0.052547797
F42115,0.05104814
F42117,0.05116235
F42119,0.046395376
F42133,0.038433689
F51001,0.058740081
F51003,0.051054123
F51005,0.055792289
F51009,0.047149642
F51011,0.034376488
F51013,0.052748285
F51015,0.04006142
F51017,0.057102723
F51019,0.057354891
F51023,0.045596426
F51033,0.060615108
F51041,0.060987057
F51043,0.027797609
F51045,0.051711058
F51053,0.057544854
F51057,0.059012479
F51059,0.04540203
F51061,0.043616209
F51069,0.040758457
F51071,0.047105527
F51079,0.047666244
F51085,0.061577376
F51087,0.060779087
F51091,0.055181955
F51095,0.048493812
F51099,0.059750784
F51101,0.057079022
F51107,0.04226412
F51113,0.045184677
F51121,0.038957058
F51125,0.048367653
F51131,0.058019236
F51137,0.038437767
F51139,0.046533696
F51145,0.05893246
F51147,0.052248604
F51149,0.043933577
F51153,0.044636607
F51157,0.047199585
F51159,0.058945915
F51161,0.049321035
F51163,0.037392406
F51165,0.042914951
F51171,0.044301195
F51177,0.056116965
F51179,0.057199899
F51181,0.053081844
F51187,0.042236315
F51193,0.059402359
F51199,0.038357333
F51510,0.053238011
F51530,0.046580643
F51540,0.062633275
F51550,0.06061884
F51580,0.049263349
F51630,0.060824751
F51650,0.061000039
F51660,0.020330467
F51670,0.060688625
F51700,0.03941581
F51710,0.058242872
F51730,0.057829012
F51735,0.079571625
F51740,0.057526404
F51760,0.055730399
F51790,0.02271438
F51800,0.063633734
F51810,0.052416952
F51820,0.040881527
F51830,0.039779333
F54003,0.036969575
F54023,0.051446902
F54027,0.056344858
F54031,0.054133129
F54037,0.025462975
F54057,0.05254701
F54063,0.045875555
F54065,0.055322436
F54071,0.052168965
