TABLE->,NUT-FLAGS,NUT-FLAGS,NUT-FLAGS,NUT-FLAGS,NUT-FLAGS,NUT-FLAGS,NUT-FLAGS,NUT-FLAGS,NUT-AD-FLAGS,NUT-AD-FLAGS,NUT-AD-FLAGS,NUT-AD-FLAGS,NUT-AD-FLAGS,NUT-AD-FLAGS,CONV-VAL1,CONV-VAL1,CONV-VAL1,CONV-VAL1,NUT-BENPARM,NUT-BENPARM,NUT-BENPARM,NUT-BENPARM,NUT-BENPARM,NUT-NITDENIT,NUT-NITDENIT,NUT-NITDENIT,NUT-NITDENIT,NUT-NITDENIT,NUT-NITDENIT,NUT-NH3VOLAT,NUT-NH3VOLAT,NUT-BEDCONC,NUT-BEDCONC,NUT-BEDCONC,NUT-BEDCONC,NUT-BEDCONC,NUT-BEDCONC,NUT-ADSPARM,NUT-ADSPARM,NUT-ADSPARM,NUT-ADSPARM,NUT-ADSPARM,NUT-ADSPARM,NUT-DINIT,NUT-DINIT,NUT-DINIT,NUT-DINIT,NUT-DINIT,NUT-ADSINIT,NUT-ADSINIT,NUT-ADSINIT,NUT-ADSINIT,NUT-ADSINIT,NUT-ADSINIT
VARS->,TAM,NO2,PO4,AMV,DEN,ADNH,ADPO,PHFG,NOF,NOC,NHF,NHC,POF,POC,CVBO,CVBPC,CVBPN,BPCNTC,BRTAM1,BRTAM2,BRPO41,BRPO42,ANAER,KTAM20,KNO220,TCNIT,KNO320,TCDEN,DENOXT,EXPNVG,EXPNVL,NH4-sand,NH4-silt,NH4-clay,PO4-sand,PO4-silt,PO4-clay,NH4-sand,NH4-silt,NH4-clay,PO4-sand,PO4-silt,PO4-clay,NO3,TAM,NO2,PO4,PH,NH4-sand,NH4-silt,NH4-clay,PO4-sand,PO4-silt,PO4-clay
XU0_4130_4070,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0,0,0,0,1,0.626880,0.01,1.07,0.039749,1.07,15.00000,0.5,0.6667,1.790848,17.90848,179.0848,16.52427,165.2427,1652.427,150.0000,1500.000,15000.00,1823.163,5469.488,16408.46,1,0.05,0,0.05,7,0,0,0,0,0,0
XU0_4091_4270,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0,0,0,0,1,0.397016,0.01,1.07,0.030928,1.07,15.00000,0.5,0.6667,1.853855,18.53855,185.3855,8.395398,83.95398,839.5398,150.0000,1500.000,15000.00,2802.544,8407.632,25222.90,1,0.05,0,0.05,7,0,0,0,0,0,0
XU2_4270_4650,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0,0,0,0,1,0.025175,0.01,1.07,0.004571,1.07,15.00000,0.5,0.6667,1.980208,19.80208,198.0208,7.268110,72.68110,726.8110,150.0000,1500.000,15000.00,2920.818,8762.454,26287.36,1,0.05,0,0.05,7,0,0,0,0,0,0
XU2_4070_4330,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0.526369,2.631844,0.030258,0.151290,8.241998,0.006272,0.01,1.07,0.001000,1.07,15.00000,0.5,0.6667,2.000000,20.00000,200.0000,8.000000,80.00000,800.0000,150.0000,1500.000,15000.00,33.33333,100.0000,300.0000,1,0.05,0,0.05,7,0,0,0,0,0,0
XU2_4330_4480,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0.530511,2.652554,0.030278,0.151390,6.321578,0.006272,0.01,1.07,0.001000,1.07,15.00000,0.5,0.6667,2.000000,20.00000,200.0000,8.000000,80.00000,800.0000,150.0000,1500.000,15000.00,33.33333,100.0000,300.0000,1,0.05,0,0.05,7,0,0,0,0,0,0
XU2_4480_4650,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0,0,0,0,1,0.025175,0.01,1.07,0.004571,1.07,15.00000,0.5,0.6667,1.980208,19.80208,198.0208,7.268110,72.68110,726.8110,150.0000,1500.000,15000.00,2920.818,8762.454,26287.36,1,0.05,0,0.05,7,0,0,0,0,0,0
XU3_4650_0001,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0,0,0,0,1,0.025175,0.01,1.07,0.004571,1.07,15.00000,0.5,0.6667,1.980208,19.80208,198.0208,7.268110,72.68110,726.8110,150.0000,1500.000,15000.00,2920.818,8762.454,26287.36,1,0.05,0,0.05,7,0,0,0,0,0,0
YP1_6570_6680,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0,0,0,0,1,0.008841,0.01,1.07,0.056843,1.07,15.00000,0.5,0.6667,1.765829,17.65829,176.5829,5.970123,59.70123,597.0123,150.0000,1500.000,15000.00,2367.824,7103.473,21310.42,1,0.05,0,0.05,7,0,0,0,0,0,0
YP3_6470_6690,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0,0,0,0,1,0.066126,0.01,1.07,0.002408,1.07,15.00000,0.5,0.6667,1.768476,17.68476,176.8476,5.993518,59.93518,599.3518,150.0000,1500.000,15000.00,3618.791,10856.37,32569.12,1,0.05,0,0.05,7,0,0,0,0,0,0
YP2_6390_6330,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0.447719,2.238595,0.001000,0.005000,6.744612,1.000000,0.01,1.07,0.001000,1.07,15.00000,0.5,0.6667,2.000000,20.00000,200.0000,8.000000,80.00000,800.0000,150.0000,1500.000,15000.00,21339.59,64018.78,192056.3,1,0.05,0,0.05,7,0,0,0,0,0,0
YP1_6680_6670,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0,0,0,0,1,0.066126,0.01,1.07,0.002408,1.07,15.00000,0.5,0.6667,1.768476,17.68476,176.8476,5.993518,59.93518,599.3518,150.0000,1500.000,15000.00,3618.791,10856.37,32569.12,1,0.05,0,0.05,7,0,0,0,0,0,0
YP3_6690_6720,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0,0,0,0,1,0.066126,0.01,1.07,0.002408,1.07,15.00000,0.5,0.6667,1.768476,17.68476,176.8476,5.993518,59.93518,599.3518,150.0000,1500.000,15000.00,3618.791,10856.37,32569.12,1,0.05,0,0.05,7,0,0,0,0,0,0
