TABLE->,SCR-FLAGS,SCR-FLAGS,SCR-CONC,SCR-CONC
VARS->,RORN,RORP,RORN,RORP
YM1_6370_6620,1,1,0.585677,7.417349
YM2_6120_6430,1,1,1.543354,1.871245
YM3_6430_6620,1,1,0.585677,6.795258
YM4_6620_0001,1,1,5.000000,2.000000
GY0_3800_3801,1,1,18.40601,5.668851
GY0_3950_3952,1,1,5.000000,2.000000
GY0_4240_3951,1,1,37.97024,0.006859
GY0_4530_4532,1,1,11.35386,0.001000
GY0_4531_4532,1,1,48.76868,0.731970
GY0_4532_3951,1,1,49.83687,0.002606
GY0_3951_3952,1,1,49.83687,0.002606
XU0_4090_4270,1,1,3.541874,0.048698
XU0_4130_4070,1,1,2.677391,18.95467
XU0_4091_4270,1,1,5.785313,0.023058
XU2_4270_4650,1,1,16.07222,2.289816
XU2_4070_4330,1,1,26.06555,0.187968
XU2_4330_4480,1,1,26.06555,0.063858
XU2_4480_4650,1,1,16.07222,2.289816
XU3_4650_0001,1,1,16.07222,2.289816
YP1_6570_6680,1,1,5.233900,0.105997
YP3_6470_6690,1,1,3.651537,0.220049
YP2_6390_6330,1,1,20.48301,2.059977
YP1_6680_6670,1,1,3.651537,0.220049
YP3_6690_6720,1,1,3.651537,0.220049
YP3_6330_6700,1,1,6.691131,0.594499
YP3_6700_6670,1,1,3.651537,0.220049
YP3_6670_6720,1,1,3.651537,0.220049
YP4_6720_6750,1,1,3.651537,0.220049
YP4_6750_0001,1,1,5.000000,2.000000
JA1_7600_7570,1,1,0.340940,0.001000
JA2_7410_7470,1,1,10.42999,0.028165
JA2_7570_7480,1,1,10.42999,0.028165
JA1_7640_7280,1,1,10.42999,0.028165
JA2_7550_7280,1,1,4.970062,0.871052
JA4_7280_7340,1,1,10.42999,0.028165
JA4_7340_7470,1,1,10.42999,0.028165
JA4_7470_7480,1,1,10.42999,0.028165
JA5_7480_0001,1,1,10.42999,0.028165
RU2_5220_5640,1,1,3.813039,0.768069
RU2_5940_6200,1,1,1.889722,16.95234
RU2_5500_5610,1,1,3.040415,0.125374
RU2_5810_5610,1,1,3.040415,0.125374
RU2_6090_6220,1,1,5.805869,2.769655
RU3_5610_5640,1,1,3.813039,0.768069
RU4_5640_6030,1,1,18.35128,0.080130
