TABLE->,SCR-FLAGS,SCR-FLAGS,SCR-CONC,SCR-CONC
VARS->,RORN,RORP,RORN,RORP
SU3_0190_0300,1,1,0.652836,1.048921
SU4_0300_0310,1,1,0.652836,1.048921
SU2_0150_0220,1,1,1.465466,0.707853
SU2_0100_0230,1,1,1.465466,0.707853
SU2_0320_0340,1,1,1.465466,0.707853
SU2_0040_0180,1,1,1.465466,0.707853
SU2_0020_0140,1,1,1.465466,0.707853
SU2_0030_0140,1,1,1.465466,0.707853
SU3_0140_0180,1,1,1.465466,0.707853
SU3_0180_0230,1,1,1.465466,0.707853
SU4_0230_0220,1,1,1.465466,0.707853
SU4_0220_0250,1,1,1.465466,0.707853
SU4_0250_0340,1,1,1.465466,0.707853
SU5_0340_0310,1,1,1.465466,0.707853
SU5_0310_0400,1,1,1.465466,0.707853
SU5_0400_0460,1,1,1.465466,0.707853
SU5_0460_0480,1,1,1.465466,0.707853
SU6_0480_0520,1,1,1.465466,0.707853
SU6_0520_0500,1,1,2.091982,0.966984
SU6_0500_0550,1,1,2.091982,0.966984
SU7_0550_0540,1,1,2.091982,0.966984
SU7_0540_0720,1,1,2.091982,0.966984
SU7_0720_0750,1,1,1.622628,0.033893
SU7_0750_0850,1,1,1.622628,0.033893
SU7_0850_0730,1,1,1.622628,0.033893
SU7_0730_0860,1,1,5.248705,35.43044
SU7_0860_0960,1,1,5.248705,35.43044
SU7_0960_0950,1,1,5.248705,35.43044
SU7_0950_1010,1,1,5.248705,35.43044
SU7_1010_0980,1,1,5.248705,35.43044
SU7_0980_1120,1,1,5.248705,35.43044
SU7_1120_1140,1,1,5.248705,35.43044
SU7_1140_1420,1,1,5.393615,0.620046
SU7_1420_1590,1,1,5.393615,0.620046
SU8_1590_1620,1,1,5.393615,0.620046
SU8_1620_1610,1,1,5.393615,0.620046
SU8_1610_1530,1,1,5.994570,0.620046
SW1_1570_1640,1,1,1.971490,0.001000
SW1_1560_1460,1,1,1.164713,0.001059
